method_key,method,wall_time,steps,target_steps,percent,steps_per_second,eta_minutes,recent_episode_reward_mean,approx_kl,clip_fraction,entropy_loss,policy_gradient_loss,value_loss,explained_variance,learning_rate,n_updates,std,log_std_mean,log_std_min,log_std_max,variant,training_seed
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 06:47:56,67104,1500000,4.4736,223.6729939717361,106.77015394633534,16.275780020000003,0.015247373841702938,0.1263916015625,-4.022297552227974,-0.008133939759864007,5.2011714488267895,0.7464643716812134,0.0003,160.0,0.9261031746864319,-0.0801439955830574,-0.19554950296878815,-0.004646050278097391,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 06:52:56,134832,1500000,8.9888,224.71131257811254,101.25346934676834,23.29316882,0.01883123815059662,0.1513427734375,-3.990032559633255,-0.004928503908740822,9.61546188890934,0.5855965614318848,0.0003,320.0,0.9190049171447754,-0.08884411305189133,-0.21232235431671143,0.015808094292879105,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 06:57:56,200476,1500000,13.365066666666667,222.74421194606225,97.23589737352196,23.45763958,0.01945192739367485,0.13955078125,-3.9416971504688263,-0.006820488742960151,9.373017486929893,0.636038064956665,0.0003,480.0,0.9035618305206299,-0.10602850466966629,-0.2220412641763687,0.013236407190561295,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:02:56,266356,1500000,17.757066666666667,221.9564843059512,92.6340737357861,25.98057206,0.017688794061541557,0.1806884765625,-3.8772043123841287,-0.003186838650435675,9.140973782539367,0.5639290809631348,0.0003,650.0,0.8870756030082703,-0.1268358677625656,-0.25761160254478455,0.027992650866508484,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:07:56,331816,1500000,22.121066666666668,221.20320065923474,88.01741238512462,28.653667759999998,0.017386261373758316,0.1568603515625,-3.863265834748745,-0.009575480317289475,7.127100032567978,0.6637475490570068,0.0003,810.0,0.8847661018371582,-0.13110043108463287,-0.23989108204841614,0.05156370624899864,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:12:56,398952,1500000,26.5968,221.63291690320565,82.79817030975771,29.427024100000004,0.021244371309876442,0.172802734375,-3.8597436413168906,-0.0009713791048852726,6.2522144839167595,0.6569564342498779,0.0003,970.0,0.8827948570251465,-0.1327991634607315,-0.23168903589248657,0.0448453351855278,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:17:56,466528,1500000,31.101866666666666,222.14874042984567,77.53603869193587,24.26870846,0.02041907235980034,0.17451171875,-3.955800695717335,-0.0038730615546228365,8.534286579489708,0.6442983150482178,0.0003,1130.0,0.912212073802948,-0.09802201390266418,-0.17675597965717316,0.05681558698415756,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:22:57,532484,1500000,35.49893333333333,221.72168837947885,72.72751161387565,31.2245293,0.027512703090906143,0.1843994140625,-4.026874735951424,-0.006793512440344785,4.277099870145321,0.6277427673339844,0.0003,1300.0,0.9276159405708313,-0.08131036162376404,-0.16214926540851593,0.07391387969255447,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:27:58,598020,1500000,39.868,221.32656802093243,67.92225684617412,34.01834326,0.02069530263543129,0.172998046875,-4.0978675365448,-0.007479689120373223,4.982493686676025,0.6809800863265991,0.0003,1460.0,0.9573238492012024,-0.04985136166214943,-0.14139366149902344,0.10548670589923859,stab_s2d_gated,1
stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2026-05-17 07:32:58,662900,1500000,44.193333333333335,220.8201451316698,63.18113167776255,28.51355242,0.026891527697443962,0.1952880859375,-4.159738364815712,-0.0048004434487666,6.96762378513813,0.5561113357543945,0.0003,1610.0,0.979799747467041,-0.028486177325248718,-0.16740122437477112,0.13838765025138855,stab_s2d_gated,1
