variant,training_seed,selected_checkpoint_label,selected_checkpoint_path,selected_checkpoint_step,selection_metric,selection_score,success_rate,collision_rate,progress,raw_unsafe_action_rate,hard_filter_pass,seed2_screening_gate_pass,trend_improving_through_1000k,trend_detail,continue_to_1500k_recommended,selector_used_only_validation_seeds,test_seed_used_for_selection
s2d_confirm,0,1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0/checkpoint_1250k.zip,1250000,success_minus_2collision,-0.5749999999999998,0.475,0.5249999999999999,0.9554289289736162,0.22918226891945848,0,0,0,"score_sequence=-0.7450,-0.6600,-0.7500",0,1,0
s2d_confirm,1,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1/final.zip,1500000,success_minus_2collision,-0.5200000000000001,0.4933333333333333,0.5066666666666667,0.9342083678718747,0.3174832478239268,0,0,0,"score_sequence=-0.8650,-0.6950,-0.8650",0,1,0
s2d_confirm,2,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2/checkpoint_1000k.zip,1000000,success_minus_2collision,-0.21999999999999997,0.5933333333333334,0.4066666666666667,0.9725940180557717,0.20495429502975765,1,1,1,"score_sequence=-0.7850,-0.6550,-0.2200",1,1,0
s2d_confirm,3,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s3/final.zip,1500000,success_minus_2collision,-0.5749999999999998,0.475,0.5249999999999999,0.9606565765009366,0.24694491051250694,0,0,0,"score_sequence=-0.8450,-0.7050,-0.9750",0,1,0
