method,checkpoint,checkpoint_step,seed,scenario,episode_id,episode_seed,success,collision,near_miss,mean_min_distance,episode_min_distance,mean_time,episode_length,progress,planned_cpa,planned_ttc,threat_class,threat_motion_mode,threat_valid_rate,replacement_count,episode_reward,raw_unsafe_action_rate,nan_or_crash
attention_full,attention_full_1500k,1500000,0,eval_flow_id,0,1000,0,1,1,5.891641700384664,0.3546175956726074,20.400000000000002,102,0.9565094852870146,1.1327958661632034,4.0323812495870035,high,ar1_velocity,1.0,28,21.907167629083638,0.4215686274509804,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,1,1001,0,1,1,5.001075811227974,0.35689404606819153,19.6,98,0.9792386475814413,0.42009285209787633,3.3344509451052775,high,crossing_or_sudden_threat,1.0,45,22.672497673748367,0.29591836734693877,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,2,1002,1,0,1,5.449510807530922,0.9159812331199646,22.8,114,0.9890233626558966,0.7718971143321147,7.736874042231113,high,sinusoidal_lateral,1.0,45,42.93392552280226,0.21929824561403508,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,3,1003,0,1,1,4.927706286183789,0.34046539664268494,23.400000000000002,117,0.9833424512077781,0.3849416528592379,7.250236670762824,high,accel_decel,1.0,37,22.683586975363358,0.3247863247863248,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,4,1004,0,1,1,5.95635766543231,0.6104480624198914,20.6,103,0.9654901770752394,0.5011601019873878,6.599704261184773,high,sinusoidal_lateral,1.0,42,20.817094022524238,0.3106796116504854,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,5,1005,1,0,1,5.128471880067479,0.6939808130264282,22.0,110,0.979509163195003,1.6341328738474006,4.7796227159303735,medium,accel_decel,1.0,34,42.60089974481265,0.32727272727272727,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,6,1006,0,1,1,4.935575097226179,0.3314358592033386,20.8,104,0.9775228119601603,0.7494943267895304,8.442153103359518,high,sinusoidal_lateral,1.0,37,22.606114775500785,0.36538461538461536,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,7,1007,0,1,1,7.973076878095928,0.5132200717926025,19.0,95,0.9095887553879293,0.4853520781941787,6.980813294716407,high,linear,1.0,31,20.22949176592094,0.29473684210526313,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,8,1008,1,0,1,5.793584883213043,1.4727509021759033,20.8,104,0.9858438184692679,1.99654496555132,7.832796382757676,medium,linear,1.0,31,42.88666948976348,0.19230769230769232,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,9,1009,0,1,1,7.275295912653585,0.1609807163476944,15.8,79,0.7687063286085047,0.43956997825885463,7.49242013096209,high,accel_decel,1.0,39,13.771171590854047,0.13924050632911392,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,10,1010,0,1,1,6.339914351412394,0.6474829316139221,20.6,103,0.9708998376550908,0.6039357971557406,6.6378574937377035,high,ar1_velocity,1.0,29,22.29726734138697,0.2524271844660194,0
attention_full,attention_full_1500k,1500000,0,eval_flow_id,11,1011,0,1,1,5.785264130192574,0.5348645448684692,19.8,99,0.9188535219768077,0.4859268460146289,3.275400969685189,high,ar1_velocity,1.0,50,20.640027946228916,0.32323232323232326,0
