scenario,success_rate_gpsi,collision_rate_gpsi,near_miss_rate_gpsi,mean_min_distance_gpsi,episode_min_distance_gpsi,mean_time_gpsi,progress_gpsi,episode_reward_gpsi,raw_unsafe_action_rate_gpsi,success_rate_attention,collision_rate_attention,near_miss_rate_attention,mean_min_distance_attention,episode_min_distance_attention,mean_time_attention,progress_attention,episode_reward_attention,raw_unsafe_action_rate_attention,delta_success_rate,delta_collision_rate,delta_near_miss_rate,delta_mean_min_distance,delta_episode_min_distance,delta_mean_time,delta_progress,delta_episode_reward,delta_raw_unsafe_action_rate
eval_flow_high_density,0.18,0.82,1.0,4.784905316477759,0.5914939588308334,19.464,0.8666862249637477,22.099585408079665,0.3918403080136821,0.64,0.36,0.96,4.637472944724808,0.8225048023462296,22.3,0.9425467540493232,33.909596199490004,0.3185975327365227,-0.46,0.45999999999999996,0.040000000000000036,0.14743237175295043,-0.23101084351539614,-2.836000000000002,-0.0758605290855755,-11.810010791410338,0.07324277527715939
eval_flow_high_speed,0.16,0.84,1.0,4.347246033433686,0.5229911628365517,20.636,0.9206545999671062,23.621023603352704,0.3464349337202637,0.54,0.46,1.0,4.461542829295176,0.7254288952052593,22.272,0.957770547596384,32.446302590603125,0.267053275061843,-0.38,0.37999999999999995,0.0,-0.11429679586149,-0.20243773236870766,-1.6359999999999992,-0.037115947629277835,-8.825278987250421,0.07938165865842067
eval_flow_high_threat,0.26,0.74,0.98,4.9933435679722455,0.6088063135743141,20.864,0.9324310281781532,26.068773565802854,0.3660431203438423,0.62,0.38,0.96,4.931150739451462,0.8570077282190323,22.468000000000004,0.9686721024780388,34.48946027429755,0.2991457462896699,-0.36,0.36,0.020000000000000018,0.06219282852078312,-0.24820141464471812,-1.6040000000000028,-0.036241074299885656,-8.420686708494696,0.0668973740541724
eval_flow_id,0.48,0.52,0.92,5.277860454904872,0.7683211815357208,21.104,0.940948186969131,30.72866086092702,0.3405106556265355,0.58,0.42,0.92,5.371075515532408,0.8378773894906044,21.376,0.9633676170801112,33.58951273552314,0.2773360563875185,-0.09999999999999998,0.10000000000000003,0.0,-0.0932150606275357,-0.0695562079548836,-0.272000000000002,-0.022419430110980243,-2.860851874596115,0.06317459923901697
eval_flow_mixed_ood,0.18,0.82,1.0,4.895819810167645,0.5755930629372596,19.472,0.8692523650890367,22.194825554978884,0.3601648815483771,0.54,0.46,0.98,4.8153337649816255,0.771695716381073,21.348000000000003,0.940270728452252,31.94810910938532,0.3113989338611484,-0.36000000000000004,0.35999999999999993,0.020000000000000018,0.08048604518601987,-0.1961026534438134,-1.8760000000000012,-0.07101836336321532,-9.753283554406437,0.048765947687228695
eval_flow_sudden_threat,0.34,0.66,0.94,5.146342062025043,0.6791292312741279,20.872000000000003,0.9298817088785888,27.59276915680373,0.3326913679892602,0.74,0.26,0.98,4.963086190034131,0.8633657366037368,22.744,0.9706955151270756,36.932236312063466,0.2913313414072837,-0.39999999999999997,0.4,-0.040000000000000036,0.18325587199091142,-0.1842365053296089,-1.8719999999999963,-0.04081380624848685,-9.339467155259737,0.04136002658197652
