wall_time,steps,target_steps,percent,steps_per_second,eta_minutes
2026-05-12 13:29:30,16756,1500000,1.1170666666666667,279.22960296608017,88.53192165422489
2026-05-12 13:30:30,34268,1500000,2.2845333333333335,285.5409064214669,85.55294921775211
2026-05-12 13:31:30,51808,1500000,3.453866666666667,287.7974841518746,83.86638057126365
2026-05-12 13:32:30,69340,1500000,4.6226666666666665,288.8900024701958,82.53775876440483
2026-05-12 13:33:30,86568,1500000,5.7712,288.5272890818723,81.64634989973314
2026-05-12 13:34:30,104260,1500000,6.950666666666667,289.5745882041746,80.33278568260079
2026-05-12 13:35:30,121904,1500000,8.126933333333334,290.21272118593726,79.14286655942645
2026-05-12 13:36:31,139268,1500000,9.284533333333334,289.3753401325723,78.37180132998456
2026-05-12 13:37:31,156876,1500000,10.4584,289.8229802418137,77.23818166979979
2026-05-12 13:38:31,174464,1500000,11.630933333333333,290.14860302717284,76.14121328234586
2026-05-12 13:39:31,192164,1500000,12.810933333333333,290.58684279361677,75.01119616123748
2026-05-12 13:40:31,209400,1500000,13.96,290.3061587253808,74.094191092748
2026-05-12 13:41:31,227032,1500000,15.135466666666666,290.57629772690854,73.01398462056541
2026-05-12 13:42:31,244660,1500000,16.310666666666666,290.8020693912766,71.94698915702062
2026-05-12 13:43:32,262148,1500000,17.476533333333332,290.5447325010754,71.00753983412969
2026-05-12 13:44:32,279704,1500000,18.646933333333333,290.66981046836094,69.9703441299779
2026-05-12 13:45:32,297188,1500000,19.812533333333334,290.7097859337411,68.95834827946167
2026-05-12 13:46:32,315068,1500000,21.004533333333335,291.11051688737444,67.83975679692519
2026-05-12 13:47:32,332020,1500000,22.134666666666668,290.6584800302611,66.97321657811824
2026-05-12 13:48:32,349564,1500000,23.304266666666667,290.7453113565976,65.94752377559962
2026-05-12 13:49:32,367192,1500000,24.479466666666667,290.89025420033533,64.90466098713172
2026-05-12 13:50:32,384892,1500000,25.659466666666667,291.074365410331,63.8501205942119
2026-05-12 13:51:32,402116,1500000,26.807733333333335,290.9003922468715,62.90148502494312
2026-05-12 13:52:32,419680,1500000,27.978666666666665,290.9742970984115,61.879463282090796
2026-05-12 13:53:32,437460,1500000,29.164,291.1870735863881,60.816573283587644
2026-05-12 13:54:32,454724,1500000,30.314933333333332,291.0528393589582,59.85602719092823
2026-05-12 13:55:32,472256,1500000,31.483733333333333,291.0947065100848,58.843621280599415
2026-05-12 13:56:32,489780,1500000,32.652,291.1283430023221,57.83359952646626
2026-05-12 13:57:32,507444,1500000,33.8296,291.23932724812585,56.80070805103281
2026-05-12 13:58:32,524652,1500000,34.9768,291.091010851432,55.844390221643394
2026-05-12 13:59:32,542276,1500000,36.15173333333333,291.1743521486881,54.81961769254883
2026-05-12 14:00:32,559876,1500000,37.325066666666665,291.2409930705144,53.799889803080255
2026-05-12 14:01:33,577540,1500000,38.50266666666667,291.17771903511516,52.800514353501185
2026-05-12 14:02:33,595264,1500000,39.684266666666666,291.2999925154753,51.764276418689796
2026-05-12 14:03:33,613036,1500000,40.86906666666667,291.43944600201496,50.72317263885798
2026-05-12 14:04:33,630548,1500000,42.03653333333333,291.4500431994234,49.71989884644263
2026-05-12 14:05:33,647820,1500000,43.188,291.35205201231855,48.748584064887545
2026-05-12 14:06:33,665504,1500000,44.366933333333336,291.4402557760272,47.72253108834497
2026-05-12 14:07:33,683184,1500000,45.5456,291.5219101659443,46.698376778097646
2026-05-12 14:08:34,700420,1500000,46.69466666666667,291.3892152840327,45.73379052599268
2026-05-12 14:09:34,718036,1500000,47.86906666666667,291.4425955592701,44.718011477779655
2026-05-12 14:10:34,735608,1500000,49.040533333333336,291.4749627844079,43.70827101225097
2026-05-12 14:11:34,753252,1500000,50.2168,291.5340463691723,42.690725680251305
2026-05-12 14:12:34,770440,1500000,51.36266666666667,291.4189871633296,41.72457481817572
2026-05-12 14:13:34,787980,1500000,52.532,291.43798228900795,40.71878314142303
2026-05-12 14:14:34,805672,1500000,53.71146666666667,291.51106876753266,39.69706324448903
2026-05-12 14:15:34,823172,1500000,54.87813333333333,291.51434578920333,38.69609447908157
2026-05-12 14:16:34,840364,1500000,56.02426666666667,291.41027796817957,37.726649210820945
2026-05-12 14:17:34,858048,1500000,57.2032,291.4771621558508,36.70682094221574
2026-05-12 14:18:34,875912,1500000,58.394133333333336,291.60181962672874,35.670102058969626
2026-05-12 14:19:34,893044,1500000,59.53626666666667,291.48196155477007,34.70517791006607
2026-05-12 14:20:34,910780,1500000,60.718666666666664,291.5604965359028,33.68197492462445
2026-05-12 14:21:34,928280,1500000,61.885333333333335,291.5618736082212,32.68145642207859
2026-05-12 14:22:34,945944,1500000,63.06293333333333,291.6143118554124,31.666026978967967
2026-05-12 14:23:34,963196,1500000,64.21306666666666,291.5399819854383,30.687843473147364
2026-05-12 14:24:34,980948,1500000,65.39653333333334,291.6165835596182,29.66520820273611
2026-05-12 14:25:34,998600,1500000,66.57333333333334,291.6612226607739,28.651963364996796
2026-05-12 14:26:34,1015812,1500000,67.7208,291.54585669756193,27.679350656563404
2026-05-12 14:27:34,1033400,1500000,68.89333333333333,291.57210461937547,26.671504384201963
2026-05-12 14:28:34,1051040,1500000,70.06933333333333,291.61250874581356,25.65962173175841
2026-05-12 14:29:34,1068392,1500000,71.22613333333334,291.572962767918,24.671240427708714
2026-05-12 14:30:34,1085556,1500000,72.3704,291.48368570156885,23.697381153166965
2026-05-12 14:31:34,1103088,1500000,73.5392,291.4942899465543,22.6940980600783
2026-05-12 14:32:34,1120760,1500000,74.71733333333333,291.54115302109636,21.6801868318374
2026-05-12 14:33:34,1138208,1500000,75.88053333333333,291.52889412871,20.68359873791611
2026-05-12 14:34:34,1155452,1500000,77.03013333333334,291.4660271991788,19.702010288638007
2026-05-12 14:35:34,1173028,1500000,78.20186666666666,291.48714633141265,18.695621408764858
2026-05-12 14:36:34,1190596,1500000,79.37306666666667,291.50574964255605,17.689988412429297
2026-05-12 14:37:35,1208324,1500000,80.55493333333334,291.4804502015144,16.677848079711147
2026-05-12 14:38:35,1226032,1500000,81.73546666666667,291.53167511125895,15.662563361565198
2026-05-12 14:39:35,1243908,1500000,82.9272,291.62099505398584,14.636120417907005
2026-05-12 14:40:35,1261404,1500000,84.0936,291.62034132721834,13.636222980542973
2026-05-12 14:41:35,1278392,1500000,85.22613333333334,291.5041758029708,12.670373096689703
2026-05-12 14:42:35,1296060,1500000,86.404,291.54326423412937,11.658646989938235
2026-05-12 14:43:35,1313748,1500000,87.5832,291.58648509387587,10.645898073775975
2026-05-12 14:44:36,1331204,1500000,88.74693333333333,291.5282907897752,9.650064009380651
2026-05-12 14:45:36,1348776,1500000,89.9184,291.54505501087203,8.644975988037292
2026-05-12 14:46:36,1366368,1500000,91.0912,291.5659343443293,7.638752466088008
2026-05-12 14:47:36,1383832,1500000,92.25546666666666,291.55941085968504,6.640613409200195
2026-05-12 14:48:36,1401020,1500000,93.40133333333333,291.49511777318315,5.659328633937182
2026-05-12 14:49:36,1418640,1500000,94.576,291.5212684831235,4.65146164825535
2026-05-12 14:50:36,1436088,1500000,95.7392,291.5121950969077,3.6540495317730857
2026-05-12 14:51:36,1453736,1500000,96.91573333333334,291.54283888174933,2.6447799905639724
2026-05-12 14:52:36,1470832,1500000,98.05546666666666,291.4636119923244,1.6679040310051998
2026-05-12 14:53:36,1488540,1500000,99.236,291.50619561080856,0.6552176347394176
