method,checkpoint,checkpoint_step,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,mean_min_distance,episode_min_distance,mean_time,episode_length,progress,episode_reward,raw_unsafe_action_rate,nan_or_crash
attention_full,attention_full_1500k,1500000,accel_decel,58,0.5,0.5,0.9482758620689655,4.945561537888674,0.7411091569168814,21.448275862068964,107.24137931034483,0.9524958547583599,31.453454534304083,0.2813795240802687,0
attention_full,attention_full_1500k,1500000,ar1_velocity,85,0.6705882352941176,0.32941176470588235,0.9764705882352941,4.837963863141381,0.8386951538569787,22.48470588235294,112.4235294117647,0.96311345498153,35.29721294500439,0.2955659822811767,0
attention_full,attention_full_1500k,1500000,crossing_or_sudden_threat,49,0.6938775510204082,0.30612244897959184,0.9795918367346939,4.787469980812182,0.8624986689917895,22.289795918367346,111.44897959183673,0.9679373989421733,35.958472804656964,0.29788555501847225,0
attention_full,attention_full_1500k,1500000,linear,36,0.5277777777777778,0.4722222222222222,0.9166666666666666,4.941808043917297,0.7910709285901653,21.63888888888889,108.19444444444444,0.9379612894991632,31.654515247819162,0.3148132950311355,0
attention_full,attention_full_1500k,1500000,sinusoidal_lateral,72,0.6111111111111112,0.3888888888888889,0.9861111111111112,4.839201152716674,0.8177723058809837,22.208333333333332,111.04166666666667,0.9564058474945545,33.88430113060332,0.2898660080502458,0
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,accel_decel,68,0.23529411764705882,0.7647058823529411,0.9558823529411765,5.977074611511255,0.6124624013900757,19.573529411764707,97.86764705882354,0.8757476068646591,23.6171682128422,0.29518978557257913,0
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,ar1_velocity,73,0.1780821917808219,0.821917808219178,0.9863013698630136,5.975067578157469,0.5496771605047461,20.200000000000003,101.0,0.9059316034294552,23.52815317541749,0.2992142465969855,0
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,crossing_or_sudden_threat,39,0.2564102564102564,0.7435897435897436,1.0,6.02212494542357,0.6259749875618861,20.425641025641028,102.12820512820512,0.9175288929926706,25.48146562494972,0.28368203597492464,0
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,linear,36,0.25,0.75,1.0,5.76428834961808,0.5707533672038052,19.794444444444444,98.97222222222223,0.886626806585427,24.312768423547492,0.31018602650650445,0
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,sinusoidal_lateral,84,0.30952380952380953,0.6904761904761905,0.9761904761904762,5.932660647312955,0.6482486802907217,20.445238095238096,102.22619047619048,0.9136906626294512,26.47039735202303,0.3068463361729541,0
gpsi_heada_ppo_no_shield,gpsi_ppo_1500k,1500000,accel_decel,68,0.2647058823529412,0.7352941176470589,0.9558823529411765,4.845051960762986,0.6408195567919928,20.16470588235294,100.82352941176471,0.8999663252076864,24.97835639243774,0.35309913871156395,0
gpsi_heada_ppo_no_shield,gpsi_ppo_1500k,1500000,ar1_velocity,70,0.37142857142857144,0.6285714285714286,1.0,4.895165034632409,0.653385452074664,20.814285714285713,104.07142857142857,0.9286087391079184,28.154725452115382,0.3393800632726424,0
gpsi_heada_ppo_no_shield,gpsi_ppo_1500k,1500000,crossing_or_sudden_threat,50,0.22,0.78,0.94,4.9267404687030565,0.6210034281015396,20.388,101.94,0.9090036583283725,24.444062731012167,0.3574179553780285,0
gpsi_heada_ppo_no_shield,gpsi_ppo_1500k,1500000,linear,35,0.37142857142857144,0.6285714285714286,0.9714285714285714,5.009138914406887,0.6756688445806504,20.102857142857143,100.51428571428572,0.898937785294441,27.097383196440035,0.37597983717986744,0
gpsi_heada_ppo_no_shield,gpsi_ppo_1500k,1500000,sinusoidal_lateral,77,0.15584415584415584,0.8441558441558441,0.987012987012987,4.9155050786171035,0.5624084815189436,20.381818181818183,101.9090909090909,0.9075243954400929,23.055991464121952,0.36476266792766165,0
gpsi_heada_ppo_no_shield,gpsi_ppo_500k,500000,accel_decel,60,0.3,0.7,0.9666666666666667,5.581974334341328,0.6305925222734611,19.633333333333333,98.16666666666667,0.9179245464504373,26.387355464266765,0.28800584796975276,0
gpsi_heada_ppo_no_shield,gpsi_ppo_500k,500000,ar1_velocity,58,0.25862068965517243,0.7413793103448276,0.9655172413793104,5.661542374156016,0.6090577326971909,19.682758620689658,98.41379310344827,0.9137180254759789,25.466902949654006,0.2820174377404284,0
gpsi_heada_ppo_no_shield,gpsi_ppo_500k,500000,crossing_or_sudden_threat,42,0.35714285714285715,0.6428571428571429,0.9761904761904762,5.612530516340426,0.6663918429542155,19.79047619047619,98.95238095238095,0.9243376923092397,27.745208741058914,0.28351362879749076,0
gpsi_heada_ppo_no_shield,gpsi_ppo_500k,500000,linear,41,0.3170731707317073,0.6829268292682927,0.975609756097561,5.499826947198248,0.6422374840916657,20.307317073170733,101.53658536585365,0.9370360630925452,27.474828948653926,0.297429394781261,0
gpsi_heada_ppo_no_shield,gpsi_ppo_500k,500000,sinusoidal_lateral,99,0.26262626262626265,0.7373737373737373,0.9696969696969697,5.43164764590553,0.6377893667103667,19.92929292929293,99.64646464646465,0.9326659972727742,26.203418212285168,0.2679760305893312,0
