method,seed,episode,episode_seed,step,time,turn_step,has_turned,turning_obstacle_id,success,collision,min_distance,episode_min_distance,R_max,R_sum,R_bar,risk_turn,sigma_turn_x,sigma_turn_y,sigma_turn_z,sigma_turn_trace,mu_turn_x,mu_turn_y,mu_turn_z,dist_turn,rel_speed_turn,w_risk_turn,risk_rank_turn,action_x,action_y,action_z,v_des_norm,deviation_lateral
risk_full_rbar,1,16,11016,1,0.2,15,False,-1,0,0,2.882979393005371,2.882979393005371,0.05273044854402542,0.05273044854402542,0.05268163049776982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-0.7486556768417358,-0.8458932638168335,3.0172972679138184,1.8303197622299194
risk_full_rbar,1,16,11016,2,0.4,15,False,-1,0,0,2.3980679512023926,2.3980679512023926,0.10035376995801926,0.10035376995801926,0.10001823797107377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-0.9203866124153137,-1.0,3.3746771812438965,2.313720464706421
risk_full_rbar,1,16,11016,3,0.6000000000000001,15,False,-1,0,0,1.9642013311386108,1.9642013311386108,0.04621037468314171,0.04621037468314171,0.04617751022922977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-0.8837055563926697,-1.0,3.3352274894714355,2.3348777294158936
risk_full_rbar,1,16,11016,4,0.8,15,False,-1,0,0,1.6300007104873657,1.6300007104873657,0.001581421121954918,0.0015814299695193768,0.0015814286511770213,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-0.9255204796791077,-1.0,3.38028883934021,2.4362752437591553
risk_full_rbar,1,16,11016,5,1.0,15,False,-1,0,0,1.466436505317688,1.466436505317688,4.646318245704606e-07,4.6754229288126226e-07,4.675422928812282e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-0.976330578327179,-1.0,3.43698787689209,2.552262544631958
risk_full_rbar,1,16,11016,6,1.2000000000000002,15,False,-1,0,0,1.5232640504837036,1.466436505317688,1.3881777671809203e-11,1.3970515716499321e-11,1.3970515716499321e-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-0.9768262505531311,-0.9590986967086792,3.390610456466675,2.5480892658233643
risk_full_rbar,1,16,11016,7,1.4000000000000001,15,False,-1,0,0,1.7784619331359863,1.466436505317688,6.288738545118919e-17,6.288870894016928e-17,6.288870894016928e-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-0.9625908732414246,-0.9072676301002502,3.316453456878662,2.510195732116699
risk_full_rbar,1,16,11016,8,1.6,15,False,-1,0,0,2.163215160369873,1.466436505317688,1.0645124135602089e-23,1.0650457624182288e-23,1.0650457624182288e-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-0.9422311782836914,-0.8495395183563232,3.230799913406372,2.456113815307617
risk_full_rbar,1,16,11016,9,1.8,15,False,-1,0,0,2.428086996078491,1.466436505317688,1.231399041541745e-28,1.231399041541745e-28,1.231399041541745e-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-0.9174860119819641,-0.7858548164367676,3.1364619731903076,2.3877429962158203
risk_full_rbar,1,16,11016,10,2.0,15,False,-1,0,0,2.6504902839660645,1.466436505317688,9.576693428795006e-38,9.576693428795006e-38,9.576693428795006e-38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-0.8884257674217224,-0.715348482131958,3.033825159072876,2.303957462310791
