time_rel_turn,risk_sum,risk_max,distance_warning_cost
-2.8,0.005269515864373605,0.005269515811263377,0.0
-2.6,0.003035139335413343,0.003035123239053898,0.0
-2.4,0.000772713992087668,0.0007726830747702495,0.0
-2.2,5.484563336002786e-05,5.48448348502251e-05,0.0
-2.0,4.323881414862974e-06,4.3238756773649975e-06,0.0
-1.8,2.3836982836665036e-07,2.3836981710350293e-07,0.0
-1.6,6.2811568402011735e-09,6.281155774366063e-09,0.0
-1.4,4.503961831414606e-08,4.50396183134684e-08,0.0
-1.2,3.4519843672751796e-07,3.4519843672751796e-07,0.0
-1.0,9.583627805715364e-07,9.58362780408906e-07,0.0
-0.8,1.353267208952018e-06,1.3532672089194054e-06,0.0
-0.6,1.0611949831106223e-06,1.0611949831078466e-06,0.0
-0.4,1.9811186396995516e-05,1.9811186396995516e-05,0.0
-0.2,7.517404140380533e-05,7.517404139742155e-05,0.0
0.0,8.632105975240896e-05,8.632100709611798e-05,0.0
0.2,0.00010808772358570948,0.00010808196987253994,0.0
0.4,9.024691281195316e-05,9.01690009473604e-05,0.0
0.6,3.1803177778182895e-05,3.154084209972477e-05,0.0
0.8,6.9995865304872675e-06,6.778508588703436e-06,0.0
1.0,1.3914613817323645e-06,1.2310053616060995e-06,0.0
1.2,1.1611439710532624e-06,1.1412792168432958e-06,0.0
1.4,1.422470913683527e-06,1.4213267667007116e-06,0.0
1.6,6.98864032977279e-07,6.988111798660207e-07,0.0
1.8,1.4241757297307606e-07,1.4241615750214938e-07,0.0
2.0,1.1408578873284213e-08,1.1408549221901478e-08,0.0
2.2,3.110184833700394e-10,3.1101801358489655e-10,0.0
2.4,1.940936239460746e-11,1.9409359184294353e-11,0.0
2.6,2.140611833609241e-11,2.1406118332259387e-11,0.0
2.8,2.6790102074179072e-11,2.6790096837480884e-11,0.0
3.0,3.110470622904382e-11,3.110415702575572e-11,0.0
3.2,2.6593986249509515e-11,2.6593951218937323e-11,0.0
3.4,1.6712447894384902e-11,1.671244781306974e-11,0.0
3.6,7.82792964816994e-12,7.82792964816994e-12,0.0
3.8,2.756724261276039e-12,2.756724261276039e-12,0.0
4.0,7.028134166938564e-13,7.028134166938564e-13,0.0
4.2,1.2103374800982953e-13,1.2103374800982953e-13,0.0
4.4,1.5141126155797332e-14,1.5141126155797332e-14,0.0
4.6,1.2308676870047932e-15,1.2308676870047932e-15,0.0
4.8,7.497886433552559e-17,7.497886433552559e-17,0.0
5.0,2.240934902090965e-18,2.240934902090965e-18,0.0
5.2,5.843947515697063e-20,5.843947515697063e-20,0.0
5.4,1.2031841923445175e-21,1.2031841923445175e-21,0.0
5.6,1.000706238707683e-33,1.000706238707683e-33,0.0
5.8,4.6631667607615164e-39,4.6628570738009006e-39,0.0
6.0,1.3312335411085762e-43,1.317220556465328e-43,0.0
