step,scenario,risk_reference_method,wide_method,wide_beta,delta_mean_time_risk5_minus_wide,delta_near_miss_risk5_minus_wide,delta_min_distance_risk5_minus_wide,delta_collision_risk5_minus_wide,delta_success_risk5_minus_wide,delta_reaction_risk5_minus_wide,wide_covers_risk5,best_cover_method
250000,eval_threat_validated_sudden,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,-0.572000000000001,0.02,-0.5927797412872309,0.0,0.0,0.0,False,
250000,eval_threat_validated_sudden,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.4639999999999969,0.02,-0.7102405166625974,0.0,0.0,-5.551115123125783e-17,False,
250000,eval_threat_validated_sudden,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
500000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.17200000000000237,0.0,0.15970083236694377,0.0,0.0,,False,
500000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,-0.0039999999999995595,0.0,0.1020403432846071,0.0,0.0,,False,
500000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.131999999999998,0.0,-0.34338620424270605,0.0,0.0,,False,
500000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
500000,eval_ar1,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.23199999999999932,0.0,0.13622435331344596,0.0,0.0,,False,
500000,eval_ar1,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,0.03200000000000003,0.0,0.11508627176284802,0.0,0.0,,False,
500000,eval_ar1,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.1240000000000006,0.0,-0.3832676815986633,0.0,0.0,,False,
500000,eval_ar1,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
500000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.2920000000000016,-0.13999999999999999,0.5670155996084212,-0.06,0.05999999999999994,-0.020000000000000018,False,
500000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,-0.019999999999999574,0.0,0.21723247289657577,0.0,0.0,0.032000000000000084,False,
500000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-0.7039999999999988,-0.019999999999999997,-0.22668084144592315,0.0,0.0,0.03200000000000003,False,
500000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
500000,eval_random_switch,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.20399999999999885,0.0,0.1693964362144471,0.0,0.0,,False,
500000,eval_random_switch,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,0.0799999999999983,0.0,0.05865390777587898,0.0,0.0,,False,
500000,eval_random_switch,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.096,-0.02,-0.24713274598121648,0.0,0.0,,False,
500000,eval_random_switch,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
500000,eval_random_switch_hard,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,-0.22000000000000064,0.039999999999999994,-0.14414319634437534,0.0,0.0,,False,
500000,eval_random_switch_hard,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,-0.3280000000000012,0.039999999999999994,-0.18944316148757911,0.0,0.0,,False,
500000,eval_random_switch_hard,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.8400000000000016,0.06,-0.40701561331748937,0.0,0.0,,False,
500000,eval_random_switch_hard,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
500000,eval_sinusoidal,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.2919999999999998,0.0,0.12387619733810418,0.0,0.0,,False,
500000,eval_sinusoidal,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,0.09600000000000009,0.0,0.18118378043174732,-0.02,0.020000000000000018,,False,
500000,eval_sinusoidal,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-0.9919999999999991,0.04,-0.3616834449768067,0.0,0.0,,False,
500000,eval_sinusoidal,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
500000,eval_sudden_turn,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.16800000000000104,-0.02,0.21303086757659884,-0.02,0.020000000000000018,-0.03600000000000009,False,
500000,eval_sudden_turn,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,0.06400000000000006,0.0,0.10968452930450434,0.0,0.0,0.0,False,
500000,eval_sudden_turn,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.1559999999999988,0.0,-0.19512277126312272,0.0,0.0,-5.551115123125783e-17,False,
500000,eval_sudden_turn,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
