method_key,method,scenario,success_rate_config,collision_rate_config,near_miss_rate_config,progress_config,mean_min_distance_config,episode_min_distance_config,raw_unsafe_action_rate_config,success_rate_attention,collision_rate_attention,near_miss_rate_attention,progress_attention,mean_min_distance_attention,episode_min_distance_attention,raw_unsafe_action_rate_attention,delta_success_rate,delta_collision_rate,delta_near_miss_rate,delta_progress,delta_mean_min_distance,delta_episode_min_distance,delta_raw_unsafe_action_rate
no_z,gpsi_no_z_repaired,eval_flow_high_density,0.34,0.66,0.32,0.919603953787272,5.054249243132563,0.6670326596498489,0.3028152278007848,0.64,0.36,0.6,0.9425467540493232,4.637472944724808,0.8225048023462296,0.3168041337445936,-0.3,0.30000000000000004,-0.27999999999999997,-0.0229428002620512,0.416776298407755,-0.15547214269638066,-0.013988905943808805
no_z,gpsi_no_z_repaired,eval_flow_high_speed,0.38,0.62,0.36,0.9448988089440168,5.29437086429591,0.6462609039992094,0.2296980366256319,0.54,0.46,0.54,0.957770547596384,4.461542829295176,0.7254288952052593,0.2632905173584327,-0.16000000000000003,0.15999999999999998,-0.18000000000000005,-0.012871738652367237,0.832828035000734,-0.07916799120604989,-0.03359248073280077
no_z,gpsi_no_z_repaired,eval_flow_high_threat,0.46,0.54,0.44,0.9607229477899466,5.564956669034513,0.684041365981102,0.2571462403534941,0.62,0.38,0.58,0.9686721024780388,4.931150739451462,0.8570077282190323,0.2948588110572009,-0.15999999999999998,0.16000000000000003,-0.13999999999999996,-0.007949154688092208,0.6338059295830503,-0.17296636223793027,-0.037712570703706816
no_z,gpsi_no_z_repaired,eval_flow_id,0.34,0.66,0.3,0.9304372424085467,5.829653227027213,0.7000917649269104,0.2651683360026695,0.58,0.42,0.5,0.9633676170801112,5.371075515532408,0.8378773894906044,0.2738830944268627,-0.23999999999999994,0.24000000000000005,-0.2,-0.032930374671564455,0.4585777114948044,-0.13778562456369403,-0.008714758424193225
no_z,gpsi_no_z_repaired,eval_flow_mixed_ood,0.52,0.48,0.5,0.9249205705115818,5.179516666521978,0.7344272685050964,0.2745474872910279,0.54,0.46,0.52,0.940270728452252,4.8153337649816255,0.771695716381073,0.3099776383628048,-0.020000000000000018,0.019999999999999962,-0.020000000000000018,-0.015350157940670184,0.36418290154035216,-0.03726844787597661,-0.03543015107177688
no_z,gpsi_no_z_repaired,eval_flow_sudden_threat,0.5,0.5,0.5,0.9609165440864476,5.474947421570545,0.7415601167082787,0.2607208104461936,0.74,0.26,0.72,0.9706955151270756,4.963086190034131,0.8633657366037368,0.2897752169439903,-0.24,0.24,-0.21999999999999997,-0.009778971040628082,0.5118612315364137,-0.12180561989545813,-0.02905440649779667
raw_z,gpsi_full_raw_z_repaired,eval_flow_high_density,0.38,0.62,0.34,0.9046499073137906,5.49903239963231,0.664642200767994,0.2938583215064008,0.64,0.36,0.6,0.9425467540493232,4.637472944724808,0.8225048023462296,0.3168041337445936,-0.26,0.26,-0.25999999999999995,-0.03789684673553262,0.8615594549075016,-0.15786260157823562,-0.02294581223819281
raw_z,gpsi_full_raw_z_repaired,eval_flow_high_speed,0.2,0.8,0.2,0.9081016541149642,5.455602363589118,0.5229401929676533,0.2466300309981592,0.54,0.46,0.54,0.957770547596384,4.461542829295176,0.7254288952052593,0.2632905173584327,-0.34,0.34,-0.34,-0.049668893481419785,0.9940595342939416,-0.20248870223760607,-0.01666048636027348
raw_z,gpsi_full_raw_z_repaired,eval_flow_high_threat,0.26,0.74,0.24,0.9280501892019368,6.203426009688331,0.6473545148968697,0.2390635715938781,0.62,0.38,0.58,0.9686721024780388,4.931150739451462,0.8570077282190323,0.2948588110572009,-0.36,0.36,-0.33999999999999997,-0.040621913276101984,1.272275270236869,-0.20965321332216258,-0.05579523946332282
raw_z,gpsi_full_raw_z_repaired,eval_flow_id,0.4,0.6,0.36,0.9344973688081062,6.287384885040734,0.7183445000648498,0.2691827952846862,0.58,0.42,0.5,0.9633676170801112,5.371075515532408,0.8378773894906044,0.2738830944268627,-0.17999999999999994,0.18,-0.14,-0.028870248272005017,0.9163093695083262,-0.11953288942575457,-0.004700299142176512
raw_z,gpsi_full_raw_z_repaired,eval_flow_mixed_ood,0.48,0.52,0.46,0.9207015260992376,5.522669876496552,0.7142996402084827,0.290996677619447,0.54,0.46,0.52,0.940270728452252,4.8153337649816255,0.771695716381073,0.3099776383628048,-0.06000000000000005,0.06,-0.06,-0.019569202353014403,0.7073361115149268,-0.05739607617259035,-0.01898096074335781
raw_z,gpsi_full_raw_z_repaired,eval_flow_sudden_threat,0.52,0.48,0.46,0.9619681650379184,5.918270151128321,0.7861849735677242,0.2404942724330915,0.74,0.26,0.72,0.9706955151270756,4.963086190034131,0.8633657366037368,0.2897752169439903,-0.21999999999999997,0.21999999999999997,-0.25999999999999995,-0.00872735008915726,0.9551839610941899,-0.07718076303601262,-0.04928094451089879
z_norm,gpsi_full_z_norm_repaired,eval_flow_high_density,0.36,0.64,0.32,0.918469291025966,5.0334897317477525,0.6899854910373687,0.2885528137598058,0.64,0.36,0.6,0.9425467540493232,4.637472944724808,0.8225048023462296,0.3168041337445936,-0.28,0.28,-0.27999999999999997,-0.024077463023357226,0.3960167870229441,-0.13251931130886085,-0.028251319984787804
z_norm,gpsi_full_z_norm_repaired,eval_flow_high_speed,0.24,0.76,0.24,0.9473124056264548,4.946878258537802,0.5957585972547531,0.2068416492603859,0.54,0.46,0.54,0.957770547596384,4.461542829295176,0.7254288952052593,0.2632905173584327,-0.30000000000000004,0.3,-0.30000000000000004,-0.010458141969929224,0.4853354292426255,-0.12967029795050622,-0.05644886809804678
z_norm,gpsi_full_z_norm_repaired,eval_flow_high_threat,0.42,0.58,0.38,0.9627990769122944,5.63642459246669,0.7337012630701065,0.2090207891725817,0.62,0.38,0.58,0.9686721024780388,4.931150739451462,0.8570077282190323,0.2948588110572009,-0.2,0.19999999999999996,-0.19999999999999996,-0.0058730255657444275,0.7052738530152274,-0.12330646514892574,-0.0858380218846192
z_norm,gpsi_full_z_norm_repaired,eval_flow_id,0.44,0.56,0.42,0.9421389560634192,5.800496943982973,0.7278384411334992,0.2350109370009874,0.58,0.42,0.5,0.9633676170801112,5.371075515532408,0.8378773894906044,0.2738830944268627,-0.13999999999999996,0.14000000000000007,-0.08000000000000002,-0.021228661016691963,0.4294214284505653,-0.11003894835710526,-0.0388721574258753
z_norm,gpsi_full_z_norm_repaired,eval_flow_mixed_ood,0.34,0.66,0.3,0.9164412268026386,5.200832731383925,0.6707402607798576,0.2539211354809169,0.54,0.46,0.52,0.940270728452252,4.8153337649816255,0.771695716381073,0.3099776383628048,-0.2,0.2,-0.22000000000000003,-0.023829501649613394,0.38549896640229964,-0.10095545560121544,-0.056056502881887904
z_norm,gpsi_full_z_norm_repaired,eval_flow_sudden_threat,0.4,0.6,0.36,0.9673533278772796,5.499216186188886,0.7125537139177323,0.2229934798963878,0.74,0.26,0.72,0.9706955151270756,4.963086190034131,0.8633657366037368,0.2897752169439903,-0.33999999999999997,0.33999999999999997,-0.36,-0.003342187249796069,0.536129996154755,-0.15081202268600458,-0.06678173704760249
