method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,high,obs_i_12,0,6398,76776,0,0,1.4287850203347154,1.4104785919189453,1.9049464464187622,2.4145712852478027,0.8433100438073263,1.0833872079849243,1.3574217557907104
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,high,z_i_64_raw,0,6398,409472,0,0,24.937481986019304,24.72500228881836,37.5827407836914,46.59104537963867,9.052252627492287,12.827593708038329,16.031883239746094
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,high,z_i_64_after_norm,0,6398,409472,0,0,24.937481986019304,24.72500228881836,37.5827407836914,46.59104537963867,9.052252627492287,12.827593708038329,16.031883239746094
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,high,delta_hat_9_after_scale,0,6398,57582,0,0,1.298857052226776,1.2802666425704956,1.9692786931991577,3.8177804946899414,1.026689150707785,1.487667471170425,3.3598740100860596
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,high,logvar_hat_9_clamped,0,6398,57582,0,0,12.818831991575479,13.21046495437622,14.384739637374878,15.0,4.9742975600550565,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,high,full_aug_obs,0,6398,601412,0,0,28.193901839797366,28.035537719726562,40.2428030014038,48.85203552246094,9.066178457928508,12.827593708038329,16.031883239746094
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,obs_i_12,0,3165,37980,0,0,1.4114099054916587,1.4081006050109863,1.906653475761413,2.2091917991638184,0.8427518712965798,1.0366391181945798,1.429252028465271
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,z_i_64_raw,0,3165,202560,0,0,26.044879972087262,26.314647674560547,38.79810180664062,46.02775955200195,9.458037657308353,13.29890327453613,15.89680290222168
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,z_i_64_after_norm,0,3165,202560,0,0,26.044879972087262,26.314647674560547,38.79810180664062,46.02775955200195,9.458037657308353,13.29890327453613,15.89680290222168
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,delta_hat_9_after_scale,0,3165,28485,0,0,1.34496768694165,1.333083152770996,1.9504850149154662,2.982736587524414,1.0390940870012717,1.467599105834961,2.5272488594055176
