method_key,method,wall_time,steps,target_steps,percent,steps_per_second,eta_minutes,recent_episode_reward_mean
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:53:24,7304,500000,1.4608,243.44600756590535,33.730682552996754,-25.444057166666664
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:53:54,14460,500000,2.892,240.98455029831524,33.58029933170329,-10.088189125
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:54:24,21904,500000,4.3808,243.34554292220994,32.74465836102811,6.99280972
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:54:54,29240,500000,5.848,243.63727818641414,32.20361045897415,12.86162522
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:55:25,36868,500000,7.3736,243.51076427413904,31.69825650079656,13.27203716
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:55:55,44580,500000,8.916,245.7435967880388,30.887206961002622,15.7837966
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:56:25,51956,500000,10.3912,245.75492322443813,30.38555607360233,14.63288632
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:56:55,59208,500000,11.8416,245.24269240919153,29.956176313198846,16.90990692
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:57:25,66460,500000,13.292,244.84833249567984,29.510785689317114,16.65617616
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:57:55,73788,500000,14.7576,244.78422813506705,29.019571185010115,17.03111216
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:58:25,81540,500000,16.308,246.0138048005863,28.34935762644126,19.1417208
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:58:55,88804,500000,17.7608,245.68258744777344,27.894800107164762,18.785629939999996
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:59:25,96052,500000,19.2104,245.36459486843677,27.43862320591355,18.11141686
raw_z,gpsi_full_raw_z_repaired,2026-05-13 05:59:55,103412,500000,20.6824,245.3554706030673,26.939688704529615,22.4406925
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:00:25,110772,500000,22.1544,245.35057778500732,26.44026108231869,16.476113639999998
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:00:55,118436,500000,23.6872,245.98063785338744,25.853254367892205,23.8892514
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:01:26,125672,500000,25.1344,245.69579019701524,25.392376462768514,21.38214266
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:01:56,132988,500000,26.5976,245.59002796882953,24.906820188330382,21.95125808
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:02:26,140148,500000,28.0296,245.22141429842898,24.45762475716933,23.546141820000003
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:02:56,147460,500000,29.492,245.1273630003695,23.96985222191539,19.62566438
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:03:26,155296,500000,31.0592,245.88931478267207,23.364442134235937,23.400339439999996
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:03:56,162676,500000,32.5352,245.89259819499784,22.863911756336208,24.4886867
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:04:26,169892,500000,33.9784,245.65556661566495,22.396398647899236,22.765591560000004
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:04:56,177008,500000,35.4016,245.3038878561539,21.94502519730428,22.783675880000004
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:05:26,184324,500000,36.8648,245.0923750471224,21.466464085857897,22.59851166
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:05:56,192096,500000,38.4192,245.62799552905105,20.892298218206932,23.65904452
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:06:26,199348,500000,39.8696,245.47742104419333,20.412739572347714,21.40754544
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:06:56,206652,500000,41.3304,245.4054365194374,19.922677356604073,26.28551966
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:07:26,213904,500000,42.7808,245.274934153495,19.440497183795582,26.60421106
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:07:56,221188,500000,44.2376,245.0995764983257,18.959097086397495,24.1990909
raw_z,gpsi_full_raw_z_repaired,2026-05-13 06:08:26,228900,500000,45.78,245.4818788014284,18.4059750373193,25.64297146
