method_key,method,checkpoint,checkpoint_step,checkpoint_label,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,high,286,0.6083916083916084,0.3916083916083916,0.5734265734265734,0.959865501423297,4.861095004094796,0.8104870593943796,110.72027972027972,33.95132442228495,0.2888780714936989,0.32267994170913916,1.4617966062463275,0.1386890137450724,0.0,3.007667229819676,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,medium,14,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3728922628374861,1.4629956734890024,0.14117259699810306,0.0,2.8449749233109443,0
no_z,gpsi_no_z_repaired,no_z_250k,250000,250k,high,291,0.3402061855670103,0.6597938144329897,0.2920962199312715,0.927173475824397,5.012720199459869,0.6881178899114484,94.65635738831615,27.552523457010373,0.2584909345020938,0.2970673990159018,1.4631254918386347,0.08347788318450232,0.0,3.01998328738253,0
no_z,gpsi_no_z_repaired,no_z_250k,250000,250k,medium,9,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.8276002838627993,5.460726716884272,0.7764348056581285,84.55555555555556,23.96570254374268,0.31266820789010796,0.34541930276518285,1.4996075837920189,0.0944687416917045,0.0,3.094987152760947,0
no_z,gpsi_no_z_repaired,no_z_final,500000,final,high,294,0.4217687074829932,0.5782312925170068,0.4013605442176871,0.9425696578477437,5.393194812826483,0.6954970086487581,101.13945578231292,29.72796287942809,0.2637622233405775,0.2968744104554695,1.4908355147588113,0.07719310062367994,0.0,3.3505837569939025,0
no_z,gpsi_no_z_repaired,no_z_final,500000,final,medium,6,0.5,0.5,0.5,0.8265873281923236,5.714238268025025,0.6990972409645716,89.16666666666667,27.48180298883265,0.3264522106433871,0.38132598610539786,1.539539235134303,0.08529992425832368,0.0,3.2149951960389562,0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,high,295,0.2440677966101695,0.7559322033898305,0.21016949152542372,0.9075862149313875,5.263617744738704,0.6149198928121793,95.16949152542372,24.99432883156415,0.2595807116908559,0.29205478058625245,1.411531574683691,0.0593909525859728,0.0,3.2275246211627704,0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,medium,5,0.6,0.4,0.4,0.7945876373329144,5.837522654313034,1.0307153582572937,83.6,28.450595543789625,0.3376558242556649,0.3968769785091167,1.476845058654276,0.07423872226537442,0.0,2.9358773079963796,0
raw_z,gpsi_full_raw_z_repaired,raw_z_final,500000,final,high,288,0.3645833333333333,0.6354166666666666,0.3368055555555556,0.9279374694397718,5.8168385887129785,0.6695162186450843,103.13888888888889,28.100844457123088,0.26058586085335844,0.292769691233853,1.5486667988508414,0.06935325101639417,0.0,3.6606644653225016,0
raw_z,gpsi_full_raw_z_repaired,raw_z_final,500000,final,medium,12,0.5833333333333334,0.4166666666666667,0.5,0.8877041108452836,5.755814227452558,0.8223025128245354,98.83333333333333,31.204882284433282,0.3302129621679923,0.360548174369313,1.5522931937917965,0.0747940976005725,0.0,3.2929166740026186,0
z_norm,gpsi_full_z_norm_repaired,z_norm_250k,250000,250k,high,292,0.24315068493150685,0.7568493150684932,0.2191780821917808,0.9036338541621166,4.798947189630121,0.6163197604760732,90.43835616438356,24.785622288525868,0.2686852157981878,0.30720844121940377,1.3563238566435074,0.06051642723050008,0.0,2.797795205441998,0
z_norm,gpsi_full_z_norm_repaired,z_norm_250k,250000,250k,medium,8,0.375,0.625,0.375,0.820099719327346,4.952438096993565,0.6310952715575695,82.0,24.659294772239132,0.3535903002548707,0.38598177010038465,1.3460614475986918,0.06790593097245623,0.0,2.613255040749579,0
z_norm,gpsi_full_z_norm_repaired,z_norm_final,500000,final,high,291,0.35051546391752575,0.6494845360824743,0.32646048109965636,0.9438655783756891,5.363890788407938,0.6752549922445795,98.39862542955326,27.9560292082632,0.23562716859897034,0.26938058702688444,1.4334146723436052,0.07353902376978382,0.0,3.3129146377937815,0
z_norm,gpsi_full_z_norm_repaired,z_norm_final,500000,final,medium,9,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.895647878675233,4.997189198743516,1.1144095129436917,94.22222222222223,37.44419967308008,0.2499482406947683,0.29391022993196414,1.4266503199307357,0.0873500996850049,0.0,3.079572055676321,0
