config,risk_rise_0p5,risk_rise_0p5_nan_rate,risk_max_after_turn,R_bar_max_after_turn,reaction_time,sigma_rise_2x
Rgate_8,0.0,0.9333333333333333,0.07864502228223877,0.47244977889644774,0.20000000000000012,1.0666666666666667
default,0.0,0.9333333333333333,0.07567969938457758,0.4280038713577255,0.20000000000000012,1.0666666666666667
lambda_0p15,0.0,0.9333333333333333,0.09077626465444097,0.428384631081152,0.21000000000000013,2.4333333333333336
lambda_0p20,0.0,0.9333333333333333,0.10200898194455936,0.4291535790989425,0.2105263157894738,2.45
no_rbar,,1.0,0.00829105933861773,0.15822458969615635,0.20000000000000012,2.211111111111111
sigma0p10_Rgate8_no_rbar,,1.0,0.0096158338405718,0.1767675791512211,0.20000000000000012,2.2222222222222223
sigma_min_0p10,0.0,0.9333333333333333,0.07567969938457758,0.4280038713577255,0.20000000000000012,1.0666666666666667
