method,seed,global_step,scenario,success_rate,collision_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_mean,distance_warning_cost_p50,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p50,risk_sum_p90,risk_sum_p95,risk_sum_max,risk_max_mean,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_max,reaction_time_eval_style,reaction_time_nan_style,reaction_time,min_distance_after_turn,nan_reaction_rate,no_response_count,total_episodes
attention_full,0,507904,eval_random_switch,0.98,0.02,1.263408555984497,0.14,7.0360000000000005,21.823462113165743,0.0012577024979509518,1.8532552985561775e-08,0.00353228360414505,0.004670945015677712,0.007107527426382627,0.0442555504561491,0.014364218259808532,0.11095970379105498,0.19714591256523137,0.3475705897905846,0.04380389877027791,0.014349296136165406,0.10883696514709815,0.19546027359005394,0.3453272707858105,,,,,1.0,0.0,50.0
attention_full,0,507904,eval_sudden_turn,0.98,0.02,1.156586308479309,0.24,6.964000000000001,21.65855217867048,0.0018521061163528335,0.0,0.005217797586228698,0.009033625978481716,0.01629678777240683,0.05031212308997052,0.01613271649858773,0.09259682771471145,0.21351971045706705,0.4610998441837728,0.050060532104689595,0.0161121686805738,0.09234827038204113,0.21146378916327188,0.45957144966349006,0.2000000000000001,0.2000000000000001,0.2000000000000001,1.7620008754730225,0.02,0.0,50.0
