method,global_step,scenario,episode_id,episode_seed,success,collision,episode_min_distance,mean_min_distance,near_miss,episode_reward,steps,time_to_goal,reaction_time,reaction_time_eval_style,reaction_time_nan_style,no_response,risk_rise_time,min_distance_after_turn,turn_time,turn_step,turning_obstacle_id,distance_warning_cost_mean,distance_warning_cost_p50,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p50,risk_sum_p90,risk_sum_p95,risk_sum_max,risk_max_mean,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_max,base_reward_mean,applied_cost_mean,shaped_reward_mean
attention_full,507904,eval_random_switch,0,1000,1,0,1.7276197671890259,2.8727221488952637,0,21.679635393783684,32,6.4,nan,nan,nan,0,nan,nan,3.0,15,-1,0.0,0.0,0.0,0.0,0.0,0.010070309042930603,1.3417841060459068e-08,0.007392768748104572,0.06157469004392624,0.18151462078094482,0.010062363930046558,1.3417839284102229e-08,0.007382224313914776,0.061574675142765045,0.18151462078094482,0.6774885654449463,0.0,0.6774885654449463
attention_full,507904,eval_random_switch,1,1001,1,0,1.8313753604888916,3.516918182373047,0,22.88363426541815,39,7.800000000000001,nan,nan,nan,0,nan,nan,3.0,15,-1,0.0,0.0,0.0,0.0,0.0,0.0015750511083751917,1.7465301427321833e-09,0.0022793875541538,0.003374726977199316,0.041252098977565765,0.0015750511083751917,1.3962150324786649e-09,0.0022793875541538,0.003374726977199316,0.041252098977565765,0.5867598056793213,0.0,0.5867598056793213
attention_full,507904,eval_random_switch,2,1002,1,0,1.3769230842590332,3.8852360248565674,0,22.039154909100176,34,6.800000000000001,nan,nan,nan,0,nan,nan,3.0,15,-1,0.0,0.0,0.0,0.0,0.0,0.005100859794765711,8.547450426885548e-28,0.018252801150083542,0.03330706059932709,0.061696987599134445,0.005100787151604891,8.547450426885548e-28,0.0182527806609869,0.03330706059932709,0.061696987599134445,0.6482104063034058,0.0,0.6482104063034058
attention_full,507904,eval_random_switch,3,1003,1,0,1.2824640274047852,4.1397504806518555,0,22.714902149917762,36,7.2,nan,nan,nan,0,nan,nan,3.0,15,-1,0.0,0.0,0.0,0.0,0.0,0.003946457523852587,4.9824302550405264e-05,0.004240622743964195,0.025743242353200912,0.06643415987491608,0.003941327333450317,4.9824302550405264e-05,0.004240391775965691,0.025742214173078537,0.06643415987491608,0.6309694647789001,0.0,0.6309694647789001
attention_full,507904,eval_random_switch,4,1004,1,0,1.04220449924469,2.888062000274658,0,21.961431057604894,34,6.800000000000001,nan,nan,nan,0,nan,nan,3.0,15,-1,0.0,0.0,0.0,0.0,0.0,0.030412418767809868,2.375900587381352e-10,0.00018369467579759657,0.1218656450510025,0.7026737332344055,0.03041224181652069,2.3531554482758565e-10,0.000182328702067025,0.1218656450510025,0.7026737332344055,0.6459243893623352,0.0,0.6459243893623352
attention_full,507904,eval_random_switch,5,1005,1,0,1.3505584001541138,3.8696396350860596,0,23.272157428542847,37,7.4,nan,nan,nan,0,nan,nan,3.0,15,-1,0.0,0.0,0.0,0.0,0.0,0.00881261844187975,7.184624514652805e-16,0.006417940370738506,0.045389242470264435,0.15051484107971191,0.008812574669718742,7.184601750642348e-16,0.006417940370738506,0.04538913816213608,0.15051484107971191,0.6289772987365723,0.0,0.6289772987365723
attention_full,507904,eval_random_switch,6,1006,1,0,0.9657785892486572,2.543201446533203,1,21.705046503249037,33,6.6000000000000005,nan,nan,nan,0,nan,nan,3.0,15,-1,4.7793550038477406e-05,0.0,0.0,0.00018964525952469558,0.0011711049538121188,0.0380668044090271,0.0014612058876082301,0.05873383581638336,0.22320006787776947,0.3758992552757263,0.03747838735580444,0.0014610346406698227,0.05710862949490547,0.22320006787776947,0.3758992552757263,0.6577287316322327,0.0,0.6577287316322327
attention_full,507904,eval_random_switch,7,1007,1,0,0.9247086644172668,3.4595563411712646,1,21.875410671122083,33,6.6000000000000005,nan,nan,nan,0,nan,nan,3.0,15,-1,0.0001717813720460981,0.0,0.0,0.0,0.00566878521383174,0.08881179988384247,1.721142811605958e-10,0.4257754981517792,0.6181918382644653,0.724384069442749,0.08640222251415253,1.721142811605958e-10,0.42557212710380554,0.5749274492263794,0.7180600166320801,0.6628912687301636,0.0,0.6628912687301636
attention_full,507904,eval_random_switch,8,1008,1,0,0.8863704800605774,2.495391845703125,1,23.397741224443884,38,7.6000000000000005,nan,nan,nan,0,nan,nan,3.0,15,-1,0.00033978073042817414,0.0,0.0,0.0,0.01291166780166364,0.11346136778593063,0.005325139034539461,0.4837586283683777,0.6298733949661255,0.7074386477470398,0.11179496347904205,0.005323105491697788,0.4837568998336792,0.6298701167106628,0.7074379324913025,0.6157301068305969,0.0,0.6157301068305969
attention_full,507904,eval_random_switch,9,1009,1,0,0.7695698738098145,2.9352996349334717,1,21.033732562169895,32,6.4,nan,nan,nan,0,nan,nan,3.0,15,-1,0.0024542855098843575,0.0,0.0,0.011447561904788017,0.053098043056024835,0.0666058138012886,0.0004110960871912539,0.12224943190813065,0.43382060527801514,0.8175646066665649,0.06642166525125504,0.0004100747755728662,0.12133197486400604,0.43334531784057617,0.8175645470619202,0.6573041677474976,0.0,0.6573041677474976
