method,global_step,scenario,episode_id,episode_seed,success,collision,episode_min_distance,mean_min_distance,near_miss,episode_reward,steps,time_to_goal,reaction_time,reaction_time_eval_style,reaction_time_nan_style,no_response,risk_rise_time,min_distance_after_turn,turn_time,turn_step,turning_obstacle_id,distance_warning_cost_mean,distance_warning_cost_p50,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p50,risk_sum_p90,risk_sum_p95,risk_sum_max,risk_max_mean,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_max,base_reward_mean,applied_cost_mean,shaped_reward_mean
attention_full,507904,eval_sudden_turn,0,1000,1,0,1.076096773147583,2.7525970935821533,0,22.109993246864466,33,6.6000000000000005,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.6459765434265137,3.0,15,2,0.0,0.0,0.0,0.0,0.0,0.020994367077946663,1.853204594226554e-05,0.04242441803216934,0.08968855440616608,0.4050021171569824,0.02099158987402916,1.853204594226554e-05,0.04242441803216934,0.08968855440616608,0.4050021171569824,0.6699997782707214,0.0,0.6699997782707214
attention_full,507904,eval_sudden_turn,1,1001,1,0,0.8093835115432739,3.1602871417999268,1,21.901633218178123,34,6.800000000000001,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.251095175743103,3.0,15,2,0.0014149269554764032,0.0,0.0,0.00412050960585475,0.036334645671573185,0.057628557085990906,1.2322090903182925e-08,0.0024778449442237616,0.5268950462341309,0.7919793725013733,0.05762854591012001,1.2321953235527872e-08,0.0024778449442237616,0.5268950462341309,0.7919793725013733,0.6441656947135925,0.0,0.6441656947135925
attention_full,507904,eval_sudden_turn,2,1002,1,0,1.3276519775390625,3.102736473083496,0,22.123686621747616,36,7.2,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.7446024417877197,3.0,15,0,0.0,0.0,0.0,0.0,0.0,0.010729874484241009,8.843597520957758e-10,0.006600357126444578,0.06333473324775696,0.2103385627269745,0.008146924898028374,8.843582532946925e-10,0.006123984232544899,0.04279167205095291,0.18413162231445312,0.6145468354225159,0.0,0.6145468354225159
attention_full,507904,eval_sudden_turn,3,1003,1,0,1.1807329654693604,2.129350185394287,0,21.52650191639143,33,6.6000000000000005,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.4572525024414062,3.0,15,1,0.0,0.0,0.0,0.0,0.0,0.028060436248779297,0.003143448382616043,0.040990594774484634,0.17181357741355896,0.3076983690261841,0.028047697618603706,0.0031409692019224167,0.040990203619003296,0.17179875075817108,0.3076947033405304,0.6523181796073914,0.0,0.6523181796073914
attention_full,507904,eval_sudden_turn,4,1004,1,0,2.1948535442352295,3.57757830619812,0,21.299237560573385,34,6.800000000000001,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,2.825047731399536,3.0,15,2,0.0,0.0,0.0,0.0,0.0,0.014756363816559315,1.371229245705763e-07,0.022588439285755157,0.07878196239471436,0.2756120562553406,0.014756327494978905,9.355902363950008e-08,0.022588439285755157,0.07878196239471436,0.2756120562553406,0.6264481544494629,0.0,0.6264481544494629
attention_full,507904,eval_sudden_turn,5,1005,1,0,1.257236361503601,3.041849136352539,0,22.664923224859486,38,7.6000000000000005,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.820068359375,3.0,15,2,0.0,0.0,0.0,0.0,0.0,0.016542300581932068,1.5262527597315056e-07,0.006892148405313492,0.028089113533496857,0.4834437668323517,0.016542300581932068,1.5104967587831197e-07,0.006892148405313492,0.028089113533496857,0.4834437668323517,0.5964453220367432,0.0,0.5964453220367432
attention_full,507904,eval_sudden_turn,6,1006,1,0,1.1955782175064087,2.576253890991211,0,21.498995168572275,34,6.800000000000001,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.3693681955337524,3.0,15,2,0.0,0.0,0.0,0.0,0.0,0.07571238279342651,0.00015300016093533486,0.2666327655315399,0.36458367109298706,0.6668488383293152,0.07464982569217682,0.00014800269855186343,0.26420193910598755,0.35267460346221924,0.6668488383293152,0.6323233842849731,0.0,0.6323233842849731
attention_full,507904,eval_sudden_turn,7,1007,1,0,1.8240801095962524,3.045161247253418,0,23.720139127226716,41,8.200000000000001,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,2.7545738220214844,3.0,15,1,0.0,0.0,0.0,0.0,0.0,0.00024243169173132628,1.574035068951929e-10,2.3708236085440149e-07,1.2724717635137495e-06,0.009847785346210003,0.0002424316480755806,1.5713171042097684e-10,2.3708236085440149e-07,1.2724717635137495e-06,0.009847785346210003,0.5785399675369263,0.0,0.5785399675369263
attention_full,507904,eval_sudden_turn,8,1008,1,0,0.8976592421531677,3.1514978408813477,1,22.00729750037426,35,7.0,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,3.093061685562134,3.0,15,1,0.00029924657428637147,0.0,0.0,0.0,0.010473630716663962,0.03315962478518486,3.035738060930271e-08,1.9519389752531424e-05,0.10989422351121902,0.7944175004959106,0.03315945714712143,3.035738060930271e-08,1.9188828446203843e-05,0.10989409685134888,0.7944175004959106,0.628779947757721,0.0,0.628779947757721
attention_full,507904,eval_sudden_turn,9,1009,1,0,1.3347735404968262,3.5080056190490723,0,21.221774478986625,34,6.800000000000001,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,2.007143259048462,3.0,15,2,0.0,0.0,0.0,0.0,0.0,0.020113632082939148,1.899656751902512e-07,0.0004338981816545129,0.037988822907209396,0.5772399306297302,0.020113570615649223,1.899656751902512e-07,0.0004338981816545129,0.03798879310488701,0.5772399306297302,0.6241698265075684,0.0,0.6241698265075684
attention_full,507904,eval_sudden_turn,10,1010,1,0,1.1422468423843384,3.062775135040283,0,22.645107253872844,36,7.2,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.6632261276245117,3.0,15,2,0.0,0.0,0.0,0.0,0.0,0.040262069553136826,9.174105457532278e-07,0.12959156930446625,0.18715034425258636,0.32989126443862915,0.04026206582784653,9.174077604257036e-07,0.12959155440330505,0.18715032935142517,0.32989126443862915,0.6290307641029358,0.0,0.6290307641029358
attention_full,507904,eval_sudden_turn,11,1011,1,0,1.6036527156829834,3.4914753437042236,0,21.727503890132212,36,7.2,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.718619704246521,3.0,15,2,0.0,0.0,0.0,0.0,0.0,0.0019164234399795532,5.794122444058303e-07,0.00219539413228631,0.011907678097486496,0.032116375863552094,0.0019163890974596143,5.789463557448471e-07,0.00219539413228631,0.011907652020454407,0.032116375863552094,0.6035417914390564,0.0,0.6035417914390564
attention_full,507904,eval_sudden_turn,12,1012,1,0,1.3808118104934692,3.004805088043213,0,21.985140812646712,34,6.800000000000001,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.4077974557876587,3.0,15,1,0.0,0.0,0.0,0.0,0.0,0.017954206094145775,0.00018397427629679441,0.02614000253379345,0.06306851655244827,0.28988736867904663,0.017942164093255997,0.00018397399981040508,0.026139788329601288,0.06306851655244827,0.28988736867904663,0.6466217637062073,0.0,0.6466217637062073
attention_full,507904,eval_sudden_turn,13,1013,1,0,1.1694419384002686,2.737183094024658,0,21.524912790002126,32,6.4,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.5939397811889648,3.0,15,2,0.0,0.0,0.0,0.0,0.0,0.033762119710445404,4.1996258914878126e-08,0.0034034010022878647,0.21846580505371094,0.6062803268432617,0.03376210853457451,4.199625180945077e-08,0.0034034010022878647,0.21846580505371094,0.6062803268432617,0.6726535558700562,0.0,0.6726535558700562
attention_full,507904,eval_sudden_turn,14,1014,1,0,1.4353748559951782,4.242912292480469,0,24.035883062730136,40,8.0,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.8801034688949585,3.0,15,2,0.0,0.0,0.0,0.0,0.0,0.005216370336711407,4.71340397340108e-21,0.003366016549989581,0.04123115912079811,0.09169629216194153,0.005216366611421108,4.706709384215012e-21,0.00336601585149765,0.04123115912079811,0.09169629216194153,0.6008970737457275,0.0,0.6008970737457275
attention_full,507904,eval_sudden_turn,15,1015,1,0,1.2212880849838257,3.046221971511841,0,22.107813644969138,37,7.4,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.2212880849838257,3.0,15,0,0.0,0.0,0.0,0.0,0.0,0.04937506467103958,0.006329307798296213,0.18144668638706207,0.21635885536670685,0.25663116574287415,0.04888968914747238,0.005387482699006796,0.18108557164669037,0.21635308861732483,0.25645869970321655,0.5975084900856018,0.0,0.5975084900856018
attention_full,507904,eval_sudden_turn,16,1016,1,0,1.0911091566085815,2.8587329387664795,0,21.590619485009547,33,6.6000000000000005,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,2.855602264404297,3.0,15,1,0.0,0.0,0.0,0.0,0.0,0.0394735224545002,7.633535403783753e-08,0.01380888931453228,0.3387759327888489,0.5608048439025879,0.0394735112786293,5.0365777326533134e-08,0.013808861374855042,0.3387759327888489,0.5608048439025879,0.6542612314224243,0.0,0.6542612314224243
attention_full,507904,eval_sudden_turn,17,1017,1,0,1.1179099082946777,3.1969504356384277,0,22.949773661668623,36,7.2,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.5206621885299683,3.0,15,2,0.0,0.0,0.0,0.0,0.0,0.02322021685540676,6.498717119995945e-09,0.020384836941957474,0.1286945641040802,0.5011277794837952,0.023220214992761612,6.104758476510597e-09,0.020384836941957474,0.1286945641040802,0.5011277794837952,0.6374937891960144,0.0,0.6374937891960144
attention_full,507904,eval_sudden_turn,18,1018,1,0,1.418555498123169,2.875927448272705,0,22.467610297712383,34,6.800000000000001,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,2.1864757537841797,3.0,15,0,0.0,0.0,0.0,0.0,0.0,0.019541572779417038,0.00010850503167603165,0.03887585550546646,0.1359962671995163,0.25063246488571167,0.019330941140651703,9.209262498188764e-05,0.03823225945234299,0.13599392771720886,0.25063246488571167,0.6608120799064636,0.0,0.6608120799064636
attention_full,507904,eval_sudden_turn,19,1019,1,0,0.9886877536773682,2.5202221870422363,1,21.458655533870406,33,6.6000000000000005,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,2.1825525760650635,3.0,15,0,6.311504876066465e-06,0.0,0.0,3.212506271665916e-05,0.0001279669168638975,0.0446205735206604,3.195258102550724e-08,0.16734515130519867,0.2813010513782501,0.31495335698127747,0.037068791687488556,3.195258102550724e-08,0.1617305427789688,0.21188433468341827,0.26521578431129456,0.6502622961997986,0.0,0.6502622961997986
attention_full,507904,eval_sudden_turn,20,1020,1,0,1.0531374216079712,2.5740227699279785,0,20.98471917655319,31,6.2,0.20000000000000018,0.20000000000000018,0.20000000000000018,0,37.0,1.904404640197754,3.0,15,2,0.0,0.0,0.0,0.0,0.0,0.036993637681007385,1.0367140021116938e-05,0.017467591911554337,0.24631904065608978,0.6281968355178833,0.036993607878685,1.0367138202127535e-05,0.017467588186264038,0.24631904065608978,0.6281968355178833,0.6769263744354248,0.0,0.6769263744354248
