metric,corrected_z2,attention_full,delta_z2_minus_attention,baseline_value_from_guide
success_rate,0.5066666666666667,0.61,-0.10333333333333328,0.61
collision_rate,0.49333333333333335,0.38999999999999996,0.10333333333333339,0.39
