method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,z_norm_raw_count,z_norm_raw_mean,z_norm_raw_median,z_norm_raw_p95,z_norm_raw_max,z_norm_raw_min,z_norm_raw_std,z_norm_raw_nan_count,z_norm_raw_inf_count,z_norm_after_count,z_norm_after_mean,z_norm_after_median,z_norm_after_p95,z_norm_after_max,z_norm_after_min,z_norm_after_std,z_norm_after_nan_count,z_norm_after_inf_count,z_zero_norm_count_count,z_zero_norm_count_mean,z_zero_norm_count_median,z_zero_norm_count_p95,z_zero_norm_count_max,z_zero_norm_count_min,z_zero_norm_count_std,z_zero_norm_count_nan_count,z_zero_norm_count_inf_count,history_valid_ratio_count,history_valid_ratio_mean,history_valid_ratio_median,history_valid_ratio_p95,history_valid_ratio_max,history_valid_ratio_min,history_valid_ratio_std,history_valid_ratio_nan_count,history_valid_ratio_inf_count,inactive_forwarded_count_count,inactive_forwarded_count_mean,inactive_forwarded_count_median,inactive_forwarded_count_p95,inactive_forwarded_count_max,inactive_forwarded_count_min,inactive_forwarded_count_std,inactive_forwarded_count_nan_count,inactive_forwarded_count_inf_count,delta_norm_1s_count,delta_norm_1s_mean,delta_norm_1s_median,delta_norm_1s_p95,delta_norm_1s_max,delta_norm_1s_min,delta_norm_1s_std,delta_norm_1s_nan_count,delta_norm_1s_inf_count,logvar_xy_1s_count,logvar_xy_1s_mean,logvar_xy_1s_median,logvar_xy_1s_p95,logvar_xy_1s_max,logvar_xy_1s_min,logvar_xy_1s_std,logvar_xy_1s_nan_count,logvar_xy_1s_inf_count,logvar_xy_1s_span,delta_norm_2s_count,delta_norm_2s_mean,delta_norm_2s_median,delta_norm_2s_p95,delta_norm_2s_max,delta_norm_2s_min,delta_norm_2s_std,delta_norm_2s_nan_count,delta_norm_2s_inf_count,logvar_xy_2s_count,logvar_xy_2s_mean,logvar_xy_2s_median,logvar_xy_2s_p95,logvar_xy_2s_max,logvar_xy_2s_min,logvar_xy_2s_std,logvar_xy_2s_nan_count,logvar_xy_2s_inf_count,logvar_xy_2s_span,delta_norm_4s_count,delta_norm_4s_mean,delta_norm_4s_median,delta_norm_4s_p95,delta_norm_4s_max,delta_norm_4s_min,delta_norm_4s_std,delta_norm_4s_nan_count,delta_norm_4s_inf_count,logvar_xy_4s_count,logvar_xy_4s_mean,logvar_xy_4s_median,logvar_xy_4s_p95,logvar_xy_4s_max,logvar_xy_4s_min,logvar_xy_4s_std,logvar_xy_4s_nan_count,logvar_xy_4s_inf_count,logvar_xy_4s_span,projected_std_radial_count,projected_std_radial_mean,projected_std_radial_median,projected_std_radial_p95,projected_std_radial_max,projected_std_radial_min,projected_std_radial_std,projected_std_radial_nan_count,projected_std_radial_inf_count,projected_std_relvel_count,projected_std_relvel_mean,projected_std_relvel_median,projected_std_relvel_p95,projected_std_relvel_max,projected_std_relvel_min,projected_std_relvel_std,projected_std_relvel_nan_count,projected_std_relvel_inf_count
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,1500000,best_by_eval,eval_flow_high_threat,ar1_velocity,high,8070,25.36358768753846,25.215709686279297,36.35589542388915,45.42277145385742,9.68475341796875,6.869689447885881,0,0,8070,3.9999948555356655,3.9999959468841553,3.999998092651367,3.9999990463256836,3.9999747276306152,3.234220604326412e-06,0,0,1268,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8070,0.687478315205656,0.800000011920929,1.0,1.0,0.05000000074505806,0.339065735992535,0,0,1268,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8070,0.8850084040457062,0.89046910405159,1.4328221082687378,1.8986561298370361,0.018864305689930916,0.3354824396558855,0,0,16140,-4.581142228998733,-5.0,-2.6702767014503483,0.27447909116744995,-5.0,0.8308602543709934,0,0,5.27447909116745,8070,2.6877453488215823,2.772362470626831,4.110707569122314,5.895981788635254,0.04262920469045639,0.9481257929033557,0,0,16140,-3.9066988910293343,-4.639796018600464,-1.2513398706913,0.8091039061546326,-5.0,1.3460281817092004,0,0,5.809103906154633,8070,5.375790006404251,5.480576276779175,7.828063631057737,12.10452651977539,0.08376693725585938,1.6564845131148114,0,0,16140,-2.8664094811835694,-2.7321122884750366,-0.44635879695415553,2.148587942123413,-5.0,1.5298605157231933,0,0,7.148587942123413,1268,0.11130638504018919,0.08208499848842621,0.24668478295207016,0.4720897376537323,0.08208498358726501,0.056959599759225446,0,0,1268,0.11315475614618052,0.08208499848842621,0.2467778347432611,0.5007464289665222,0.08208498358726501,0.05896226754488238,0,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,1500000,best_by_eval,eval_flow_high_threat,linear,high,5060,24.764472012274823,23.866129875183105,35.3829439163208,45.03498458862305,10.433415412902832,6.451190455371277,0,0,5060,3.99999466130856,3.999995470046997,3.999998092651367,3.9999988079071045,3.9999759197235107,3.172101783579519e-06,0,0,841,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5060,0.6684090914278339,0.75,1.0,1.0,0.05000000074505806,0.33293303363921195,0,0,841,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5060,0.9088423035943166,0.9332869052886963,1.392035585641861,1.8828721046447754,0.03506588563323021,0.3157202183419551,0,0,10120,-4.5453330846473925,-5.0,-2.671093714237214,-0.09670991450548172,-5.0,0.8106348469311856,0,0,4.903290085494518,5060,2.764203949026734,2.8343944549560547,4.109759116172791,5.910455703735352,0.04912245273590088,0.885032899913612,0,0,10120,-3.8751504875748997,-4.305859804153442,-1.3891316115856203,0.4428483247756958,-5.0,1.2622046987501458,0,0,5.442848324775696,5060,5.6751621714634854,5.747886419296265,8.271240520477296,11.266080856323242,0.2275412231683731,1.6549188267547175,0,0,10120,-2.8872845043207374,-2.6501479148864746,-0.6320034563541433,2.117637872695923,-5.0,1.4666589913053882,0,0,7.117637872695923,841,0.1140245183699905,0.08208499848842621,0.2466590851545334,0.7544471025466919,0.08208498358726501,0.06614699642668403,0,0,841,0.11579179558260687,0.08208499848842621,0.2511310279369354,0.6617029309272766,0.08208498358726501,0.06796198291344216,0,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,1500000,best_by_eval,eval_flow_high_threat,sinusoidal_lateral,high,8515,27.30857359594411,27.44647789001465,37.296396636962875,46.15652084350586,9.218315124511719,6.775136637424102,0,0,8515,3.9999956178021163,3.9999964237213135,3.9999983310699463,3.9999990463256836,3.9999678134918213,2.8041198767821537e-06,0,0,1363,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8515,0.7095419850793223,0.8500000238418579,1.0,1.0,0.05000000074505806,0.32975946440891357,0,0,1363,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8515,0.9232653125173386,0.940919041633606,1.4257757306098937,1.8410018682479858,0.021034980192780495,0.3192531873489124,0,0,17030,-4.724212044219339,-5.0,-3.129499852657319,0.07671194523572922,-5.0,0.6732053961697669,0,0,5.076711945235729,8515,2.789204655183863,2.8279478549957275,4.307674455642699,5.814931869506836,0.04825766012072563,0.9268875014146314,0,0,17030,-4.1983265492100434,-5.0,-1.6217929959297188,0.6706641912460327,-5.0,1.159914262399451,0,0,5.670664191246033,8515,5.640167580038327,5.714947700500488,8.353591728210446,12.142339706420898,0.09015284478664398,1.7516078302194475,0,0,17030,-3.1758093382472516,-3.0310614109039307,-0.9579737693071367,2.4918744564056396,-5.0,1.4220110271115611,0,0,7.49187445640564,1363,0.10206534762156858,0.08208499848842621,0.20528607070446012,0.5587925314903259,0.08208498358726501,0.04913190966913052,0,0,1363,0.10242280712787141,0.08208499848842621,0.2138198181986808,0.694922149181366,0.08208498358726501,0.05085446739265168,0,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,1500000,best_by_eval,eval_flow_high_threat,crossing_or_sudden_threat,high,5033,24.115510945667832,23.531864166259766,35.59844131469726,43.134708404541016,7.686511993408203,6.123975286054206,0,0,5033,3.9999945161358252,3.999995231628418,3.999998092651367,3.9999988079071045,3.9999592304229736,3.1535014530469375e-06,0,0,850,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5033,0.6918140278147308,0.800000011920929,1.0,1.0,0.05000000074505806,0.3307409492867848,0,0,850,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5033,0.839586084522788,0.8800866007804871,1.3566293001174927,1.9399981498718262,0.01736009120941162,0.3364830931345655,0,0,10066,-4.5947924331615155,-5.0,-2.8336756229400635,-0.06594569236040115,-5.0,0.7642906241477823,0,0,4.934054307639599,5033,2.5405279821831903,2.6451220512390137,3.9347311973571775,5.702274799346924,0.0303054079413414,0.9227474342420311,0,0,10066,-3.884168796923353,-4.303937673568726,-1.4236182570457458,0.6025680303573608,-5.0,1.2590456288635337,0,0,5.602568030357361,5033,5.2543895752675285,5.405423164367676,7.794812393188475,11.149246215820312,0.05054832622408867,1.7379544450578872,0,0,10066,-2.919377136375894,-2.7592023611068726,-0.5013256371021271,1.8385802507400513,-5.0,1.514169407634953,0,0,6.838580250740051,850,0.11023456174661131,0.08208499848842621,0.24048590809106812,0.4611583650112152,0.08208498358726501,0.05747720043717198,0,0,850,0.10922167023315149,0.08208499848842621,0.24662699848413458,0.5722880959510803,0.08208498358726501,0.0578832315701388,0,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,1500000,best_by_eval,eval_flow_high_threat,accel_decel,medium,150,21.89132609685262,21.975153923034668,26.590323734283444,27.46961212158203,13.664726257324219,3.15401257652874,0,0,150,3.9999946467081706,3.999995231628418,3.9999964237213135,3.9999969005584717,3.9999876022338867,1.7851352181460536e-06,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150,0.6413333337008953,0.699999988079071,1.0,1.0,0.05000000074505806,0.32314839917279736,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150,0.7924189067383607,0.8303487002849579,1.1548333287239074,1.2488149404525757,0.10941188782453537,0.24878467930899045,0,0,300,-4.452469387849172,-5.0,-2.743685126304626,-0.6923313140869141,-5.0,0.7958608892439453,0,0,4.307668685913086,150,2.799454103310903,2.848106622695923,3.6205068349838254,4.118811130523682,1.0732507705688477,0.6238329761282964,0,0,300,-3.6690416369463006,-4.540884017944336,-1.1595421254634857,0.03841252252459526,-5.0,1.4658869383852973,0,0,5.038412522524595,150,6.113755017916361,6.387537717819214,8.056055212020874,8.211792945861816,2.286996603012085,1.342038063578142,0,0,300,-3.048931339631478,-2.5939383506774902,-0.6677185624837875,-0.20239262282848358,-5.0,1.7241801789465379,0,0,4.797607377171516,30,0.11430783917506536,0.08662141487002373,0.26482162028551093,0.28142550587654114,0.08208499103784561,0.05692876953537484,0,0,30,0.10791387731830279,0.08289692178368568,0.24038087725639343,0.24952168762683868,0.08208499103784561,0.05196859281438664,0,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,1500000,best_by_eval,eval_flow_high_threat,sinusoidal_lateral,medium,50,27.153456687927246,27.614331245422363,29.73435525894165,30.210002899169922,21.797164916992188,2.114135860065077,0,0,50,3.9999964809417725,3.9999966621398926,3.999997138977051,3.99999737739563,3.9999942779541016,6.819938346397828e-07,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.7310000006109476,1.0,1.0,1.0,0.05000000074505806,0.38352183669839945,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,0.7574046903848648,0.7283859848976135,1.062925863265991,1.1228115558624268,0.47830286622047424,0.20458168398949736,0,0,100,-4.975520839691162,-5.0,-4.779878759384156,-4.346867561340332,-5.0,0.09445197640417989,0,0,0.653132438659668,50,2.5910934233665466,2.7734333276748657,3.679463028907776,4.251236915588379,1.581663727760315,0.6936907642278134,0,0,100,-4.335096535682678,-5.0,-2.2890111684799197,-2.0284814834594727,-5.0,0.9164692097981273,0,0,2.9715185165405273,50,5.739164991378784,5.9973132610321045,7.7919653892517085,7.983274459838867,3.823040723800659,1.2036161237300447,0,0,100,-3.37454280436039,-2.9518932104110718,-1.2372627496719362,-0.8570591807365417,-5.0,1.4920755629817157,0,0,4.142940819263458,10,0.08208499625325202,0.08208499848842621,0.08208499848842621,0.08208499848842621,0.08208499103784561,3.4142849556772713e-09,0,0,10,0.08208499550819397,0.08208499848842621,0.08208499848842621,0.08208499848842621,0.08208499103784561,3.650024149988857e-09,0,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,1500000,best_by_eval,eval_flow_high_threat,ar1_velocity,medium,30,31.111697642008462,30.74298858642578,34.52572441101074,35.31401443481445,28.006032943725586,1.9174526251326574,0,0,30,3.9999973217646283,3.99999737739563,3.999997854232788,3.999998092651367,3.9999966621398926,3.519310923494423e-07,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,30,0.4783333346247673,0.4000000059604645,1.0,1.0,0.05000000074505806,0.300467227748551,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,30,0.7794851581255595,0.7955516576766968,0.9779426395893095,1.0560380220413208,0.5201026797294617,0.14678673159974814,0,0,60,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0,0,0.0,30,2.6767505923906962,2.605655550956726,3.4409634113311762,3.75588059425354,1.774862289428711,0.508379812663892,0,0,60,-4.615682828426361,-5.0,-3.543137848377229,-2.724994421005249,-5.0,0.5700427670517729,0,0,2.275005578994751,30,5.966595029830932,5.840356826782227,7.672634935379028,7.978714466094971,4.478957653045654,1.060109029491356,0,0,60,-3.680699336528778,-3.9018683433532715,-1.7018790245056152,-1.4527606964111328,-5.0,1.3459448111500436,0,0,3.547239303588867,6,0.08208499848842621,0.08208499848842621,0.08208499848842621,0.08208499848842621,0.08208499848842621,0.0,0,0,6,0.08208499724666278,0.08208499848842621,0.08208499848842621,0.08208499848842621,0.08208499103784561,2.7766674477604404e-09,0,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,1500000,best_by_eval,eval_flow_mixed_ood,accel_decel,high,8320,25.236075937747955,25.185233116149902,34.70344142913818,43.9541130065918,9.846571922302246,5.796970079286958,0,0,8320,3.99999504633821,3.999995708465576,3.999997854232788,3.9999990463256836,3.9999735355377197,2.8014852016367542e-06,0,0,1261,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8320,0.6771995197050273,0.800000011920929,1.0,1.0,0.05000000074505806,0.3371703770819497,0,0,1261,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8320,0.9056024994632865,0.9397897720336914,1.4146001398563384,1.9233134984970093,0.015176462940871716,0.3332095492937847,0,0,16640,-4.644826541445666,-5.0,-2.9335941553115847,0.1452891230583191,-5.0,0.7432370309289822,0,0,5.145289123058319,8320,2.726373945022351,2.8270020484924316,4.1845579624176015,6.219864368438721,0.029215900227427483,0.9391284602691862,0,0,16640,-3.9686431801089874,-4.5207884311676025,-1.5224507451057436,0.471868634223938,-5.0,1.2295826118531359,0,0,5.471868634223938,8320,5.425234702114875,5.450716733932495,8.176609992980955,12.330655097961426,0.038945272564888,1.7262413034061368,0,0,16640,-2.911177519931796,-2.7880396842956543,-0.4760118573904044,2.4823057651519775,-5.0,1.4904802818246357,0,0,7.4823057651519775,1261,0.1047341538907799,0.08208499848842621,0.22181421518325806,0.5396775007247925,0.08208498358726501,0.05104447008268999,0,0,1261,0.1069842394527039,0.08208499848842621,0.23217593133449554,0.7206881046295166,0.08208498358726501,0.05801503714661347,0,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,1500000,best_by_eval,eval_flow_mixed_ood,crossing_or_sudden_threat,high,5305,25.294567072200504,24.574405670166016,36.55943984985352,45.51804733276367,9.537538528442383,6.806277271861125,0,0,5305,3.9999948584280633,3.999995708465576,3.999998092651367,3.9999988079071045,3.9999704360961914,3.2337383003932152e-06,0,0,873,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5305,0.6712064094672947,0.75,1.0,1.0,0.05000000074505806,0.3388187814513242,0,0,873,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5305,0.8775599717528583,0.8922369480133057,1.4134757041931152,1.994333267211914,0.010845750570297241,0.33988398948111087,0,0,10610,-4.5550461285785335,-5.0,-2.625773847103119,-0.011133022606372833,-5.0,0.8473546734638507,0,0,4.988866977393627,5305,2.690538186125605,2.746795177459717,4.1850374221801765,6.096607208251953,0.015720171853899956,0.9783788608109074,0,0,10610,-3.896768093444091,-4.431729078292847,-1.3574773967266092,0.5597975254058838,-5.0,1.2950028969332859,0,0,5.559797525405884,5305,5.6678606876919115,5.8694329261779785,8.251278114318849,10.992839813232422,0.10216695815324783,1.8129740926939208,0,0,10610,-2.8579966758096083,-2.6625757217407227,-0.40208863615990525,2.2560369968414307,-5.0,1.5507962013237062,0,0,7.256036996841431,873,0.11809189165307621,0.08208499848842621,0.2793781280517578,0.9938824772834778,0.08208498358726501,0.07943875558881168,0,0,873,0.1186606458730714,0.08208499848842621,0.2670808911323547,0.604137659072876,0.08208498358726501,0.07147275042288856,0,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_best_by_eval,1500000,best_by_eval,eval_flow_mixed_ood,ar1_velocity,high,9377,25.774005522234194,25.752063751220703,36.0694984436035,45.681175231933594,9.069375038146973,6.57343762130843,0,0,9377,3.9999951697417995,3.9999959468841553,3.999998092651367,3.9999990463256836,3.999969959259033,2.9626813970895265e-06,0,0,1532,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9377,0.6652127551466109,0.75,1.0,1.0,0.05000000074505806,0.3387959585689527,0,0,1532,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9377,0.8790344550378897,0.8852407336235046,1.4243242025375364,2.0792980194091797,0.014710597693920135,0.3360445077931749,0,0,18754,-4.600903015355318,-5.0,-2.5746479153633177,0.10542183369398117,-5.0,0.8406537926947968,0,0,5.105421833693981,9377,2.721702415790495,2.770542860031128,4.326058864593506,6.813334941864014,0.05666483938694,0.9884002586121073,0,0,18754,-3.8973740854969874,-4.636446475982666,-1.1226838827133185,0.6850501298904419,-5.0,1.3722172876806291,0,0,5.685050129890442,9377,5.543762581151583,5.6150617599487305,8.433629035949703,13.441676139831543,0.02680393122136593,1.8246892071853953,0,0,18754,-2.8100189210270368,-2.6940507888793945,-0.11356870085001006,2.9289979934692383,-5.0,1.6413616358304821,0,0,7.928997993469238,1532,0.10966808462695415,0.08208499848842621,0.25006834492087376,0.7846710681915283,0.08208498358726501,0.06177182701943556,0,0,1532,0.11354423138281385,0.08208499848842621,0.2630859941244126,1.0022751092910767,0.08208498358726501,0.06868762476447174,0,0
