metric,corrected_z2,no_z_full,delta_z2_minus_noz,baseline_value_from_guide
success_rate,0.5066666666666667,0.5633333333333334,-0.05666666666666664,0.5633
collision_rate,0.49333333333333335,0.4366666666666667,0.05666666666666664,0.4367
