phase,loaded_checkpoint_path,parent_sha256,parent_total_steps,additional_steps,target_total_steps,reset_num_timesteps,model_num_timesteps,model_parent_step_match,optimizer_state_entries,optimizer_state_restored,learning_rate_current,clip_range_current,progress_remaining_assuming_global_total,n_envs,n_steps,batch_size,obs_dim,hostname,model_expected_target_steps,model_target_step_match
before_learn,checkpoints/env_v2_gpsi_heada_ppo_n3z_layernorm_alpha0p5_s0/checkpoint_500k.zip,6c49b0a153d7579e6b099a22d0e9e604abce279647de2d811008c48e2103708d,500000,1000000,1500000,False,500000,1,25,1,0.0003,0.2,0.6666666666666667,4,1024,256,94,8a4832b5251c,,
after_learn,checkpoints/env_v2_gpsi_heada_ppo_n3z_layernorm_alpha0p5_s0/checkpoint_500k.zip,6c49b0a153d7579e6b099a22d0e9e604abce279647de2d811008c48e2103708d,500000,1000000,1500000,False,1503520,,25,1,0.0003,0.2,-0.002346666666666719,4,1024,256,94,8a4832b5251c,1500000,1
