method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc,action_norm,action_delta,no_response_rate
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,accel_decel,high,456,0.2850877192982456,0.375,2.283148773648192,2.091968981135223,1.5389941486350276,0.049523672938608286,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,accel_decel,low,261,0.26436781609195403,0.2988505747126437,2.5318925446363245,2.3268102856178428,1.5022833767521884,0.06141876321200324,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,accel_decel,medium,574,0.25435540069686413,0.289198606271777,2.8278475659583022,2.13155971270315,1.4511203699411,0.06125551491946579,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,ar1_velocity,high,252,0.5277777777777778,0.5595238095238095,2.2159131048549807,2.240246545408116,1.3315546867393313,0.0699632071487103,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,ar1_velocity,low,327,0.29357798165137616,0.345565749235474,2.580050114639081,1.6155771072223222,1.483759816633452,0.07208674290254484,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,ar1_velocity,medium,398,0.2537688442211055,0.2638190954773869,3.0492317318008397,1.729513003208314,1.4702813415671114,0.07920776939618603,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,crossing_or_sudden_threat,high,150,0.3,0.31333333333333335,2.8156506499648093,2.8693789941211723,1.409293260574341,0.04621170595909158,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,crossing_or_sudden_threat,low,144,0.11805555555555555,0.18055555555555555,3.961429348293071,1.2825578283451669,1.4784269134203594,0.05091077024634513,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,crossing_or_sudden_threat,medium,281,0.10676156583629894,0.1387900355871886,3.9068951135952013,1.8997817764912672,1.500173443152811,0.04293761404357135,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,linear,high,152,0.618421052631579,0.618421052631579,1.932756313081451,2.0430291728075525,1.3998358759440874,0.06623747169444534,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,linear,low,122,0.18032786885245902,0.22131147540983606,3.8332954803901558,1.6178215425851392,1.4392160001348278,0.1227242797574975,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,linear,medium,358,0.34916201117318435,0.3715083798882682,2.4872150311465036,1.9123124441947685,1.450017199502977,0.0625137055589292,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,sinusoidal_lateral,high,261,0.49808429118773945,0.5095785440613027,2.3107490017314323,2.239582454689779,1.404790744927651,0.06906546759187204,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,sinusoidal_lateral,low,432,0.19675925925925927,0.2523148148148148,3.2061388584897266,1.4741010871174427,1.5245979179938633,0.059667280625069034,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_density,sinusoidal_lateral,medium,390,0.32051282051282054,0.34102564102564104,3.139719064678185,2.071894004177972,1.3951166574771587,0.06881214131195194,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,accel_decel,high,595,0.1915966386554622,0.23865546218487396,2.852853674691233,1.9311137974087722,1.480057191047348,0.06441637929842,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,accel_decel,low,105,0.21904761904761905,0.24761904761904763,3.6546643634991987,1.5003941196249275,1.4644089698791505,0.07457825667446567,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,accel_decel,medium,453,0.18984547461368653,0.23841059602649006,2.973904578899245,1.4704963564918752,1.545603176484308,0.06343209206293159,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,ar1_velocity,high,599,0.3639398998330551,0.38564273789649417,2.632729357505481,1.9475575644115126,1.4183984293364522,0.06179672271597863,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,ar1_velocity,low,173,0.24277456647398843,0.3063583815028902,2.7407476027856843,1.4889301790619043,1.483354036518604,0.11115948049448474,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,ar1_velocity,medium,470,0.2425531914893617,0.2872340425531915,2.7381538389131435,1.704481625542631,1.4781769120946844,0.06961720313757976,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,crossing_or_sudden_threat,high,93,0.13978494623655913,0.13978494623655913,4.706297597417268,1.6819065884769053,1.4128512900362733,0.05956668230474636,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,crossing_or_sudden_threat,low,29,0.5517241379310345,0.5517241379310345,2.281028182470593,3.156199879688138,1.313141892696249,0.08079180005809357,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,crossing_or_sudden_threat,medium,170,0.12941176470588237,0.15294117647058825,3.478289886569495,1.5323089100675067,1.445095633057987,0.06456923883079606,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,linear,high,324,0.37962962962962965,0.4382716049382716,2.4189846795962233,1.7708167196187394,1.4211450853833445,0.06436323235961205,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,linear,low,125,0.144,0.2,2.84515126311779,1.5631390917182781,1.4751951594352721,0.09660951809585094,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,linear,medium,253,0.20948616600790515,0.2608695652173913,3.001057900920908,1.3178307353298977,1.421942038027194,0.08798815885728056,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,sinusoidal_lateral,high,540,0.31296296296296294,0.34444444444444444,3.0544637302117836,2.04399924187912,1.4268746159694814,0.06092045637261537,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,sinusoidal_lateral,low,187,0.26737967914438504,0.3048128342245989,2.7098907207319063,1.415686993531035,1.431117736719509,0.14124242141643628,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_speed,sinusoidal_lateral,medium,477,0.3165618448637317,0.3668763102725367,2.8611043153152034,1.601261205519101,1.4590741955759141,0.06473755160741024,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,accel_decel,high,733,0.24147339699863574,0.2551159618008186,3.220890008063039,1.8593166618966788,1.472988973291639,0.0661727636302904,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,accel_decel,low,54,0.2037037037037037,0.2037037037037037,3.0701679985763297,2.55523977245316,1.3771509351553741,0.06642877476945243,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,accel_decel,medium,337,0.2344213649851632,0.26112759643916916,3.350208459891799,1.9050557502533054,1.5180461677316388,0.048642924685550724,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,ar1_velocity,high,577,0.28596187175043325,0.30675909878682844,3.3303200458592057,2.39988769986883,1.4253215668932817,0.06815259784853095,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,ar1_velocity,low,153,0.24183006535947713,0.2875816993464052,3.123403993916083,1.9831687961207576,1.4794597524443482,0.060852585539976564,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,ar1_velocity,medium,430,0.11627906976744186,0.13023255813953488,4.031005665995546,1.541780695502927,1.499790965956311,0.06806747788606687,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,crossing_or_sudden_threat,high,416,0.3605769230769231,0.38461538461538464,2.9154777122748783,2.1968803176868614,1.3821217628339162,0.06402598034877044,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,crossing_or_sudden_threat,low,58,0.27586206896551724,0.27586206896551724,2.539450954292612,2.91482724303878,1.4121200360100845,0.07648924230758486,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,crossing_or_sudden_threat,medium,95,0.3263157894736842,0.3473684210526316,2.6973983782221023,2.592458385455626,1.3368693590164185,0.06712209756829236,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,linear,high,454,0.2356828193832599,0.2599118942731278,4.1908580624562015,1.5994563550759775,1.4274115730487302,0.05293441610821084,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,linear,low,111,0.1891891891891892,0.21621621621621623,3.426298098420506,2.2380571121807606,1.3829937690013163,0.0770944724077577,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,linear,medium,157,0.2929936305732484,0.31210191082802546,3.478067125816634,1.9062541812698572,1.4212158242608333,0.10732396630938076,0.0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,250000,250k,eval_flow_high_threat,sinusoidal_lateral,high,716,0.35195530726256985,0.38966480446927376,3.171803123599917,2.1690543868533414,1.3760385998633986,0.06584341182534754,0.0
