method_key,method,steps,episode_reward,episode_length,wall_time
obs_delta_only,n3p_obs_delta_only_500k,23224,11.080876,190,2026-05-14 06:35:49
obs_delta_only,n3p_obs_delta_only_500k,23300,8.304145,251,2026-05-14 06:35:49
obs_delta_only,n3p_obs_delta_only_500k,23388,-4.974781,22,2026-05-14 06:35:49
obs_delta_only,n3p_obs_delta_only_500k,23608,7.991837,215,2026-05-14 06:35:50
obs_delta_only,n3p_obs_delta_only_500k,23680,8.014813,242,2026-05-14 06:35:50
obs_delta_only,n3p_obs_delta_only_500k,24048,10.993692,206,2026-05-14 06:35:52
obs_delta_only,n3p_obs_delta_only_500k,24184,32.163046,199,2026-05-14 06:35:52
obs_delta_only,n3p_obs_delta_only_500k,24368,10.847156,190,2026-05-14 06:35:53
obs_delta_only,n3p_obs_delta_only_500k,24716,4.882463,259,2026-05-14 06:35:56
obs_delta_only,n3p_obs_delta_only_500k,24900,8.551164,213,2026-05-14 06:35:57
obs_delta_only,n3p_obs_delta_only_500k,25120,33.009585,188,2026-05-14 06:35:57
obs_delta_only,n3p_obs_delta_only_500k,25224,-5.674538,26,2026-05-14 06:35:58
obs_delta_only,n3p_obs_delta_only_500k,25236,28.918146,263,2026-05-14 06:35:58
obs_delta_only,n3p_obs_delta_only_500k,25396,11.346409,170,2026-05-14 06:35:58
obs_delta_only,n3p_obs_delta_only_500k,25740,10.066826,210,2026-05-14 06:36:00
obs_delta_only,n3p_obs_delta_only_500k,25832,-6.184917,23,2026-05-14 06:36:00
obs_delta_only,n3p_obs_delta_only_500k,25968,11.665808,186,2026-05-14 06:36:00
obs_delta_only,n3p_obs_delta_only_500k,25980,10.902625,186,2026-05-14 06:36:00
obs_delta_only,n3p_obs_delta_only_500k,26084,-3.50566,29,2026-05-14 06:36:01
obs_delta_only,n3p_obs_delta_only_500k,26172,12.433433,194,2026-05-14 06:36:01
obs_delta_only,n3p_obs_delta_only_500k,26588,11.73629,189,2026-05-14 06:36:03
obs_delta_only,n3p_obs_delta_only_500k,26756,12.958051,168,2026-05-14 06:36:03
obs_delta_only,n3p_obs_delta_only_500k,26772,11.256652,198,2026-05-14 06:36:03
obs_delta_only,n3p_obs_delta_only_500k,26988,11.11153,204,2026-05-14 06:36:04
obs_delta_only,n3p_obs_delta_only_500k,27024,0.428911,63,2026-05-14 06:36:04
obs_delta_only,n3p_obs_delta_only_500k,27212,-2.141506,47,2026-05-14 06:36:05
obs_delta_only,n3p_obs_delta_only_500k,27388,13.83667,158,2026-05-14 06:36:06
obs_delta_only,n3p_obs_delta_only_500k,27772,12.151354,196,2026-05-14 06:36:07
obs_delta_only,n3p_obs_delta_only_500k,27796,3.182425,302,2026-05-14 06:36:07
obs_delta_only,n3p_obs_delta_only_500k,28008,7.623855,199,2026-05-14 06:36:08
obs_delta_only,n3p_obs_delta_only_500k,28220,11.884166,208,2026-05-14 06:36:09
obs_delta_only,n3p_obs_delta_only_500k,28632,11.193239,209,2026-05-14 06:36:10
obs_delta_only,n3p_obs_delta_only_500k,28708,8.705059,234,2026-05-14 06:36:12
obs_delta_only,n3p_obs_delta_only_500k,28728,12.26623,180,2026-05-14 06:36:12
obs_delta_only,n3p_obs_delta_only_500k,28856,-5.787114,32,2026-05-14 06:36:13
obs_delta_only,n3p_obs_delta_only_500k,29144,8.100845,231,2026-05-14 06:36:14
obs_delta_only,n3p_obs_delta_only_500k,29352,13.26228,180,2026-05-14 06:36:15
obs_delta_only,n3p_obs_delta_only_500k,29556,31.299957,212,2026-05-14 06:36:15
obs_delta_only,n3p_obs_delta_only_500k,29600,12.415118,186,2026-05-14 06:36:15
obs_delta_only,n3p_obs_delta_only_500k,29716,-4.656506,29,2026-05-14 06:36:16
obs_delta_only,n3p_obs_delta_only_500k,30136,8.561698,248,2026-05-14 06:36:17
obs_delta_only,n3p_obs_delta_only_500k,30224,31.254428,218,2026-05-14 06:36:18
obs_delta_only,n3p_obs_delta_only_500k,30312,32.353794,189,2026-05-14 06:36:18
obs_delta_only,n3p_obs_delta_only_500k,30400,-2.114756,44,2026-05-14 06:36:18
obs_delta_only,n3p_obs_delta_only_500k,30584,10.345528,217,2026-05-14 06:36:19
obs_delta_only,n3p_obs_delta_only_500k,30688,-5.918576,26,2026-05-14 06:36:19
obs_delta_only,n3p_obs_delta_only_500k,30944,10.00085,202,2026-05-14 06:36:20
obs_delta_only,n3p_obs_delta_only_500k,30960,14.215132,162,2026-05-14 06:36:20
obs_delta_only,n3p_obs_delta_only_500k,31172,11.15213,193,2026-05-14 06:36:21
obs_delta_only,n3p_obs_delta_only_500k,31608,29.63959,230,2026-05-14 06:36:23
obs_delta_only,n3p_obs_delta_only_500k,31696,12.360685,184,2026-05-14 06:36:23
obs_delta_only,n3p_obs_delta_only_500k,31780,10.07084,209,2026-05-14 06:36:23
obs_delta_only,n3p_obs_delta_only_500k,31960,11.282536,197,2026-05-14 06:36:24
obs_delta_only,n3p_obs_delta_only_500k,32080,6.480458,96,2026-05-14 06:36:24
obs_delta_only,n3p_obs_delta_only_500k,32372,11.755675,191,2026-05-14 06:36:25
obs_delta_only,n3p_obs_delta_only_500k,32712,10.888318,188,2026-05-14 06:36:27
obs_delta_only,n3p_obs_delta_only_500k,32732,14.984991,163,2026-05-14 06:36:27
obs_delta_only,n3p_obs_delta_only_500k,32784,7.529318,251,2026-05-14 06:36:29
obs_delta_only,n3p_obs_delta_only_500k,33056,13.49715,171,2026-05-14 06:36:30
obs_delta_only,n3p_obs_delta_only_500k,33156,-5.003168,25,2026-05-14 06:36:30
obs_delta_only,n3p_obs_delta_only_500k,33388,13.835274,169,2026-05-14 06:36:31
obs_delta_only,n3p_obs_delta_only_500k,33444,13.984946,165,2026-05-14 06:36:31
obs_delta_only,n3p_obs_delta_only_500k,33492,11.550525,190,2026-05-14 06:36:31
obs_delta_only,n3p_obs_delta_only_500k,33868,10.65857,178,2026-05-14 06:36:33
obs_delta_only,n3p_obs_delta_only_500k,34080,13.440038,173,2026-05-14 06:36:33
obs_delta_only,n3p_obs_delta_only_500k,34208,32.892783,179,2026-05-14 06:36:34
obs_delta_only,n3p_obs_delta_only_500k,34296,10.369301,213,2026-05-14 06:36:34
obs_delta_only,n3p_obs_delta_only_500k,34432,0.170296,56,2026-05-14 06:36:34
obs_delta_only,n3p_obs_delta_only_500k,34512,11.689525,161,2026-05-14 06:36:35
obs_delta_only,n3p_obs_delta_only_500k,34848,12.410605,192,2026-05-14 06:36:36
obs_delta_only,n3p_obs_delta_only_500k,34880,8.537192,146,2026-05-14 06:36:36
obs_delta_only,n3p_obs_delta_only_500k,35112,34.496706,170,2026-05-14 06:36:37
obs_delta_only,n3p_obs_delta_only_500k,35344,11.932393,208,2026-05-14 06:36:38
obs_delta_only,n3p_obs_delta_only_500k,35628,12.018996,195,2026-05-14 06:36:39
obs_delta_only,n3p_obs_delta_only_500k,35636,11.667912,131,2026-05-14 06:36:39
obs_delta_only,n3p_obs_delta_only_500k,35664,31.983005,196,2026-05-14 06:36:39
obs_delta_only,n3p_obs_delta_only_500k,36040,12.312454,174,2026-05-14 06:36:40
obs_delta_only,n3p_obs_delta_only_500k,36176,10.810213,135,2026-05-14 06:36:41
obs_delta_only,n3p_obs_delta_only_500k,36420,11.264675,189,2026-05-14 06:36:42
obs_delta_only,n3p_obs_delta_only_500k,36544,8.214727,229,2026-05-14 06:36:42
obs_delta_only,n3p_obs_delta_only_500k,36880,1.98801,84,2026-05-14 06:36:45
obs_delta_only,n3p_obs_delta_only_500k,36884,10.198948,211,2026-05-14 06:36:45
obs_delta_only,n3p_obs_delta_only_500k,37004,11.126047,207,2026-05-14 06:36:45
obs_delta_only,n3p_obs_delta_only_500k,37016,-4.298034,33,2026-05-14 06:36:45
obs_delta_only,n3p_obs_delta_only_500k,37184,12.429329,191,2026-05-14 06:36:46
obs_delta_only,n3p_obs_delta_only_500k,37504,34.512134,156,2026-05-14 06:36:47
obs_delta_only,n3p_obs_delta_only_500k,37748,12.106341,186,2026-05-14 06:36:48
obs_delta_only,n3p_obs_delta_only_500k,37792,32.929123,194,2026-05-14 06:36:48
obs_delta_only,n3p_obs_delta_only_500k,37928,12.780081,186,2026-05-14 06:36:49
obs_delta_only,n3p_obs_delta_only_500k,38036,-4.23397,27,2026-05-14 06:36:49
obs_delta_only,n3p_obs_delta_only_500k,38100,1.783416,88,2026-05-14 06:36:49
obs_delta_only,n3p_obs_delta_only_500k,38156,34.855688,163,2026-05-14 06:36:49
obs_delta_only,n3p_obs_delta_only_500k,38536,10.656748,186,2026-05-14 06:36:51
obs_delta_only,n3p_obs_delta_only_500k,38768,33.271425,183,2026-05-14 06:36:52
obs_delta_only,n3p_obs_delta_only_500k,38780,13.831261,156,2026-05-14 06:36:52
obs_delta_only,n3p_obs_delta_only_500k,38884,-4.384171,29,2026-05-14 06:36:52
obs_delta_only,n3p_obs_delta_only_500k,38992,-4.416396,27,2026-05-14 06:36:53
obs_delta_only,n3p_obs_delta_only_500k,39100,7.756539,250,2026-05-14 06:36:53
obs_delta_only,n3p_obs_delta_only_500k,39240,12.583254,176,2026-05-14 06:36:53
obs_delta_only,n3p_obs_delta_only_500k,39368,7.855562,147,2026-05-14 06:36:54
obs_delta_only,n3p_obs_delta_only_500k,39512,9.045589,130,2026-05-14 06:36:54
obs_delta_only,n3p_obs_delta_only_500k,39728,10.806416,122,2026-05-14 06:36:55
obs_delta_only,n3p_obs_delta_only_500k,39928,31.165606,207,2026-05-14 06:36:56
obs_delta_only,n3p_obs_delta_only_500k,40036,-4.184215,27,2026-05-14 06:36:56
obs_delta_only,n3p_obs_delta_only_500k,40120,11.640828,188,2026-05-14 06:36:56
obs_delta_only,n3p_obs_delta_only_500k,40368,14.038628,160,2026-05-14 06:36:57
obs_delta_only,n3p_obs_delta_only_500k,40568,-1.85609,50,2026-05-14 06:36:58
obs_delta_only,n3p_obs_delta_only_500k,40688,5.346376,294,2026-05-14 06:36:58
obs_delta_only,n3p_obs_delta_only_500k,40724,14.012765,172,2026-05-14 06:36:58
obs_delta_only,n3p_obs_delta_only_500k,40852,12.888521,183,2026-05-14 06:36:59
obs_delta_only,n3p_obs_delta_only_500k,41016,10.643635,112,2026-05-14 06:37:01
obs_delta_only,n3p_obs_delta_only_500k,41160,9.872649,109,2026-05-14 06:37:02
obs_delta_only,n3p_obs_delta_only_500k,41316,14.298957,157,2026-05-14 06:37:02
obs_delta_only,n3p_obs_delta_only_500k,41396,0.523032,59,2026-05-14 06:37:03
obs_delta_only,n3p_obs_delta_only_500k,41672,11.164639,205,2026-05-14 06:37:04
obs_delta_only,n3p_obs_delta_only_500k,41676,13.066837,165,2026-05-14 06:37:04
obs_delta_only,n3p_obs_delta_only_500k,41692,2.933822,74,2026-05-14 06:37:04
obs_delta_only,n3p_obs_delta_only_500k,41784,-5.453938,27,2026-05-14 06:37:04
obs_delta_only,n3p_obs_delta_only_500k,41916,9.243936,150,2026-05-14 06:37:04
obs_delta_only,n3p_obs_delta_only_500k,42012,0.654012,80,2026-05-14 06:37:05
obs_delta_only,n3p_obs_delta_only_500k,42024,-5.120446,27,2026-05-14 06:37:05
obs_delta_only,n3p_obs_delta_only_500k,42156,-3.218492,33,2026-05-14 06:37:05
obs_delta_only,n3p_obs_delta_only_500k,42276,1.772014,66,2026-05-14 06:37:06
obs_delta_only,n3p_obs_delta_only_500k,42464,2.370008,77,2026-05-14 06:37:06
obs_delta_only,n3p_obs_delta_only_500k,42464,14.978835,170,2026-05-14 06:37:06
obs_delta_only,n3p_obs_delta_only_500k,42624,29.823207,238,2026-05-14 06:37:07
obs_delta_only,n3p_obs_delta_only_500k,42732,-4.106993,27,2026-05-14 06:37:07
obs_delta_only,n3p_obs_delta_only_500k,43036,15.690633,143,2026-05-14 06:37:08
obs_delta_only,n3p_obs_delta_only_500k,43088,10.247361,203,2026-05-14 06:37:09
obs_delta_only,n3p_obs_delta_only_500k,43092,14.087202,157,2026-05-14 06:37:09
obs_delta_only,n3p_obs_delta_only_500k,43608,14.024137,143,2026-05-14 06:37:10
obs_delta_only,n3p_obs_delta_only_500k,43624,9.622418,223,2026-05-14 06:37:10
obs_delta_only,n3p_obs_delta_only_500k,43712,34.954075,155,2026-05-14 06:37:11
obs_delta_only,n3p_obs_delta_only_500k,43984,9.929792,224,2026-05-14 06:37:12
obs_delta_only,n3p_obs_delta_only_500k,44156,15.164287,133,2026-05-14 06:37:12
obs_delta_only,n3p_obs_delta_only_500k,44200,35.422305,148,2026-05-14 06:37:13
obs_delta_only,n3p_obs_delta_only_500k,44408,12.46741,174,2026-05-14 06:37:13
obs_delta_only,n3p_obs_delta_only_500k,44572,15.53435,147,2026-05-14 06:37:14
obs_delta_only,n3p_obs_delta_only_500k,44816,14.640765,165,2026-05-14 06:37:15
obs_delta_only,n3p_obs_delta_only_500k,44844,34.299373,161,2026-05-14 06:37:15
obs_delta_only,n3p_obs_delta_only_500k,44864,6.814826,114,2026-05-14 06:37:15
obs_delta_only,n3p_obs_delta_only_500k,45112,3.860034,67,2026-05-14 06:37:18
obs_delta_only,n3p_obs_delta_only_500k,45228,14.060752,164,2026-05-14 06:37:18
obs_delta_only,n3p_obs_delta_only_500k,45336,10.760375,130,2026-05-14 06:37:19
obs_delta_only,n3p_obs_delta_only_500k,45468,14.811148,151,2026-05-14 06:37:19
obs_delta_only,n3p_obs_delta_only_500k,45576,9.542734,116,2026-05-14 06:37:19
obs_delta_only,n3p_obs_delta_only_500k,45916,12.279496,145,2026-05-14 06:37:21
obs_delta_only,n3p_obs_delta_only_500k,45928,14.832315,175,2026-05-14 06:37:21
obs_delta_only,n3p_obs_delta_only_500k,46044,-4.235251,32,2026-05-14 06:37:21
obs_delta_only,n3p_obs_delta_only_500k,46160,33.646086,173,2026-05-14 06:37:21
obs_delta_only,n3p_obs_delta_only_500k,46268,13.0952,173,2026-05-14 06:37:22
obs_delta_only,n3p_obs_delta_only_500k,46616,34.346918,172,2026-05-14 06:37:23
obs_delta_only,n3p_obs_delta_only_500k,46700,34.922838,164,2026-05-14 06:37:23
obs_delta_only,n3p_obs_delta_only_500k,46728,-4.50019,28,2026-05-14 06:37:23
obs_delta_only,n3p_obs_delta_only_500k,46788,35.000563,157,2026-05-14 06:37:24
obs_delta_only,n3p_obs_delta_only_500k,46864,-5.397805,19,2026-05-14 06:37:24
obs_delta_only,n3p_obs_delta_only_500k,47100,-0.17642,59,2026-05-14 06:37:25
obs_delta_only,n3p_obs_delta_only_500k,47136,31.588302,217,2026-05-14 06:37:25
obs_delta_only,n3p_obs_delta_only_500k,47224,-4.289756,31,2026-05-14 06:37:25
obs_delta_only,n3p_obs_delta_only_500k,47340,13.057405,153,2026-05-14 06:37:26
obs_delta_only,n3p_obs_delta_only_500k,47348,12.476333,162,2026-05-14 06:37:26
obs_delta_only,n3p_obs_delta_only_500k,47808,13.273076,168,2026-05-14 06:37:27
obs_delta_only,n3p_obs_delta_only_500k,47840,13.138425,154,2026-05-14 06:37:27
obs_delta_only,n3p_obs_delta_only_500k,47988,14.803769,160,2026-05-14 06:37:28
obs_delta_only,n3p_obs_delta_only_500k,48000,14.373453,165,2026-05-14 06:37:28
obs_delta_only,n3p_obs_delta_only_500k,48116,2.586665,69,2026-05-14 06:37:28
obs_delta_only,n3p_obs_delta_only_500k,48244,1.758419,64,2026-05-14 06:37:29
obs_delta_only,n3p_obs_delta_only_500k,48304,5.011538,76,2026-05-14 06:37:29
obs_delta_only,n3p_obs_delta_only_500k,48588,10.223092,195,2026-05-14 06:37:30
obs_delta_only,n3p_obs_delta_only_500k,48800,33.803841,171,2026-05-14 06:37:31
obs_delta_only,n3p_obs_delta_only_500k,48908,14.089421,166,2026-05-14 06:37:31
obs_delta_only,n3p_obs_delta_only_500k,49152,32.301951,212,2026-05-14 06:37:32
obs_delta_only,n3p_obs_delta_only_500k,49276,13.852475,172,2026-05-14 06:37:35
obs_delta_only,n3p_obs_delta_only_500k,49468,14.487587,167,2026-05-14 06:37:35
obs_delta_only,n3p_obs_delta_only_500k,49576,12.597596,167,2026-05-14 06:37:36
obs_delta_only,n3p_obs_delta_only_500k,49876,12.226848,181,2026-05-14 06:37:37
obs_delta_only,n3p_obs_delta_only_500k,49896,14.999246,155,2026-05-14 06:37:37
obs_delta_only,n3p_obs_delta_only_500k,50216,12.567252,187,2026-05-14 06:37:38
obs_delta_only,n3p_obs_delta_only_500k,50224,14.510463,162,2026-05-14 06:37:38
obs_delta_only,n3p_obs_delta_only_500k,50532,13.46016,164,2026-05-14 06:37:39
obs_delta_only,n3p_obs_delta_only_500k,50612,12.515038,179,2026-05-14 06:37:39
obs_delta_only,n3p_obs_delta_only_500k,50852,34.583861,157,2026-05-14 06:37:40
obs_delta_only,n3p_obs_delta_only_500k,50896,12.387143,170,2026-05-14 06:37:40
obs_delta_only,n3p_obs_delta_only_500k,51096,-1.82509,50,2026-05-14 06:37:41
obs_delta_only,n3p_obs_delta_only_500k,51144,14.853038,153,2026-05-14 06:37:41
obs_delta_only,n3p_obs_delta_only_500k,51348,11.255489,184,2026-05-14 06:37:42
obs_delta_only,n3p_obs_delta_only_500k,51448,2.053494,76,2026-05-14 06:37:42
obs_delta_only,n3p_obs_delta_only_500k,51484,13.810319,158,2026-05-14 06:37:43
obs_delta_only,n3p_obs_delta_only_500k,51892,32.912529,199,2026-05-14 06:37:44
obs_delta_only,n3p_obs_delta_only_500k,52016,33.482202,167,2026-05-14 06:37:44
obs_delta_only,n3p_obs_delta_only_500k,52096,34.897611,153,2026-05-14 06:37:45
obs_delta_only,n3p_obs_delta_only_500k,52128,-5.836394,28,2026-05-14 06:37:45
obs_delta_only,n3p_obs_delta_only_500k,52208,13.016717,190,2026-05-14 06:37:45
