method_key,checkpoint_label,diagnostics_ok,delta_norm_1s_p95_max,delta_norm_1s_max,inactive_forwarded_count_max,logvar_xy_1s_span_max,feature_nonfinite_count,full_aug_obs_l2_p95_max,logvar_raw_l2_p95_max,logvar_scaled_l2_p95_max,adapter_output_l2_p95_max,feature_scale_ok
obs_delta_only,500k,1,1.5495533049106596,2.2468550205230717,0.0,5.275128781795502,0,3.707202279567718,15.0,,,1
logvar_scaled,500k,1,1.5266845822334292,2.2537903785705566,0.0,5.240178644657135,0,4.555977129936219,14.625107192993164,2.925021469593048,,1
block_projected,500k,1,2.086094856262207,2.737213134765625,0.0,5.5288567543029785,0,5.162773132324219,14.980668258666991,2.9961335182189943,5.889467668533325,1
