method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,seed,scenario,episode_id,episode_seed,success,collision,near_miss,mean_min_distance,episode_min_distance,episode_length,progress,planned_cpa,planned_ttc,threat_class,threat_motion_mode,threat_valid_rate,replacement_count,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,raw_min_predicted_cpa,action_norm,action_delta,no_response_rate,nan_or_crash
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,11,1011,1,0,1,3.8425393575116207,0.6848500370979309,95,0.9856125696503432,0.9980408316415822,5.672272764330392,high,sinusoidal_lateral,1.0,39,42.96012070696474,0.4631578947368421,0.5157894736842106,2.0093704119324682,1.1076216609854448,0.07144881438120808,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,12,1012,0,1,0,6.1484043867170035,0.24817906320095062,77,0.7426769566043161,0.3848868336119299,7.820197571423831,high,sinusoidal_lateral,1.0,17,14.600966228528048,0.2597402597402597,0.2597402597402597,2.89888985712057,1.1615487368075879,0.06458970702966893,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,13,1013,0,1,0,5.11812699168593,0.49811267852783203,91,0.9211450210223848,0.9299507218503571,4.070736484067897,high,accel_decel,1.0,45,19.495012663626618,0.18681318681318682,0.18681318681318682,3.3589747790451887,1.2148421413295871,0.056724298863088364,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,14,1014,1,0,1,4.924118469641047,0.9087978005409241,103,0.9859921183021889,0.7847640197166914,4.204908969045995,high,crossing_or_sudden_threat,1.0,21,42.96985011613604,0.3106796116504854,0.34951456310679613,2.9505160845526794,1.0919914361342644,0.08378648862595335,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,15,1015,1,0,1,4.461863840112881,1.1654664278030396,98,0.987355052122671,0.54581647176669,8.480870694843283,high,accel_decel,1.0,31,43.03752997930145,0.32653061224489793,0.3979591836734694,2.2302972506755507,1.1079542138138596,0.07582139118327474,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,16,1016,0,1,0,5.400275288576103,0.6421833634376526,83,0.7938516312724484,0.3894596275823796,4.427753736897318,high,sinusoidal_lateral,1.0,31,16.240884371829555,0.30120481927710846,0.3253012048192771,3.4190966519695447,1.1500797616430076,0.07348528749545116,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,17,1017,1,0,0,5.462435887317465,1.865946888923645,99,0.9982897689287049,1.6138916091870088,5.222263938683046,medium,crossing_or_sudden_threat,1.0,24,42.82663768329864,0.0,0.04040404040404041,3.9404045475853815,1.214868578043851,0.06087693152949214,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,18,1018,0,1,0,5.075360779699526,0.446076899766922,95,0.9722586276828867,0.46706731023816095,5.0206329757981125,high,sinusoidal_lateral,1.0,42,20.96748143328753,0.22105263157894736,0.22105263157894736,3.282463947095369,1.1961824435936776,0.060138973931929,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,19,1019,1,0,1,4.6017290040700125,1.267390251159668,99,0.9817454742349667,0.7313438588743575,0.8,high,accel_decel,1.0,31,42.83394633328413,0.10101010101010101,0.2222222222222222,2.9831063282309156,1.1260263058874342,0.07291144964219344,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,20,1020,0,1,0,5.541038140383634,0.6448508501052856,55,0.51737362029469,0.41100595500663395,5.074402043780458,high,ar1_velocity,1.0,22,4.758029495124067,0.32727272727272727,0.38181818181818183,2.271501554108479,1.2946884220296686,0.07312264467843554,0.0,0
