method_key,success_rate_500k,collision_rate_500k,near_miss_rate_500k,raw_unsafe_action_rate_500k,hard_gate_pass,clearly_better_than_n3r_noz_500k,not_worse_high_speed_high_threat,train_curve_still_improving,promote_to_1p5m,winner_if_any,overall_promote_to_1p5m,can_enter_N4_now,recommendation
block_projected,0.5333333333333333,0.4666666666666666,0.47000000000000003,0.2464636165573323,1,1,1,1,1,block_projected,yes,no,"block_projected passes the hard gate, improves clearly over N3R no_z 500k, and merits a 1.5M continuation before N4."
obs_delta_only,0.4666666666666666,0.5333333333333333,0.43,0.22833580000432852,1,1,1,1,1,block_projected,yes,no,"block_projected passes the hard gate, improves clearly over N3R no_z 500k, and merits a 1.5M continuation before N4."
logvar_scaled,0.3466666666666667,0.6533333333333333,0.31333333333333335,0.30003699053506155,0,0,0,1,0,block_projected,yes,no,"block_projected passes the hard gate, improves clearly over N3R no_z 500k, and merits a 1.5M continuation before N4."
