method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_250k.zip,250000,250k,high,293,0.2832764505119454,0.7167235494880546,0.2627986348122867,0.9042336069170123,5.115754550064533,0.6123000282171236,95.15358361774744,25.713987348443787,0.27391676802548676,0.311848581041157,1.452159465824733,0.06843119065647729,0.0,3.0655162157655864,0
block_projected,n3p_block_projected_no_z_500k,block_projected_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_250k.zip,250000,250k,medium,7,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7798421526748441,5.522092392392392,0.7653419290270124,82.71428571428571,21.36057407150965,0.38271161046020596,0.4151271797633345,1.5191088542249849,0.06872624023944039,0.0,2.8552499876525035,0
block_projected,n3p_block_projected_no_z_500k,block_projected_500k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,500000,500k,high,290,0.5275862068965518,0.4724137931034483,0.4724137931034483,0.9292378148537143,5.111879742837839,0.8005353749826036,107.97241379310344,31.353295066803504,0.24462589922022157,0.2800145542894569,1.5151204287251434,0.09059207275682069,0.0,3.1622792303894305,0
block_projected,n3p_block_projected_no_z_500k,block_projected_500k,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/checkpoint_500k.zip,500000,500k,medium,10,0.7,0.3,0.4,0.8995331787107016,4.916433429831909,1.0317134886980057,105.9,33.76666560328114,0.29975741933354405,0.33963062837136015,1.5287962350042221,0.10459669430046858,0.0,2.8761286518335707,0
block_projected,n3p_block_projected_no_z_500k,block_projected_best_by_eval,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/best_by_eval.zip,500000,best_by_eval,high,290,0.39655172413793105,0.603448275862069,0.3758620689655172,0.9135485270836612,4.73199661045905,0.6650733192933017,99.29310344827586,28.27953290441818,0.2755905536807903,0.314778270182973,1.5201194251507195,0.093805351732083,0.0,2.782397073718917,0
block_projected,n3p_block_projected_no_z_500k,block_projected_best_by_eval,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/best_by_eval.zip,500000,best_by_eval,medium,10,0.4,0.6,0.4,0.8200426121608814,4.540559397278161,0.6491391688585282,92.0,25.153115788338543,0.38009023147082954,0.4150305516885209,1.5279128929997836,0.10639032801927661,0.0,2.478501327345308,0
block_projected,n3p_block_projected_no_z_500k,block_projected_final,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/final.zip,500000,final,high,290,0.39655172413793105,0.603448275862069,0.3758620689655172,0.9135485270836612,4.73199661045905,0.6650733192933017,99.29310344827586,28.27953290441818,0.2755905536807903,0.314778270182973,1.5201194251507195,0.093805351732083,0.0,2.782397073718917,0
block_projected,n3p_block_projected_no_z_500k,block_projected_final,checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/final.zip,500000,final,medium,10,0.4,0.6,0.4,0.8200426121608814,4.540559397278161,0.6491391688585282,92.0,25.153115788338543,0.38009023147082954,0.4150305516885209,1.5279128929997836,0.10639032801927661,0.0,2.478501327345308,0
logvar_scaled,n3p_obs_delta_logvar_scaled_500k,logvar_scaled_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_logvar_scaled_s0/checkpoint_250k.zip,250000,250k,high,294,0.30272108843537415,0.6972789115646258,0.2789115646258503,0.9009849600760929,5.821553808855827,0.6354325119735432,101.69727891156462,25.885904678371443,0.2954155788172188,0.33141682106823056,1.3850494325034328,0.0755508631078945,0.0,3.499477108272207,0
logvar_scaled,n3p_obs_delta_logvar_scaled_500k,logvar_scaled_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_logvar_scaled_s0/checkpoint_250k.zip,250000,250k,medium,6,0.6666666666666666,0.3333333333333333,0.5,0.9499686221664937,6.09881468572875,0.8811131243904432,102.33333333333333,34.983827673251675,0.22276795045562817,0.2736448663913322,1.3603140385031771,0.06424340408428057,0.0,3.9265350436238218,0
