method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,scenario_valid_rate,planned_threat_valid_rate,threat_valid_rate,realized_near_miss_rate,predicted_cpa_to_nominal_path_mean,obstacle_motion_modes,source_csv,checkpoint_path
attention_full,0,500000,eval_random_switch,1.0,50,0.98,0.02,,,1.0,1.4611510211229324,0.08,7.372000000000001,21.876590629898995,0.08,0.0011920803604880301,0.002578581180423496,0.00406817300514376,0.7453430742720437,0.024488180844480664,0.02435387365766293,1.0,1.0,1.0,0.62,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step500000_random.csv,checkpoints/p2_rich_motion/attention_full_s0_step500000.zip
attention_full,0,500000,eval_random_switch_hard,1.0,50,0.9,0.1,,,1.0,0.9358499842882156,0.66,6.600000000000001,18.931505607605814,0.66,0.009294512463768542,0.0194130267886453,0.025829474962447408,0.3147825844170917,0.11765923070721325,0.11252589307725426,1.0,1.0,1.0,1.0,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step500000_hard.csv,checkpoints/p2_rich_motion/attention_full_s0_step500000.zip
attention_full,0,500000,eval_sinusoidal,1.0,50,1.0,0.0,,,1.0,1.4746158027648926,0.1,7.284000000000001,22.287608179525385,0.1,0.000124448819115056,0.000304566044360398,0.000697421697987008,0.0392210962295145,0.018764389333861077,0.01875819464215563,1.0,1.0,1.0,0.52,,"[""sinusoidal"",""sinusoidal"",""sinusoidal""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step500000_sinusoidal.csv,checkpoints/p2_rich_motion/attention_full_s0_step500000.zip
attention_full,0,500000,eval_sudden_turn,1.0,50,1.0,0.0,0.25600000000000006,0.25600000000000006,0.0,1.3675087559223176,0.16,7.36,22.28516541750577,0.16,0.0002733503787635477,0.00040831856429576795,0.0016666841343567235,0.1458434767030212,0.022437543597295603,0.02231845597062257,1.0,1.0,1.0,0.72,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step500000_sudden.csv,checkpoints/p2_rich_motion/attention_full_s0_step500000.zip
attention_full,0,500000,eval_threat_validated_sudden,1.0,50,0.9,0.1,0.2120000000000001,0.2120000000000001,0.0,1.3532707607746124,0.36,7.247999999999999,19.8089866824607,0.36,0.0019402533844549796,0.001637226523598652,0.01025375514203914,0.3105814977897845,0.03740007362393118,0.03736675392146093,1.0,1.0,1.0,0.66,3.6960710929179187e-07,"[""threat_validated_sudden"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step500000_threat_sudden.csv,checkpoints/p2_rich_motion/attention_full_s0_step500000.zip
attention_full,0,750000,eval_accel_decel,1.0,50,1.0,0.0,,,1.0,1.3276033866405488,0.1,6.932,22.32594153263483,0.1,1.4929338867654966e-05,0.0,3.6755299515787006e-05,0.0112127248917346,0.021306877302722526,0.021161152617005383,1.0,1.0,1.0,0.74,,"[""accel_decel"",""accel_decel"",""accel_decel""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step750000_accel.csv,checkpoints/p2_rich_motion/attention_full_s0_step750000.zip
attention_full,0,750000,eval_ar1,1.0,50,1.0,0.0,,,1.0,1.2217453789711,0.24,6.972,22.34179403995894,0.24,0.0003665836458640035,0.001119774654507636,0.00155334839276747,0.1032988710137807,0.02791418053442608,0.02773007022944508,1.0,1.0,1.0,0.74,,"[""simple_ar1"",""simple_ar1"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step750000_ar1.csv,checkpoints/p2_rich_motion/attention_full_s0_step750000.zip
attention_full,0,750000,eval_mixed_v2,1.0,50,1.0,0.0,0.6160000000000001,0.6160000000000001,0.0,1.3278492164611817,0.44,7.004,22.28817038324645,0.44,0.0004336350922358033,7.966202218085399e-05,0.0022439692238520876,0.0667929988421214,0.03639075212931923,0.03636433295098883,1.0,1.0,1.0,0.62,3.6960710929179187e-07,"[""threat_validated_sudden"",""sinusoidal"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step750000_mixed_v2.csv,checkpoints/p2_rich_motion/attention_full_s0_step750000.zip
attention_full,0,750000,eval_random_switch,1.0,50,1.0,0.0,,,1.0,1.3253543496131897,0.2,7.0360000000000005,22.41576393648943,0.2,0.0001552651283964172,0.00032474150881171,0.0009839284071495008,0.0434925208318226,0.041621871577644916,0.040326536968186694,1.0,1.0,1.0,0.82,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step750000_random.csv,checkpoints/p2_rich_motion/attention_full_s0_step750000.zip
attention_full,0,750000,eval_random_switch_hard,1.0,50,0.9,0.1,,,1.0,0.866417659521103,0.84,6.360000000000001,19.00225690244669,0.84,0.013096057817579136,0.028384624394820986,0.03780876940301821,0.4072283560413448,0.13971089466474948,0.1312650009896606,1.0,1.0,1.0,1.0,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step750000_hard.csv,checkpoints/p2_rich_motion/attention_full_s0_step750000.zip
attention_full,0,750000,eval_sinusoidal,1.0,50,1.0,0.0,,,1.0,1.3147042357921601,0.18,6.980000000000001,22.314454285147658,0.18,0.000288839678736389,0.00030487345997244,0.001698480113409452,0.075745871642141,0.03146154008630671,0.03140066596766242,1.0,1.0,1.0,0.7,,"[""sinusoidal"",""sinusoidal"",""sinusoidal""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step750000_sinusoidal.csv,checkpoints/p2_rich_motion/attention_full_s0_step750000.zip
attention_full,0,750000,eval_sudden_turn,1.0,50,1.0,0.0,1.5680000000000005,0.8448979591836737,0.02,1.2094256019592284,0.38,7.004000000000001,22.3043844160354,0.38,0.0001926810098559237,0.000109521173872052,0.000744213585858222,0.0828242851103056,0.038684054338573276,0.038490258997890076,1.0,1.0,1.0,0.86,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step750000_sudden.csv,checkpoints/p2_rich_motion/attention_full_s0_step750000.zip
attention_full,0,750000,eval_threat_validated_sudden,1.0,50,0.98,0.02,0.5280000000000001,0.5280000000000001,0.0,1.228128386735916,0.46,6.992000000000002,21.789568225281528,0.46,0.0006699435993971145,5.7931128922062294e-05,0.003596672164712784,0.2115653799867232,0.03729740515435019,0.037185093262623786,1.0,1.0,1.0,0.7,3.6960710929179187e-07,"[""threat_validated_sudden"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step750000_threat_sudden.csv,checkpoints/p2_rich_motion/attention_full_s0_step750000.zip
attention_full,0,1000000,eval_accel_decel,1.0,50,1.0,0.0,,,1.0,1.118829826116562,0.26,6.7360000000000015,22.343350025708425,0.26,8.009628346371177e-05,0.0,0.00020884974859654827,0.0440470100414955,0.03563535614288407,0.03512007934157732,1.0,1.0,1.0,0.96,,"[""accel_decel"",""accel_decel"",""accel_decel""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step1000000_accel.csv,checkpoints/p2_rich_motion/attention_full_s0_step1000000.zip
attention_full,0,1000000,eval_ar1,1.0,50,1.0,0.0,,,1.0,1.0587104535102845,0.56,6.764000000000001,22.30854555836689,0.56,0.0003513081159985497,0.00037623930722474803,0.001821947610214907,0.1159419122788882,0.048456895801937155,0.04746263893670397,1.0,1.0,1.0,0.94,,"[""simple_ar1"",""simple_ar1"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step1000000_ar1.csv,checkpoints/p2_rich_motion/attention_full_s0_step1000000.zip
