scenario,policy,episodes,success_rate,collision_rate,near_miss_rate,realized_near_miss_rate,mean_min_distance,min_min_distance,mean_time,mean_episode_reward,scenario_valid_rate,planned_threat_valid_rate,init_collision_rate,predicted_cpa_to_nominal_path_mean
eval_mixed_v2,short_ppo,50,0.76,0.24,0.74,0.9,0.8934976905584335,0.2141575813293457,8.728000000000002,15.112515649718873,1.0,1.0,0.0,3.6960710929179187e-07
eval_threat_validated_sudden,short_ppo,50,0.62,0.38,0.78,0.92,0.7964880406856537,0.3840456902980804,7.904,11.099426117360622,1.0,1.0,0.0,3.6960710929179187e-07
