scenario,method,risk_sum_mean,risk_max_mean,distance_warning_cost_nonzero_rate,mean_min_distance,mean_time,near_miss_rate,collision_rate
eval_accel_decel,attention_full,0.0284711167228033,0.02814061597929135,0.18,1.2232166063785552,6.834000000000001,0.18,0.0
eval_accel_decel,attention_full_distance_penalty_wide_d2,9.274396937951784e-05,9.27436155661887e-05,0.33999999999999997,2.112373960018158,7.917999999999999,0.0,0.0
eval_accel_decel,attention_full_risk_penalty,9.990163920334792e-05,9.99010869580375e-05,0.0,2.0088411509990696,7.6579999999999995,0.0,0.0
eval_ar1,attention_full,0.03818553816818162,0.037596354583074525,0.4,1.140227916240692,6.868,0.4,0.0
eval_ar1,attention_full_distance_penalty_wide_d2,0.00010033193345693604,0.00010032968578370358,0.43,2.0331864404678344,7.954000000000001,0.0,0.0
eval_ar1,attention_full_risk_penalty,0.00016196451817361045,0.0001619638503612104,0.0,1.9062622368335722,7.676,0.0,0.0
eval_mixed_v2,attention_full,0.04699531753965064,0.04686074853589707,0.53,1.1899934726953507,6.889999999999999,0.53,0.0
eval_mixed_v2,attention_full_distance_penalty_wide_d2,0.0021525294733883054,0.0021525294352615285,0.25,2.3834241729974748,8.068000000000001,0.02,0.0
eval_mixed_v2,attention_full_risk_penalty,0.000796139468802496,0.0007961393634609826,0.0,2.341937301158905,7.942,0.0,0.0
eval_random_switch,attention_full,0.05078234965283504,0.049168492078423366,0.29000000000000004,1.2224017137289047,6.936000000000001,0.29000000000000004,0.0
eval_random_switch,attention_full_distance_penalty_wide_d2,0.0004237204620804215,0.000423448070832447,0.31000000000000005,2.1720530807971956,8.200000000000001,0.0,0.0
eval_random_switch,attention_full_risk_penalty,0.00023032864433914128,0.00023018248062652474,0.0,2.1297892463207244,8.128,0.0,0.0
eval_random_switch_hard,attention_full,0.1472137387609109,0.13925723542924967,0.87,0.8303712558746338,6.298000000000001,0.87,0.1
eval_random_switch_hard,attention_full_distance_penalty_wide_d2,0.006509162716517204,0.006117582043049297,0.9,1.660074743926525,9.276,0.04,0.02
eval_random_switch_hard,attention_full_risk_penalty,0.009878140161129024,0.008927381340009177,0.09,1.4147664111852647,8.606,0.09,0.01
eval_sinusoidal,attention_full,0.0398640468542521,0.03960187229791468,0.26,1.2077838546037674,6.880000000000001,0.26,0.0
eval_sinusoidal,attention_full_distance_penalty_wide_d2,0.0016738136435659862,0.001673797559962919,0.35,2.0492422568798068,8.018,0.02,0.01
eval_sinusoidal,attention_full_risk_penalty,0.004778145492225116,0.004778142404041761,0.04,1.9176553332805635,7.700000000000001,0.04,0.02
eval_sudden_turn,attention_full,0.050387632242959585,0.04994172713281837,0.49,1.1122963726520538,6.918000000000001,0.49,0.0
eval_sudden_turn,attention_full_distance_penalty_wide_d2,0.0008015314378546682,0.0008014699810299974,0.45999999999999996,2.0298980140686034,8.196000000000002,0.0,0.0
eval_sudden_turn,attention_full_risk_penalty,0.0006651466787719459,0.0006650490249686244,0.0,1.8944212055206298,7.950000000000001,0.0,0.0
eval_threat_validated_sudden,attention_full,0.05362174418873587,0.053226551428815494,0.54,1.114541979432106,6.870000000000001,0.54,0.02
eval_threat_validated_sudden,attention_full_distance_penalty_wide_d2,0.00032818801511110853,0.0003281867451039533,0.18,2.4939349246025087,8.178,0.01,0.0
eval_threat_validated_sudden,attention_full_risk_penalty,0.0005705591952744955,0.0005705214652512887,0.0,2.4630670988559724,8.092,0.0,0.0
