scenario,policy,episodes,success_rate,collision_rate,near_miss_rate,realized_near_miss_rate,mean_min_distance,min_min_distance,mean_time,scenario_valid_rate,planned_threat_valid_rate,init_collision_rate,predicted_cpa_to_nominal_path_mean
eval_mixed_v2,random,50,0.0,0.04,0.24,0.52,1.6330980169773102,0.44214165210723877,38.663999999999994,1.0,1.0,0.0,3.6960710929179187e-07
eval_threat_validated_sudden,random,50,0.0,0.28,0.6,0.82,1.0063069826364517,0.33485352993011475,33.56,1.0,1.0,0.0,3.6960710929179187e-07
