method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,scenario_valid_rate,planned_threat_valid_rate,threat_valid_rate,realized_near_miss_rate,predicted_cpa_to_nominal_path_mean,obstacle_motion_modes,source_csv,checkpoint_path
attention_full_distance_penalty_wide_d2,0,500000,eval_mixed_v2,2.0,50,0.98,0.02,0.20000000000000007,0.20000000000000007,0.0,2.246801791191101,0.04,8.064,21.837397660640416,0.4,0.012976233545268756,0.040425731602590526,0.09815221137070694,2.205867869993515,0.004709798516948443,0.004709798516948082,1.0,1.0,1.0,0.14,3.6960710929179187e-07,"[""threat_validated_sudden"",""sinusoidal"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_mixed_v2.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_random_switch,2.0,50,1.0,0.0,,,1.0,2.220357835292816,0.0,8.328000000000001,22.324871917518994,0.16,0.0014326897685714318,0.003271164447069166,0.009895620346069335,0.4492523990553678,0.00024155583727299298,0.00024152603673691065,1.0,1.0,1.0,0.02,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_random.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_random_switch_hard,2.0,50,1.0,0.0,,,1.0,1.721841584444046,0.02,8.992,21.95514221904953,0.86,0.012150899594914475,0.03545162023743612,0.08876312256325032,1.1036258387333966,0.003475350073290393,0.003459397642772007,1.0,1.0,1.0,0.24,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_hard.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_sinusoidal,2.0,50,0.98,0.02,,,1.0,1.9743082416057587,0.04,8.192,21.812314636356856,0.38,0.008719536122807747,0.023649570251727706,0.06496000866757413,2.179834277324634,0.003998711676568128,0.003998703692433214,1.0,1.0,1.0,0.04,,"[""sinusoidal"",""sinusoidal"",""sinusoidal""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_sinusoidal.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_sudden_turn,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,2.0604992580413817,0.0,8.364,22.22302544730763,0.32,0.001947055683231145,0.0020669312319864692,0.014947928757756006,0.5163173098084286,0.0016080792483203468,0.0016077881768367056,1.0,1.0,1.0,0.04,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_sudden.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_threat_validated_sudden,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,2.2866833817958834,0.02,8.1,22.22362544747822,0.3,0.009225535517675767,0.030366988532477972,0.0717461845651269,1.1594598350784544,0.0022267035173878496,0.0022266215764419526,1.0,1.0,1.0,0.14,3.6960710929179187e-07,"[""threat_validated_sudden"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_threat_sudden.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,750000,eval_accel_decel,2.0,50,1.0,0.0,,,1.0,2.1042668437957763,0.0,8.036,22.243828701446756,0.32,0.001007824791595327,0.001318513687260741,0.005550673746893144,0.2510647164950228,5.248635527385349e-05,5.24861122987157e-05,1.0,1.0,1.0,0.02,,"[""accel_decel"",""accel_decel"",""accel_decel""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_accel.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step750000.zip
attention_full_distance_penalty_wide_d2,0,750000,eval_ar1,2.0,50,1.0,0.0,,,1.0,2.042363429069519,0.0,8.092,22.207332107889947,0.38,0.0014898057980462724,0.001952886856161052,0.009702332454144182,0.3122149215815994,7.435749650403323e-05,7.435732420110987e-05,1.0,1.0,1.0,0.02,,"[""simple_ar1"",""simple_ar1"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_ar1.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step750000.zip
attention_full_distance_penalty_wide_d2,0,750000,eval_mixed_v2,2.0,50,1.0,0.0,0.21600000000000008,0.21600000000000008,0.0,2.3506881272792817,0.04,8.124,22.230959342131214,0.26,0.011718737143382885,0.03861315655056387,0.09176191991075029,1.8240205501788296,0.004146445779967948,0.004146445703715914,1.0,1.0,1.0,0.14,3.6960710929179187e-07,"[""threat_validated_sudden"",""sinusoidal"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_mixed_v2.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step750000.zip
attention_full_distance_penalty_wide_d2,0,750000,eval_random_switch,2.0,50,1.0,0.0,,,1.0,2.1978390216827393,0.0,8.240000000000002,22.33900462610274,0.28,0.0008813381634263248,0.0008742995467036941,0.0060228135388024325,0.2541902142477283,0.00020801888856308043,0.0002078589496809212,1.0,1.0,1.0,0.02,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_random.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step750000.zip
attention_full_distance_penalty_wide_d2,0,750000,eval_random_switch_hard,2.0,50,0.98,0.02,,,1.0,1.6747180956602097,0.04,8.700000000000001,21.44442391981902,0.88,0.023642835611326483,0.08087191555694061,0.14689597805830998,2.3237314721375397,0.00576182473898367,0.0054720190914758415,1.0,1.0,1.0,0.28,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_hard.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step750000.zip
attention_full_distance_penalty_wide_d2,0,750000,eval_sinusoidal,2.0,50,0.98,0.02,,,1.0,2.045600311756134,0.04,8.12,21.809015968331888,0.3,0.006405505244438231,0.015745590790174898,0.046728799894917745,2.1084856410009287,0.0031632408771414726,0.003163236528177474,1.0,1.0,1.0,0.06,,"[""sinusoidal"",""sinusoidal"",""sinusoidal""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_sinusoidal.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step750000.zip
attention_full_distance_penalty_wide_d2,0,750000,eval_sudden_turn,2.0,50,1.0,0.0,0.20400000000000007,0.20400000000000007,0.0,2.0546186113357545,0.0,8.232000000000001,22.217961196332027,0.34,0.0016285670823708493,0.0017427944781593326,0.010195683557540167,0.1824778061576495,0.0008584666135989006,0.0008583917090431862,1.0,1.0,1.0,0.0,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_sudden.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step750000.zip
attention_full_distance_penalty_wide_d2,0,750000,eval_threat_validated_sudden,2.0,50,1.0,0.0,0.2480000000000001,0.2480000000000001,0.0,2.450701916217804,0.0,8.171999999999999,22.20995504332226,0.2,0.003928875012643398,0.01374454042032823,0.0321683318237774,0.966227207252416,0.0005245827338971347,0.0005245803810689356,1.0,1.0,1.0,0.06,3.6960710929179187e-07,"[""threat_validated_sudden"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_threat_sudden.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step750000.zip
attention_full_distance_penalty_wide_d2,0,1000000,eval_accel_decel,2.0,50,1.0,0.0,,,1.0,2.1204810762405395,0.0,7.8,22.257804342766704,0.36,0.0007168969600294042,0.000269278173800556,0.003184400998252376,0.1612356490543476,0.00013300158348518218,0.00013300111883366168,1.0,1.0,1.0,0.0,,"[""accel_decel"",""accel_decel"",""accel_decel""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_accel.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step1000000.zip
attention_full_distance_penalty_wide_d2,0,1000000,eval_ar1,2.0,50,1.0,0.0,,,1.0,2.02400945186615,0.0,7.816,22.248858999385288,0.48,0.001758358867182298,0.0010997098661937282,0.012424886021326511,0.3860333691907414,0.00012630637040983884,0.00012630204736629728,1.0,1.0,1.0,0.02,,"[""simple_ar1"",""simple_ar1"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_ar1.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step1000000.zip
attention_full_distance_penalty_wide_d2,0,1000000,eval_mixed_v2,2.0,50,1.0,0.0,0.21200000000000008,0.21200000000000008,0.0,2.416160218715668,0.0,8.012,22.222854586572772,0.24,0.003343230479658801,0.011034702146425837,0.02559023412410169,0.5423418587188422,0.00015861316680866215,0.00015861316680714288,1.0,1.0,1.0,0.06,3.6960710929179187e-07,"[""threat_validated_sudden"",""sinusoidal"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_mixed_v2.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step1000000.zip
attention_full_distance_penalty_wide_d2,0,1000000,eval_random_switch,2.0,50,1.0,0.0,,,1.0,2.1462671399116515,0.0,8.16,22.341424949015273,0.34,0.0009676348337688864,0.0016427225084044,0.006664602985838419,0.2434975357687676,0.0006394220355977625,0.0006390371919839728,1.0,1.0,1.0,0.0,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_random.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step1000000.zip
