method,run_name,seed,step,scenario,success_rate,collision_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_mean,distance_warning_cost_p50,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p50,risk_sum_p90,risk_sum_p95,risk_sum_max,risk_max_mean,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_max,reaction_time_eval_style,reaction_time_nan_style,reaction_time,min_distance_after_turn,nan_reaction_rate,no_response_count,total_episodes
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,250000,eval_random_switch,0.5,0.0,2.8520186305046082,0.0,29.656,14.53523263256616,0.0,0.0,0.0,0.0,0.0,0.00019918977590156116,3.2227077285859766e-18,1.019943756467227e-07,1.3846715940225017e-05,0.015729413661912592,0.0001991897626593006,3.2216143045934073e-18,1.0199354841499013e-07,1.3846715887165365e-05,0.015729413661912592,,,,,1.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,250000,eval_sudden_turn,0.76,0.02,2.5777537381649016,0.02,23.296,17.874036985059153,0.00012479377910494798,0.0,0.0,0.0,0.011179121073504987,0.0007090500760679618,1.3195564226043266e-16,1.4356994114606366e-06,0.00046558283055992425,0.024417900989453886,0.0007090481320409015,1.2899739133530002e-16,1.4356566106227628e-06,0.00046555382887481775,0.024417900989453886,0.20000000000000007,0.20000000000000007,0.20000000000000007,3.4103868162631987,0.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,250000,eval_random_switch_hard,0.04,0.0,1.8568293857574463,0.06,38.972,5.846181702182696,3.6741194926432e-05,0.0,0.0,0.0,0.005554823669262984,0.00530499567581439,6.611157706009344e-07,0.006541216164531766,0.02248778436887812,0.20648996454695406,0.005205962136805576,6.407998628218118e-07,0.006379108841086301,0.022189968557456384,0.20428837830232624,,,,,1.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,250000,mixed_uncertainty,0.48,0.0,2.1057955527305605,0.0,34.708,13.675364090504099,0.0,0.0,0.0,0.0,0.0,0.00012258339279316356,4.43533850821846e-27,2.5809798143111192e-08,3.1776370169660597e-07,0.01070272149660128,0.0001225820626132402,4.435338506172159e-27,2.5809798118874506e-08,3.1775151930099464e-07,0.010702583557759915,0.20000000000000007,0.20000000000000007,0.20000000000000007,2.1219939160346986,0.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,500000,eval_random_switch,1.0,0.0,2.237726273536682,0.0,8.788,22.297864090578074,0.0,0.0,0.0,0.0,0.0,0.0002487599452511578,2.2011459007112124e-08,0.0006206764950922868,0.0013531652169999431,0.0051476394390603695,0.0002487546812576853,2.2011445375660767e-08,0.0006206646862471886,0.0013531472913735198,0.0051476317049101265,,,,,1.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,500000,eval_sudden_turn,1.0,0.0,2.097785894870758,0.0,8.788,22.14273254570764,0.0,0.0,0.0,0.0,0.0,0.00030983565812013196,4.0342252664606105e-10,0.0006980749244318479,0.0015260452635107713,0.006632018547599154,0.0003098339849112621,3.8454620512585623e-10,0.0006980712607541849,0.0015260327087327885,0.006631997050054787,0.20000000000000007,0.20000000000000007,0.20000000000000007,3.1068525409698484,0.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,500000,eval_random_switch_hard,1.0,0.0,1.5997218716144561,0.04,9.244000000000002,21.890155013364637,2.432498062262297e-05,0.0,4.83012618497e-05,0.00021285428942064674,0.000357920569420072,0.00380631663218079,0.0002062197282786061,0.013017198626428616,0.01912204853149884,0.043351199683383995,0.0038013176272761124,0.00020336031586776584,0.013015815101498084,0.01911670330659941,0.043350964159762896,,,,,1.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,500000,mixed_uncertainty,1.0,0.0,1.3164338552951813,0.38,9.032,22.093300478018627,0.00029709752284026166,0.0,0.0,0.000245749223977326,0.010035068636162863,0.032364910951774205,1.6833144679691846e-08,0.07164429704908958,0.22952825813001962,0.5161153642288521,0.030510003654879943,1.6833143540286707e-08,0.07125061630511813,0.21834896562499864,0.47801113387709804,0.20000000000000007,0.20000000000000007,0.20000000000000007,1.3211742532253266,0.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,750000,eval_random_switch,1.0,0.0,2.141748766899109,0.0,8.228000000000002,22.325539067421797,0.0,0.0,0.0,0.0,0.0,0.0005904251107087568,6.870760426466246e-08,0.002068240644057718,0.003961043888654901,0.006960835057744673,0.0005904191217789437,6.858165223363074e-08,0.0020682256053768575,0.003961038345418846,0.006960829575406108,,,,,1.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,750000,eval_sudden_turn,1.0,0.0,2.0043886351585387,0.0,8.236,22.210860135804626,0.0,0.0,0.0,0.0,0.0,0.0003266644843377642,6.443645637402248e-08,0.000557400797625902,0.0012118435242760143,0.006497213859320008,0.00032665291802990847,6.443545557113186e-08,0.0005573920994159138,0.0012117430830809192,0.006497203691251095,0.24000000000000007,0.24000000000000007,0.24000000000000007,2.8185061860084533,0.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,750000,eval_random_switch_hard,1.0,0.0,1.4538613069057464,0.08,8.472000000000001,21.91639978616392,8.208232582546401e-05,0.0,0.00012191692367195999,0.000684733679518102,0.001344829242076524,0.005369840694111148,0.00029927585401616795,0.01710998388167553,0.028579615381968283,0.0537594974826788,0.005362309125521239,0.0002984462276674527,0.01707449257638977,0.02852266774272717,0.05374933412298555,,,,,1.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,750000,mixed_uncertainty,0.96,0.04,1.2172661608457565,0.4,8.816,21.271090169717905,0.0008882100708797067,0.0,0.0,0.0008177681079496293,0.029919734986123103,0.03708568564515095,5.464074716548256e-11,0.11355200771391537,0.2762559192437479,0.48213089939907033,0.035679365652907816,5.4639957941653025e-11,0.1101661387210143,0.2674667763797138,0.45341452993112286,0.20000000000000007,0.20000000000000007,0.20000000000000007,1.2172661608457565,0.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,1000000,eval_random_switch,1.0,0.0,2.0085469031333925,0.0,7.728,22.35959664757913,0.0,0.0,0.0,0.0,0.0,0.0008045018543448514,3.510204192037021e-07,0.002655594067134851,0.005458212040042594,0.009498666439583123,0.0008043848377228258,3.441477339496717e-07,0.0026554665305076903,0.005458104715156691,0.009498656681478044,,,,,1.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,1000000,eval_sudden_turn,1.0,0.0,1.9252030229568482,0.0,7.772,22.249637155126877,0.0,0.0,0.0,0.0,0.0,0.0002510184006550037,5.612591385059041e-07,0.0003283240043520838,0.0009354232476766456,0.005589328950649094,0.00025091917659947013,5.596359730793148e-07,0.0003281281888660913,0.0009349413584561339,0.005588909103315661,1.0600000000000003,0.32653061224489804,1.0600000000000003,2.3244704461097716,0.02,1.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,1000000,eval_random_switch_hard,1.0,0.0,1.5005811536312104,0.06,8.12,21.975011426286176,1.8085686169795483e-05,0.0,2.217107685282e-06,9.416622975549973e-05,0.000453418750426876,0.005196736505431498,0.00019059200790942242,0.018664575256823315,0.02565650402299975,0.046266302056683306,0.005177173791021193,0.00018726971347911216,0.018547565654256276,0.025598908350639212,0.046248766303833656,,,,,1.0,0.0,50.0
risk_biased_attention_risk_penalty,risk_biased_attention_risk_penalty,0,1000000,mixed_uncertainty,0.9,0.1,1.0967558020353316,0.46,8.256000000000002,20.06853387078106,0.0014873394292589878,0.0,0.00021378401666879396,0.003343994993483636,0.04359389304027591,0.03332792643487028,2.7834636103496264e-07,0.08913227349009865,0.23632981427577535,0.4955604446649988,0.03219977876043163,2.7787317539605235e-07,0.08693551795340078,0.22765377592859068,0.4767029852251028,0.2360000000000001,0.2360000000000001,0.2360000000000001,1.0967558020353316,0.0,0.0,50.0
