method,checkpoint_step,scenarios,success_rate,collision_rate,near_miss_rate,progress,mean_time,mean_min_distance,min_distance_after_threat
random,sanity,6,0.0,0.0,0.04,0.09120862685190134,100.0,7.135263275607428,3.5191198231776557
straight_line,sanity,6,0.043333333333333335,0.9566666666666666,0.043333333333333335,0.3548162548758122,6.196000000000001,3.918343940941775,0.49690445835391683
reactive,sanity,6,0.09666666666666668,0.08666666666666667,0.2966666666666667,0.9350885483597651,91.77133333333332,3.740586145642189,1.5645734684169292
attention_full_1500k,1500000,6,0.61,0.38999999999999996,0.9666666666666668,0.9572205441305308,22.084666666666667,4.863276997336603,0.9354725719739992
attention_full_best_checkpoint,1500000,6,0.61,0.38999999999999996,0.9666666666666668,0.9572205441305308,22.084666666666667,4.863276997336603,0.9354725719739992
