checkpoint_step,scenarios,success_rate_mean,success_rate_std,collision_rate_mean,collision_rate_std,near_miss_rate_mean,progress_mean,mean_min_distance_mean,min_distance_after_threat_mean,no_response_rate_mean,reaction_time_eval_style_mean,conditional_reaction_time_mean,scenario_best_count,is_global_best,global_rank
250000,6,0.11333333333333333,0.08453795991545258,0.8866666666666667,0.08453795991545257,0.9966666666666667,0.5176583127045219,3.669604174399144,0.6711689706146716,0.016666666666666666,1.9751564625850342,0.34052882713369037,0,False,6
500000,6,0.30666666666666664,0.054650404085117864,0.6933333333333334,0.054650404085117836,0.9766666666666666,0.9095296929758323,5.123521753461598,0.8117327303439379,0.0,0.25666666666666665,0.25666666666666665,0,False,5
750000,6,0.5233333333333333,0.09993331109628395,0.47666666666666674,0.09993331109628395,0.9566666666666667,0.9472406819606306,5.16164153482596,0.9635000297923882,0.0,0.2653333333333333,0.2653333333333333,2,False,2
1000000,6,0.5133333333333333,0.1243650540411842,0.48666666666666664,0.12436505404118421,0.9366666666666666,0.9537553970051236,5.119953944125425,0.9441830565780401,0.0,0.2653333333333333,0.2653333333333333,1,False,3
1250000,6,0.4266666666666667,0.07229568912920513,0.5733333333333334,0.07229568912920507,0.9666666666666667,0.9114259509911445,4.270569628989214,0.8318779791394869,0.0,0.2653333333333333,0.2653333333333333,0,False,4
1500000,6,0.61,0.07563068160475613,0.38999999999999996,0.07563068160475615,0.9666666666666667,0.9572205441305308,4.863276997336602,0.9354725719739992,0.0,0.2653333333333333,0.2653333333333333,3,True,1
