scenario,attention_checkpoint_step,reactive_success_rate,attention_success_rate,success_gap_attention_minus_reactive,reactive_collision_rate,attention_collision_rate,collision_gap_attention_minus_reactive,reactive_near_miss_rate,attention_near_miss_rate,reactive_progress,attention_progress,progress_gap_attention_minus_reactive,reactive_mean_min_distance,attention_mean_min_distance
eval_flow_high_density,1500000,0.02,0.64,0.62,0.02,0.36,0.33999999999999997,0.14,0.96,0.9041898382031748,0.9425467540493232,0.03835691584614842,3.562277791916868,4.637472944724808
eval_flow_high_speed,1500000,0.1,0.54,0.44000000000000006,0.04,0.46,0.42000000000000004,0.34,1.0,0.9362914275350596,0.957770547596384,0.021479120061324464,3.960685180885329,4.461542829295176
eval_flow_high_threat,1500000,0.08,0.62,0.54,0.14,0.38,0.24,0.3,0.96,0.9485686936334212,0.9686721024780388,0.020103408844617587,3.8170149172950776,4.931150739451462
eval_flow_id,1500000,0.22,0.58,0.36,0.18,0.42,0.24,0.28,0.92,0.9571122724324502,0.9633676170801112,0.006255344647660976,3.851434100429272,5.371075515532408
eval_flow_mixed_ood,1500000,0.06,0.54,0.48000000000000004,0.12,0.46,0.34,0.42,0.98,0.942528767374052,0.940270728452252,-0.0022580389217999874,3.711693961299622,4.8153337649816255
eval_flow_sudden_threat,1500000,0.1,0.74,0.64,0.02,0.26,0.24000000000000002,0.3,0.98,0.9218402909804326,0.9706955151270756,0.048855224146643006,3.540410922026965,4.963086190034131
