motion_mode,episodes,collision_count,collision_rate,success_rate,near_miss_rate,planned_cpa,planned_ttc,min_distance_after_threat,collision_share
accel_decel,58,29,0.5,0.5,0.9482758620689655,0.5919178451443632,4.770950595674916,0.8651737277877742,0.24786324786324787
linear,36,17,0.4722222222222222,0.5277777777777778,0.9166666666666666,0.5686717566122281,4.971366516859142,1.1149875989390745,0.1452991452991453
sinusoidal_lateral,72,28,0.3888888888888889,0.6111111111111112,0.9861111111111112,0.5938342898549692,4.525194935335974,0.9245033108939728,0.23931623931623933
ar1_velocity,85,28,0.32941176470588235,0.6705882352941176,0.9764705882352941,0.612232504583719,4.028071316365959,0.9262603602865163,0.23931623931623933
crossing_or_sudden_threat,49,15,0.30612244897959184,0.6938775510204082,0.9795918367346939,0.635895417937385,3.741588746382718,0.9188933226527,0.1282051282051282
