scenario,episodes,collision_count,collision_rate,success_rate,near_miss_rate,mean_min_distance,min_distance_after_threat,progress,collision_share
eval_flow_high_speed,50,23,0.46,0.54,1.0,4.461542829295176,0.757379987090826,0.9577705475963839,0.19658119658119658
eval_flow_mixed_ood,50,23,0.46,0.54,0.98,4.8153337649816255,0.8786722552776337,0.940270728452252,0.19658119658119658
eval_flow_id,50,21,0.42,0.58,0.92,5.371075515532408,1.000360635817051,0.9633676170801111,0.1794871794871795
eval_flow_high_threat,50,19,0.38,0.62,0.96,4.931150739451462,0.9171138739585877,0.9686721024780387,0.1623931623931624
eval_flow_high_density,50,18,0.36,0.64,0.96,4.6374729447248075,1.1384801495075225,0.9425467540493233,0.15384615384615385
eval_flow_sudden_threat,50,13,0.26,0.74,0.98,4.963086190034131,0.9208285301923752,0.9706955151270755,0.1111111111111111
