variable,bin,episodes,collision_rate,success_rate,value_mean,value_min,value_max
planned_cpa,"(0.349, 0.418]",75.0,0.41333333333333333,0.5866666666666667,0.37949632635588254,0.3501014212621049,0.4166256615954544
planned_cpa,"(0.418, 0.507]",75.0,0.48,0.52,0.46507426668059015,0.4185764102836474,0.5052906907107977
planned_cpa,"(0.507, 0.663]",75.0,0.3333333333333333,0.6666666666666666,0.5784958313392357,0.5078612368128761,0.6624525397479406
planned_cpa,"(0.663, 2.17]",75.0,0.3333333333333333,0.6666666666666666,0.9870419155512123,0.6632886180694296,2.1702080123071004
planned_cpa_pearson,collision,300.0,-0.06897687667131215,,0.6025270849817301,0.3501014212621049,2.1702080123071004
planned_ttc,"(0.799, 3.052]",75.0,0.21333333333333335,0.7866666666666666,1.1902473146271761,0.8,3.0195163692119
planned_ttc,"(3.052, 4.633]",75.0,0.5333333333333333,0.4666666666666667,3.8744058346280394,3.062931337706683,4.627588637105525
planned_ttc,"(4.633, 6.208]",75.0,0.38666666666666666,0.6133333333333333,5.3121840426548825,4.638539841786447,6.202132339084139
planned_ttc,"(6.208, 8.878]",75.0,0.4266666666666667,0.5733333333333334,7.052793140944888,6.225271511872062,8.877836664131173
planned_ttc_pearson,collision,300.0,0.17521340854935138,,4.357407583213746,0.8,8.877836664131173
