threat_class,episodes,collision_count,collision_rate,success_rate,near_miss_rate,planned_cpa,planned_ttc,min_distance_after_threat,collision_share
high,286,112,0.3916083916083916,0.6083916083916084,0.965034965034965,0.5475146144520918,4.352033213306227,0.9364870186973285,0.9572649572649573
medium,14,5,0.35714285714285715,0.6428571428571429,1.0,1.7263532686586276,4.467198282753063,0.9147488746259894,0.042735042735042736
