method,seed,episode,episode_seed,step,time,turn_step,has_turned,turning_obstacle_id,success,collision,min_distance,episode_min_distance,R_max,R_sum,R_bar,risk_turn,sigma_turn_x,sigma_turn_y,sigma_turn_z,sigma_turn_trace,mu_turn_x,mu_turn_y,mu_turn_z,dist_turn,rel_speed_turn,w_risk_turn,risk_rank_turn,action_x,action_y,action_z,v_des_norm,deviation_lateral
risk_full_rbar,1,26,11026,1,0.2,15,False,-1,0,0,4.245162010192871,4.245162010192871,0.0008738707401789725,0.0008738707401789725,0.000873870517735223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.6078734397888184,0.8188449740409851,2.8565833568573,1.2087395191192627
risk_full_rbar,1,26,11026,2,0.4,15,False,-1,0,0,4.137138843536377,4.137138843536377,0.002286238595843315,0.002286238595843315,0.002286234612548108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.8497293591499329,1.0,3.2997212409973145,1.6980820894241333
risk_full_rbar,1,26,11026,3,0.6000000000000001,15,False,-1,0,0,3.581223249435425,3.581223249435425,0.012348812073469162,0.012348812073469162,0.012348184408631401,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9478369355201721,1.0,3.4049346446990967,1.8145091533660889
risk_full_rbar,1,26,11026,4,0.8,15,False,-1,0,0,3.058776617050171,3.058776617050171,0.030181722715497017,0.030181722715497017,0.030172561510453885,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.9919934868812561,1.0,3.454881191253662,1.8990446329116821
risk_full_rbar,1,26,11026,5,1.0,15,False,-1,0,0,2.590641975402832,2.590641975402832,0.03034132532775402,0.03034132532775402,0.030332018053895217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,3.464101552963257,1.9548349380493164
risk_full_rbar,1,26,11026,6,1.2000000000000002,15,False,-1,0,0,2.211169481277466,2.211169481277466,0.009807714261114597,0.009807714261114597,0.009807399801086261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.9973421096801758,3.4610352516174316,2.000788688659668
risk_full_rbar,1,26,11026,7,1.4000000000000001,15,False,-1,0,0,1.9642130136489868,1.9642130136489868,0.0008177508716471493,0.0008177508716471493,0.0008177506893660344,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.9295302629470825,3.3846869468688965,1.9404000043869019
risk_full_rbar,1,26,11026,8,1.6,15,False,-1,0,0,1.9035943746566772,1.9035943746566772,9.340133146906737e-06,9.340133146906737e-06,9.340133146635131e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.8623165488243103,3.3127570152282715,1.8839499950408936
risk_full_rbar,1,26,11026,9,1.8,15,False,-1,0,0,2.0498366355895996,1.9035943746566772,6.995797718900576e-09,6.999239854366124e-09,6.999239854366124e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.8097832798957825,3.259293794631958,1.8537068367004395
risk_full_rbar,1,26,11026,10,2.0,15,False,-1,0,0,2.3673086166381836,1.9035943746566772,1.1821187084759543e-10,1.1836698288192338e-10,1.1836698288192338e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.7640069127082825,3.214782476425171,1.8366072177886963
risk_full_rbar,1,26,11026,11,2.2,15,False,-1,0,0,2.7998111248016357,1.9035943746566772,1.813502681358159e-10,1.813502681358159e-10,1.813502681358159e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.7212398648262024,3.1750192642211914,1.8268005847930908
risk_full_rbar,1,26,11026,12,2.4000000000000004,15,False,-1,0,0,2.5227363109588623,1.9035943746566772,5.409278060197753e-12,5.409278060197753e-12,5.409278060197753e-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.6801465749740601,3.1385343074798584,1.8223652839660645
risk_full_rbar,1,26,11026,13,2.6,15,False,-1,0,0,2.314781427383423,1.9035943746566772,8.341467173903654e-16,8.341467173903654e-16,8.341467173903654e-16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.6402081251144409,3.1047487258911133,1.8226826190948486
risk_full_rbar,1,26,11026,14,2.8000000000000003,15,False,-1,0,0,2.226443290710449,1.9035943746566772,9.777147108019014e-23,9.777147108019014e-23,9.777147108019014e-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.60118567943573,3.073385238647461,1.8275761604309082
risk_full_rbar,1,26,11026,15,3.0,15,True,1,0,0,2.2720870971679688,1.9035943746566772,1.1273468963901578e-10,1.1273468963901578e-10,1.1273468963901578e-10,1.1273468963901578e-10,0.0689837634563446,0.12572185695171356,0.27364563941955566,0.46835124492645264,-0.8472312688827515,-0.17718097567558289,-0.020679742097854614,2.2720870971679688,2.059406042098999,0.3333333432674408,1.0,1.0,1.0,0.5629244446754456,3.0442628860473633,1.837006688117981
risk_full_rbar,1,26,11026,16,3.2,15,True,1,0,0,2.132169246673584,1.9035943746566772,7.226126541581834e-08,7.226126541581834e-08,7.226126541581821e-08,7.226126541581834e-08,0.07444637268781662,0.16033317148685455,0.42623817920684814,0.6610177159309387,-0.8120730519294739,-0.1084907203912735,0.11346834897994995,2.132169246673584,2.087914228439331,1.0,1.0,1.0,0.9904012680053711,0.5252796411514282,3.0045387744903564,1.8358654975891113
risk_full_rbar,1,26,11026,17,3.4000000000000004,15,True,1,0,0,2.0617101192474365,1.9035943746566772,2.1619244705561869e-07,2.1619244705561869e-07,2.1619244705561532e-07,2.1619244705561869e-07,0.07701413333415985,0.18251848220825195,0.5293796062469482,0.7889122366905212,-0.7804306745529175,-0.04666949808597565,0.23420163989067078,2.0617101192474365,2.117713212966919,1.0,1.0,1.0,0.9686419367790222,0.4889058470726013,2.9511327743530273,1.8195116519927979
risk_full_rbar,1,26,11026,18,3.6,15,True,1,0,0,2.071070671081543,1.9035943746566772,5.707883588002005e-08,5.707883588002005e-08,5.7078835880019985e-08,5.707883588002005e-08,0.07742276787757874,0.19522371888160706,0.5945114493370056,0.8671579360961914,-0.7519525289535522,0.00896960124373436,0.3428615927696228,2.071070671081543,2.1487812995910645,1.0,1.0,1.0,0.938200056552887,0.4537819027900696,2.888693332672119,1.7921741008758545
risk_full_rbar,1,26,11026,19,3.8000000000000003,15,True,1,0,0,2.1624135971069336,1.9035943746566772,2.2052091264157525e-09,2.2052091264157525e-09,2.2052091264157525e-09,2.2052091264157525e-09,0.0762496292591095,0.2007765769958496,0.6306968927383423,0.907723069190979,-0.7263221740722656,0.059044793248176575,0.44065555930137634,2.1624135971069336,2.1818487644195557,0.3333333432674408,1.0,1.0,0.900457501411438,0.41901445388793945,2.8187918663024902,1.754301905632019
risk_full_rbar,1,26,11026,20,4.0,15,True,1,0,0,2.329213857650757,1.9035943746566772,1.158385713739829e-11,1.158385713739829e-11,1.158385713739829e-11,1.158385713739829e-11,0.07394566386938095,0.2010098695755005,0.645092785358429,0.9200483560562134,-0.7032548785209656,0.10411246865987778,0.5286701321601868,2.329213857650757,2.218017339706421,0.3333333432674408,1.0,1.0,0.8560163974761963,0.38354435563087463,2.7421672344207764,1.7051804065704346
risk_full_rbar,1,26,11026,21,4.2,15,True,1,0,0,2.559828042984009,1.9035943746566772,6.131015478156232e-15,6.131015478156232e-15,6.131015478156232e-15,6.131015478156232e-15,0.07086110860109329,0.19736073911190033,0.6433306932449341,0.9115525484085083,-0.6824943423271179,0.14467337727546692,0.6078832149505615,2.559828042984009,2.2586050033569336,0.3333333432674408,1.0,1.0,0.8052281737327576,0.34626349806785583,2.6595420837402344,1.6437832117080688
risk_full_rbar,1,26,11026,22,4.4,15,True,1,0,0,2.841872215270996,1.9035943746566772,2.1119506898809426e-19,2.1119506898809426e-19,2.1119506898809426e-19,2.1119506898809426e-19,0.06726610660552979,0.1909506767988205,0.6298227906227112,0.8880395889282227,-0.6638098359107971,0.18117819726467133,0.6791750192642212,2.841872215270996,2.3051047325134277,0.3333333432674408,1.0,1.0,0.7484781742095947,0.30599769949913025,2.572045087814331,1.5691567659378052
risk_full_rbar,1,26,11026,23,4.6000000000000005,15,True,1,0,0,3.1648497581481934,1.9035943746566772,2.7054011861648217e-25,2.7054011861648217e-25,2.7054011861648217e-25,2.7054011861648217e-25,0.06336729228496552,0.1826496720314026,0.608008861541748,0.8540258407592773,-0.6469937562942505,0.21403253078460693,0.7433376312255859,3.1648499965667725,2.3591361045837402,0.3333333432674408,1.0,1.0,0.6863529086112976,0.2614865005016327,2.4814958572387695,1.4806482791900635
risk_full_rbar,1,26,11026,24,4.800000000000001,15,True,1,0,0,3.5208916664123535,1.9035943746566772,6.487324835473764e-33,6.487324835473764e-33,6.487324835473764e-33,6.487324835473764e-33,0.059321075677871704,0.1731279045343399,0.5805543661117554,0.8130033612251282,-0.631859302520752,0.24360142648220062,0.8010839819908142,3.5208916664123535,2.4223132133483887,0.3333333432674408,1.0,1.0,0.6197136640548706,0.2114090919494629,2.390597343444824,1.378063678741455
risk_full_rbar,1,26,11026,25,5.0,15,True,1,0,0,3.904477596282959,1.9035943746566772,1.2962010795004558e-42,1.2962010795004558e-42,1.2962010795004558e-42,1.2962010795004558e-42,0.055244285613298416,0.16289709508419037,0.5495095252990723,0.7676509022712708,-0.6182383298873901,0.27021342515945435,0.8530557155609131,3.904477596282959,2.4959774017333984,0.3333333432674408,1.0,1.0,0.5496613383293152,0.15447810292243958,2.3030335903167725,1.2617878913879395
risk_full_rbar,1,26,11026,26,5.2,15,True,1,0,0,4.3118181228637695,1.9035943746566772,0.0,0.0,0.0,0.0,0.05122266337275505,0.15234379470348358,0.5164371728897095,0.720003604888916,-0.6059794425964355,0.29416424036026,0.8998302817344666,4.3118181228637695,2.580734968185425,0.3333333432674408,2.0,1.0,0.477396696805954,0.0896477922797203,2.2234606742858887,1.1330089569091797
risk_full_rbar,1,26,11026,27,5.4,15,True,1,0,0,4.759339809417725,1.9035943746566772,5.605193857299268e-45,5.605193857299268e-45,5.605193857299268e-45,5.605193857299268e-45,0.04731767252087593,0.14175590872764587,0.957913875579834,1.1469874382019043,-0.5949464440345764,0.31571996212005615,0.6777671575546265,4.759339809417725,2.725175619125366,0.3333333432674408,1.0,1.0,0.4040433466434479,0.016545746475458145,2.1573359966278076,0.9944212436676025
risk_full_rbar,1,26,11026,28,5.6000000000000005,15,True,1,0,0,5.219270706176758,1.9035943746566772,1.471363387541058e-43,1.471363387541058e-43,1.471363387541058e-43,1.471363387541058e-43,0.043571896851062775,0.13134397566318512,1.261549949645996,1.436465859413147,-0.5850167274475098,0.3351201117038727,0.4779103398323059,5.219270706176758,2.6832354068756104,0.3333333432674408,1.0,1.0,0.33058440685272217,-0.06370734423398972,2.1103029251098633,0.8519565463066101
risk_full_rbar,1,26,11026,29,5.800000000000001,15,True,1,0,0,5.6813645362854,1.9035943746566772,2.802596928649634e-45,2.802596928649634e-45,2.802596928649634e-45,2.802596928649634e-45,0.04001336172223091,0.12125813961029053,1.4589312076568604,1.620202660560608,-0.5760799646377563,0.3525802493095398,0.29803919792175293,5.6813645362854,2.633150339126587,0.3333333432674408,1.0,1.0,0.25804123282432556,-0.14740623533725739,2.0864455699920654,0.7172873020172119
risk_full_rbar,1,26,11026,30,6.0,15,True,1,0,0,6.139131546020508,1.9035943746566772,0.0,0.0,0.0,0.0,0.03665893152356148,0.11160165816545486,1.5751025676727295,1.7233631610870361,-0.5680369138717651,0.3682943880558014,0.1361551582813263,6.139131546020508,2.5815110206604004,0.3333333432674408,2.0,1.0,0.18779069185256958,-0.2278624325990677,2.085364818572998,0.6080567836761475
