run_name,method,step,scenario,success_rate,collision_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_mean,distance_warning_cost_p50,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p50,risk_sum_p90,risk_sum_p95,risk_sum_max,risk_max_mean,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_max,reaction_time_eval_style,reaction_time_nan_style,reaction_time,min_distance_after_turn,nan_reaction_rate,no_response_count,total_episodes
attention_full,attention_full,250000,eval_sudden_turn,1.0,0.0,1.3642232358455657,0.1,6.960000000000001,22.00515623791637,2.45770352194e-05,0.0,0.0,0.0,0.0008847732825589801,0.026875226914489708,0.000177683024568184,0.0763435939799734,0.1086710518216705,0.32982522437087025,0.0266368353437428,0.00017736122331192544,0.07587544677006969,0.10706270486023184,0.3272006306957337,0.2000000000000001,0.2000000000000001,0.2000000000000001,1.8472331285476684,0.0,0.0,10.0
attention_full,attention_full,250000,mixed_uncertainty,1.0,0.0,1.068107509613037,0.4,6.860000000000001,22.02062190963402,0.0013154750806279355,0.0,0.00169138591736555,0.00736292101209982,0.024392174177314967,0.05928470781364008,0.0019410456035455887,0.21665417010663077,0.3185878877295181,0.3875792465638369,0.057086015783715936,0.001940935881641493,0.21594499360071495,0.31696336835157124,0.3463902053888887,0.2600000000000001,0.2600000000000001,0.2600000000000001,1.068107509613037,0.0,0.0,10.0
attention_full,attention_full,750000,eval_sudden_turn,1.0,0.0,0.977276748418808,0.6,6.5600000000000005,22.056838422350946,0.00032086743049145625,0.0,0.0,0.0008412265167862485,0.008582810350094021,0.05478969623800363,0.0027543632777296692,0.15562490285374223,0.2542484614066779,0.4906245432794094,0.05295989676378662,0.00238188580820678,0.14950898578390479,0.24810055522248145,0.47777946665883064,18.919999999999998,0.8400000000000002,18.919999999999998,1.6029030978679657,0.5,5.0,10.0
attention_full,attention_full,750000,mixed_uncertainty,0.9,0.1,0.9521257996559143,0.4,6.659999999999999,20.034235374789425,0.00170634230598805,0.0,0.0013716011952055716,0.00865479498170314,0.03534500076821841,0.09839910864830012,0.015730257269024116,0.37031645625829696,0.4356318265199661,0.5305209517478943,0.09572667907923457,0.015582128475762125,0.3683905839920044,0.42767980843782427,0.5209477931261063,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9638781070709228,0.0,0.0,10.0
attention_full,attention_full,1000000,eval_sudden_turn,1.0,0.0,0.8873560011386872,0.9,6.5,22.054951914450903,0.001281867249508621,0.0,0.0006063040345907101,0.006825834565097441,0.02552775153602017,0.09303741902112958,0.012228051704153161,0.26384166479110716,0.42651890963315964,0.6290248274803162,0.08859666846692557,0.01196042930967026,0.25361799281090497,0.41500294506549834,0.6018947213888168,7.94,0.6750000000000003,7.94,1.492522305250168,0.2,2.0,10.0
attention_full,attention_full,1000000,mixed_uncertainty,0.9,0.1,0.926033565402031,0.6,6.68,19.97355566512735,0.0015933811380818793,0.0,0.0017718904651701402,0.00647660115500911,0.0357972750266765,0.11559337899088853,0.017736292850895508,0.42802651822566984,0.5549623847007752,0.737286850810051,0.10952454619109626,0.015506087225548934,0.40894327163696287,0.5290602326393128,0.6643392890691757,0.4400000000000002,0.4400000000000002,0.4400000000000002,0.9396956533193588,0.0,0.0,10.0
attention_full_distance_penalty,attention_full_distance_penalty,250000,eval_sudden_turn,1.0,0.0,1.568602442741394,0.0,7.2,22.055966117646868,0.0,0.0,0.0,0.0,0.0,0.009556071789319234,2.715520853422694e-05,0.02534745963791916,0.04720926838265878,0.12891292008625893,0.009473725304945852,2.7154282825756106e-05,0.025305463477047818,0.04708980479120153,0.12883985913413193,0.3000000000000001,0.3000000000000001,0.3000000000000001,1.9612661123275756,0.0,0.0,10.0
attention_full_distance_penalty,attention_full_distance_penalty,250000,mixed_uncertainty,1.0,0.0,1.0319990456104278,0.4,7.12,22.014793124741466,0.0010550496987661924,0.0,0.0,0.00359667241573332,0.026432875742532842,0.050057548261247545,2.1042280092768216e-05,0.2311702930368483,0.2838601661846042,0.34717453848570584,0.0496901719132438,1.6569550759557315e-05,0.2305535060353577,0.2830906638875604,0.34696606528013946,0.2000000000000001,0.2000000000000001,0.2000000000000001,1.0319990456104278,0.0,0.0,10.0
attention_full_distance_penalty,attention_full_distance_penalty,750000,eval_sudden_turn,1.0,0.0,1.0523753225803376,0.5,6.58,22.0228411876437,0.00022198798105818384,0.0,0.0,0.00028904678765683,0.006666532332710399,0.03699604789144355,0.0006314339911472108,0.08726834527915339,0.1842133761849254,0.42852020617574454,0.03672514095669608,0.0005924477355295995,0.0864060494699515,0.18303813184611495,0.4270284196361899,11.24,0.20000000000000012,11.24,1.5833348631858826,0.3,3.0,10.0
attention_full_distance_penalty,attention_full_distance_penalty,750000,mixed_uncertainty,0.9,0.1,0.9882991254329682,0.5,6.74,20.02395699712975,0.0032721459545427675,0.0,0.0032097692777824523,0.02207579038222317,0.0557765447190274,0.06740010185749268,0.003189021090656708,0.2645361167844385,0.347011571819894,0.4295005027670413,0.06444978488725604,0.0031704748595074834,0.254823945928365,0.3334685693960637,0.39945372231304643,0.4000000000000001,0.4000000000000001,0.4000000000000001,1.0099021375179291,0.0,0.0,10.0
