run_name,step,scenario,success_rate,collision_rate,mean_min_distance,std_min_distance,mean_time,mean_episode_reward,mean_reaction_time,std_reaction_time,nan_rate_reaction_time,mean_min_distance_after_turn,mean_risk_at_turn,mean_risk_max_after_turn,mean_risk_rise_time_0p3,mean_risk_rise_time_0p5,nan_rate_risk_rise_0p5,mean_sigma_trace_at_turn,mean_sigma_trace_max_after_turn,mean_sigma_rise_time_2x,mean_R_sum_at_turn,mean_R_sum_max_after_turn,mean_R_bar_at_turn,mean_R_bar_max_after_turn,mean_w_risk_at_turn,mean_w_risk_max_after_turn,turning_obstacle_top1_rate_after_turn
Rgate8,100k,hard,0.9666666666666667,0.03333333333333333,0.9344056088725726,0.1870906725515694,6.981999999999999,21.004056421433432,,,1.0,,,,,,,,,,,,,,,,
Rgate8,100k,random,0.9933333333333333,0.006666666666666667,1.4682920877138776,1.0438721310089523,7.061333333333333,22.09754240505809,,,1.0,,,,,,,,,,,,,,,,
Rgate8,100k,sudden,1.0,0.0,1.180499816139539,0.2495368429582788,7.152666666666666,22.29220550971174,0.30666666666666687,0.2753904099453502,0.0,1.6776023870706558,0.03579775615095133,0.046670727808954836,0.0,0.0,0.9777777777777779,1.0197794023487303,1.7807597378889721,1.188235294117647,0.04668231306392257,0.43017420727911587,0.043471480591514094,0.3826826609303617,0.6508694524378239,0.9462240658700466,0.9555555555555556
Rgate8,200k,hard,0.9899999999999999,0.01,1.0086283379793166,0.20680906278569786,7.622666666666667,21.616581611503566,,,1.0,,,,,,,,,,,,,,,,
Rgate8,200k,random,0.9966666666666667,0.0033333333333333335,1.6064982495705287,0.974989482189076,7.608666666666667,22.051463237272472,,,1.0,,,,,,,,,,,,,,,,
Rgate8,200k,sudden,0.9933333333333333,0.006666666666666667,1.3214922533432643,0.327698163167536,7.664666666666666,22.004176188647463,0.2260134680134681,0.08469595633150408,0.0033333333333333335,1.8268396590153377,0.021493794912333344,0.030175627527088748,0.10000000000000005,0.0,0.9888888888888889,1.0330121090014774,1.7529252469539642,1.3713308913308915,0.025996067863390097,0.2866608474663937,0.025274140087949443,0.2626213805019482,0.644968951719879,0.9332044977832185,0.9555555555555556
Rgate8,300k,hard,0.9700000000000001,0.03,0.9364335706830024,0.20885404449455688,6.907333333333334,21.10953541728185,,,1.0,,,,,,,,,,,,,,,,
Rgate8,300k,random,0.9966666666666667,0.0033333333333333335,1.5132160237431524,0.9885782321474063,7.0633333333333335,22.183503094877654,,,1.0,,,,,,,,,,,,,,,,
Rgate8,300k,sudden,0.9966666666666667,0.0033333333333333335,1.2271003959576288,0.27710988388312824,7.1113333333333335,22.195485460535423,2.6994949494949503,5.09601220191544,0.0033333333333333335,1.705409551858902,0.02270639349273823,0.027385555709272296,0.0,0.0,0.9888888888888889,1.0427476551797656,1.7404722174008687,1.1196078431372551,0.03092906117878212,0.3707739651290467,0.029472714705627373,0.33369127363582507,0.6891555542661661,0.942565245224331,0.9555555555555556
Rgate8,500k,hard,0.9233333333333333,0.07666666666666667,0.8094432343045871,0.18495929723167018,6.273333333333334,19.6696869006956,,,1.0,,,,,,,,,,,,,,,,
Rgate8,500k,random,0.9866666666666667,0.013333333333333334,1.3225076950589818,1.0509980151234788,6.684666666666666,21.956636718997633,,,1.0,,,,,,,,,,,,,,,,
Rgate8,500k,sudden,0.9899999999999999,0.01,1.0172064240773517,0.1900210773512324,6.720666666666666,22.006604313970243,9.557090634233491,15.55150497996368,0.01,1.4668478161096574,0.05754468707478599,0.0760396142682488,0.03333333333333335,0.03333333333333335,0.9555555555555556,1.0175812934835753,1.80859388311704,0.9346405228758171,0.06416562725585805,0.5765539070798291,0.06034114903177721,0.5005826408805836,0.7155458389014626,0.9416790435711543,0.9333333333333332
Rgate8_lambda015,100k,hard,0.9899999999999999,0.01,0.9661725096901258,0.16370216554569936,7.240666666666667,21.69563700112056,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,100k,random,0.9899999999999999,0.01,1.5017010505994162,1.0481523961005896,7.06,22.008514144068755,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,100k,sudden,0.9933333333333333,0.006666666666666667,1.2158529791235921,0.25968595992859905,7.150666666666666,22.107547526252528,0.3113333333333335,0.3049863595835875,0.0,1.764093029598395,0.0358089107540178,0.04696953442607471,0.0666666666666667,0.0,0.9777777777777779,1.068561742371983,1.8644676592614917,1.9493589743589748,0.037752464632006856,0.46956373184964634,0.03567372055474819,0.4145992272215029,0.7878312772923972,0.95179184211625,0.9666666666666668
Rgate8_lambda015,200k,hard,0.9966666666666667,0.0033333333333333335,1.0506664446989695,0.20493954358746166,7.5440000000000005,21.871577056811883,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,200k,random,1.0,0.0,1.7477691886822384,0.9850277158155759,7.503333333333333,22.2155227258942,,,1.0,,,,,,,,,,,,,,,,
