run_name,seed,step,scenario,success_rate,collision_rate,mean_min_distance,std_min_distance,mean_time,mean_episode_reward,mean_reaction_time,std_reaction_time,nan_rate_reaction_time,mean_min_distance_after_turn,mean_risk_at_turn,mean_risk_max_after_turn,mean_risk_rise_time_0p3,mean_risk_rise_time_0p5,nan_rate_risk_rise_0p5,mean_sigma_trace_at_turn,mean_sigma_trace_max_after_turn,mean_sigma_rise_time_2x,mean_R_sum_at_turn,mean_R_sum_max_after_turn,mean_R_bar_at_turn,mean_R_bar_max_after_turn,mean_w_risk_at_turn,mean_w_risk_max_after_turn,turning_obstacle_top1_rate_after_turn
Rgate8_lambda015_RbarFloor03,0,100k,hard,0.99,0.01,0.8771322497725487,0.15394454043468184,7.053999999999999,21.74537616342007,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,0,100k,random,0.99,0.01,1.3916070193052292,1.2314801700173152,6.8580000000000005,21.989940839413002,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,0,100k,sudden,0.99,0.01,0.9694013857841491,0.1906315202320232,6.93,22.012792683729657,0.40800000000000025,0.548953089935283,0.0,1.5187534832954406,0.10327542455781792,0.13659821770762967,0.0,0.10000000000000005,0.8666666666666667,1.0239481916030249,1.503907028834025,2.4000000000000004,0.1135442331628326,0.6813815285762151,0.10368317683916542,0.5704320984039594,0.8502085967299838,0.9098235944906871,0.9333333333333333
Rgate8_lambda015_RbarFloor03,0,200k,hard,0.99,0.01,1.0400504493713378,0.24733926338711262,7.454,21.676713133798195,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,0,200k,random,0.99,0.01,1.8176600283384323,1.1164412684405463,7.4860000000000015,21.900529405788927,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,0,200k,sudden,1.0,0.0,1.360803298354149,0.3459560708531301,7.5760000000000005,22.22569357962398,0.2520000000000001,0.19616525706864635,0.0,1.8827270901203155,0.03552041328402479,0.06590974657321645,0.20000000000000015,0.2000000000000001,0.9666666666666667,1.0321758697430292,1.7018323640028636,2.12,0.043983975300611065,0.300931102844576,0.04246821867208112,0.2710868936988127,0.721354551812207,0.9327760726213455,0.9666666666666667
Rgate8_lambda015_RbarFloor03,0,300k,hard,0.92,0.08,0.8979932644963264,0.22164451880372826,6.364000000000001,19.54658409117531,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,0,300k,random,0.99,0.01,1.6221347746253014,1.2043959549313417,6.831999999999999,21.955754178816978,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,0,300k,sudden,0.99,0.01,1.2016593649983407,0.2526480139020744,6.854000000000002,21.960421144971942,8.444444444444446,15.343350765019116,0.01,1.650590536892414,0.041512407083495635,0.04982690220008086,0.0,,1.0,1.0158120006322862,1.6552861511707306,2.1000000000000005,0.04186175285367378,0.3702715841898074,0.04030719156623435,0.33155123939928954,0.8981925422946612,0.9530469338099162,0.9666666666666667
Rgate8_lambda015_RbarFloor03,0,500k,hard,0.95,0.05,0.8311650723218917,0.18015081880531394,6.439999999999999,20.48346087768516,,,1.0,,,,,,,,,,,,,,,,
