method,seed,step,scenario,success_rate,collision_rate,mean_min_distance,near_miss_rate,mean_time,distance_warning_cost_mean,risk_sum_mean,risk_max_mean,reaction_time_eval_style,reaction_time_nan_style,reaction_time,nan_reaction_rate,mean_min_distance_after_turn,total_episodes,checkpoint_path,eval_csv_path,reused_from
attention_full,0,1000000,mixed_uncertainty,0.96,0.04,1.0143310576677322,0.52,6.792000000000001,0.001690593218656862,0.08583434295462208,0.0837566692131804,1.2560000000000004,0.5265306122448982,1.2560000000000004,0.02,1.0170634752511978,50.0,checkpoints/longtrain_baseline/attention_full_s0_step1000000.zip,results/p1_three_seed/eval/attention_full_s0_step1000000_mixed.csv,results/longtrain_baseline/eval/attention_full_s0_step1000000_mixed.csv
attention_full,1,250000,eval_random_switch,0.98,0.02,1.5225022369623185,0.14,7.163999999999999,0.00038450113298949825,0.0216502468824585,0.021593381723036344,,,,1.0,,50.0,checkpoints/attention_seed1/attention_full_s1_step250000.zip,results/p1_three_seed/eval/attention_full_s1_step250000_random.csv,results/attention_seed1/eval/attention_full_s1_step250000_random.csv
attention_full,1,250000,eval_random_switch_hard,1.0,0.0,1.0178072369098663,0.5,7.236000000000001,0.0005140526590252921,0.04102092680521305,0.04020079284906383,,,,1.0,,50.0,checkpoints/attention_seed1/attention_full_s1_step250000.zip,results/p1_three_seed/eval/attention_full_s1_step250000_hard.csv,results/attention_seed1/eval/attention_full_s1_step250000_hard.csv
attention_full,1,250000,eval_sudden_turn,1.0,0.0,1.3045780777931213,0.12,7.292000000000002,5.9327105827815925e-06,0.025045540717837822,0.024608901083120097,0.21600000000000008,0.21600000000000008,0.21600000000000008,0.0,1.8523222029209137,50.0,checkpoints/attention_seed1/attention_full_s1_step250000.zip,results/p1_three_seed/eval/attention_full_s1_step250000_sudden.csv,results/attention_seed1/eval/attention_full_s1_step250000_sudden.csv
attention_full,1,250000,mixed_uncertainty,0.92,0.08,0.8767104732990265,0.74,7.348000000000001,0.003807647109613266,0.08711349975186745,0.0867978959191532,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.0,0.8856424939632416,50.0,checkpoints/attention_seed1/attention_full_s1_step250000.zip,results/p1_three_seed/eval/attention_full_s1_step250000_mixed.csv,results/attention_seed1/eval/attention_full_s1_step250000_mixed.csv
attention_full,1,500000,eval_random_switch,1.0,0.0,1.3609111630916595,0.3,6.932,0.0004902898950956452,0.0402227828659182,0.039823257827253024,,,,1.0,,50.0,checkpoints/attention_seed1/attention_full_s1_step500000.zip,results/p1_three_seed/eval/attention_full_s1_step500000_random.csv,results/attention_seed1/eval/attention_full_s1_step500000_random.csv
attention_full,1,500000,eval_random_switch_hard,0.98,0.02,0.8751556181907654,0.8,6.768000000000001,0.0036273792428346175,0.09014241609722372,0.0836078945919871,,,,1.0,,50.0,checkpoints/attention_seed1/attention_full_s1_step500000.zip,results/p1_three_seed/eval/attention_full_s1_step500000_hard.csv,results/attention_seed1/eval/attention_full_s1_step500000_hard.csv
attention_full,1,500000,eval_sudden_turn,1.0,0.0,1.2028391981124877,0.3,6.975999999999999,7.2023519609021e-05,0.03899210172705348,0.037847580036614044,2.6919999999999997,0.5021276595744681,2.6919999999999997,0.06,1.6805334722995757,50.0,checkpoints/attention_seed1/attention_full_s1_step500000.zip,results/p1_three_seed/eval/attention_full_s1_step500000_sudden.csv,results/attention_seed1/eval/attention_full_s1_step500000_sudden.csv
attention_full,1,500000,mixed_uncertainty,0.88,0.12,0.8886418157815933,0.7,7.0520000000000005,0.0035578172838944214,0.10251226564287204,0.10205545615055595,0.3040000000000001,0.3040000000000001,0.3040000000000001,0.0,0.9037904959917068,50.0,checkpoints/attention_seed1/attention_full_s1_step500000.zip,results/p1_three_seed/eval/attention_full_s1_step500000_mixed.csv,results/attention_seed1/eval/attention_full_s1_step500000_mixed.csv
attention_full,1,750000,eval_random_switch,0.98,0.02,1.2440760672092437,0.46,6.684000000000001,0.0010332025734456154,0.06631949540224016,0.06459192492762669,,,,1.0,,50.0,checkpoints/attention_seed1/attention_full_s1_step750000.zip,results/p1_three_seed/eval/attention_full_s1_step750000_random.csv,results/attention_seed1/eval/attention_full_s1_step750000_random.csv
attention_full,1,750000,eval_random_switch_hard,0.98,0.02,0.7851062929630279,0.94,6.584,0.007785563649740611,0.13341503031551835,0.11800639100372788,,,,1.0,,50.0,checkpoints/attention_seed1/attention_full_s1_step750000.zip,results/p1_three_seed/eval/attention_full_s1_step750000_hard.csv,results/attention_seed1/eval/attention_full_s1_step750000_hard.csv
attention_full,1,750000,eval_sudden_turn,1.0,0.0,1.005763792991638,0.6,6.808,0.0003844297003752014,0.07305362889543171,0.07027524405159052,1.3760000000000008,0.6489795918367349,1.3760000000000008,0.02,1.4486974358558655,50.0,checkpoints/attention_seed1/attention_full_s1_step750000.zip,results/p1_three_seed/eval/attention_full_s1_step750000_sudden.csv,results/attention_seed1/eval/attention_full_s1_step750000_sudden.csv
attention_full,1,750000,mixed_uncertainty,0.8,0.2,0.8446305972337723,0.8,6.972000000000001,0.004674926733268841,0.12645953174360325,0.12544624413974811,1.3000000000000005,0.5714285714285715,1.3000000000000005,0.02,0.849125342965126,50.0,checkpoints/attention_seed1/attention_full_s1_step750000.zip,results/p1_three_seed/eval/attention_full_s1_step750000_mixed.csv,results/attention_seed1/eval/attention_full_s1_step750000_mixed.csv
attention_full,1,1000000,eval_random_switch,0.98,0.02,1.2334802895784378,0.4,6.692,0.0006345368329860288,0.05647914470795544,0.0551995012709452,,,,1.0,,50.0,checkpoints/attention_seed1/attention_full_s1_step1000000.zip,results/p1_three_seed/eval/attention_full_s1_step1000000_random.csv,results/attention_seed1/eval/attention_full_s1_step1000000_random.csv
attention_full,1,1000000,eval_random_switch_hard,1.0,0.0,0.8251208138465881,0.92,6.768000000000001,0.003528076392412871,0.09478803101927039,0.08884338073432442,,,,1.0,,50.0,checkpoints/attention_seed1/attention_full_s1_step1000000.zip,results/p1_three_seed/eval/attention_full_s1_step1000000_hard.csv,results/attention_seed1/eval/attention_full_s1_step1000000_hard.csv
attention_full,1,1000000,eval_sudden_turn,1.0,0.0,1.0741805589199067,0.52,6.816,0.00037585273127318136,0.06166934050386767,0.059622354048769886,5.0440000000000005,0.6863636363636365,5.0440000000000005,0.12,1.5259152734279633,50.0,checkpoints/attention_seed1/attention_full_s1_step1000000.zip,results/p1_three_seed/eval/attention_full_s1_step1000000_sudden.csv,results/attention_seed1/eval/attention_full_s1_step1000000_sudden.csv
attention_full,1,1000000,mixed_uncertainty,0.88,0.12,0.8357991522550583,0.8,6.912000000000001,0.004805640824706603,0.11862050284631546,0.11836274648085233,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.0,0.8487136572599411,50.0,checkpoints/attention_seed1/attention_full_s1_step1000000.zip,results/p1_three_seed/eval/attention_full_s1_step1000000_mixed.csv,results/attention_seed1/eval/attention_full_s1_step1000000_mixed.csv
attention_full,2,250000,eval_random_switch,1.0,0.0,1.8439751195907592,0.08,7.236000000000001,5.770152683906933e-06,0.01863982504638302,0.018383534880875643,,,,1.0,,50.0,checkpoints/p1_three_seed/attention_full_s2_step250000.zip,results/p1_three_seed/eval/attention_full_s2_step250000_random.csv,
attention_full,2,250000,eval_random_switch_hard,1.0,0.0,1.044079087972641,0.46,7.367999999999999,0.0005404626390466147,0.03518295911140735,0.034244604334235144,,,,1.0,,50.0,checkpoints/p1_three_seed/attention_full_s2_step250000.zip,results/p1_three_seed/eval/attention_full_s2_step250000_hard.csv,
attention_full,2,250000,eval_sudden_turn,1.0,0.0,1.4017377984523773,0.12,7.400000000000001,1.6307766873065794e-05,0.016011694907242555,0.015979091389681295,0.2280000000000001,0.2280000000000001,0.2280000000000001,0.0,1.8424103093147277,50.0,checkpoints/p1_three_seed/attention_full_s2_step250000.zip,results/p1_three_seed/eval/attention_full_s2_step250000_sudden.csv,
attention_full,2,250000,mixed_uncertainty,0.86,0.14,0.8222012954950333,0.76,7.232,0.004653008012610335,0.1023442439944483,0.1018153326422907,0.31600000000000006,0.31600000000000006,0.31600000000000006,0.0,0.8222012954950333,50.0,checkpoints/p1_three_seed/attention_full_s2_step250000.zip,results/p1_three_seed/eval/attention_full_s2_step250000_mixed.csv,
attention_full,2,500000,eval_random_switch,1.0,0.0,1.7563935244083404,0.2,7.0360000000000005,0.00013290117978385072,0.03021524302035682,0.029895908613398164,,,,1.0,,50.0,checkpoints/p1_three_seed/attention_full_s2_step500000.zip,results/p1_three_seed/eval/attention_full_s2_step500000_random.csv,
attention_full,2,500000,eval_random_switch_hard,1.0,0.0,0.9445052492618561,0.68,6.996,0.0012181525798132225,0.054741715528070875,0.053055657483637296,,,,1.0,,50.0,checkpoints/p1_three_seed/attention_full_s2_step500000.zip,results/p1_three_seed/eval/attention_full_s2_step500000_hard.csv,
attention_full,2,500000,eval_sudden_turn,1.0,0.0,1.2799832665920257,0.16,7.108,5.262713972667041e-05,0.02814512201181055,0.028065627923897364,3.248,0.31304347826086965,3.248,0.08,1.651256241798401,50.0,checkpoints/p1_three_seed/attention_full_s2_step500000.zip,results/p1_three_seed/eval/attention_full_s2_step500000_sudden.csv,
attention_full,2,500000,mixed_uncertainty,0.76,0.24,0.8363975721597672,0.76,7.152,0.004839764208745087,0.10662091703732582,0.10552034672905758,0.2800000000000001,0.2800000000000001,0.2800000000000001,0.0,0.8363975721597672,50.0,checkpoints/p1_three_seed/attention_full_s2_step500000.zip,results/p1_three_seed/eval/attention_full_s2_step500000_mixed.csv,
attention_full,2,750000,eval_random_switch,1.0,0.0,1.6676672053337098,0.18,6.9239999999999995,0.00021142024617574188,0.03399133963052938,0.033508402670350025,,,,1.0,,50.0,checkpoints/p1_three_seed/attention_full_s2_step750000.zip,results/p1_three_seed/eval/attention_full_s2_step750000_random.csv,
attention_full,2,750000,eval_random_switch_hard,0.98,0.02,0.8973056387901306,0.8,6.776,0.0027730629642707476,0.07793319949880238,0.07535960232838983,,,,1.0,,50.0,checkpoints/p1_three_seed/attention_full_s2_step750000.zip,results/p1_three_seed/eval/attention_full_s2_step750000_hard.csv,
attention_full,2,750000,eval_sudden_turn,1.0,0.0,1.1823716568946838,0.28,6.976,0.0001400822152345371,0.03465999438514697,0.034367702069721374,8.508000000000001,0.47179487179487195,8.508000000000001,0.22,1.5687815022468568,50.0,checkpoints/p1_three_seed/attention_full_s2_step750000.zip,results/p1_three_seed/eval/attention_full_s2_step750000_sudden.csv,
attention_full,2,750000,mixed_uncertainty,0.8,0.2,0.8504408884048462,0.76,7.1080000000000005,0.004597000645219932,0.10363825968204761,0.10298653340141752,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.0,0.8504408884048462,50.0,checkpoints/p1_three_seed/attention_full_s2_step750000.zip,results/p1_three_seed/eval/attention_full_s2_step750000_mixed.csv,
attention_full,2,1000000,eval_random_switch,0.98,0.02,1.4760960054397583,0.52,6.691999999999999,0.0011119577834804615,0.06372340612367448,0.06176142247868935,,,,1.0,,50.0,checkpoints/p1_three_seed/attention_full_s2_step1000000.zip,results/p1_three_seed/eval/attention_full_s2_step1000000_random.csv,
attention_full,2,1000000,eval_random_switch_hard,0.94,0.06,0.7767413204908371,0.94,6.332000000000001,0.012856489054302032,0.15057220641523597,0.14305383147671816,,,,1.0,,50.0,checkpoints/p1_three_seed/attention_full_s2_step1000000.zip,results/p1_three_seed/eval/attention_full_s2_step1000000_hard.csv,
attention_full,2,1000000,eval_sudden_turn,1.0,0.0,0.9587180149555207,0.7,6.8,0.0009759130201018336,0.0810814766748808,0.07823736162390556,10.356000000000002,0.9945945945945949,10.356000000000002,0.26,1.3583521270751953,50.0,checkpoints/p1_three_seed/attention_full_s2_step1000000.zip,results/p1_three_seed/eval/attention_full_s2_step1000000_sudden.csv,
attention_full,2,1000000,mixed_uncertainty,0.8,0.2,0.7755294770002366,0.9,6.816,0.005623394430617124,0.15258035876788198,0.15054974511731412,0.5680000000000001,0.5680000000000001,0.5680000000000001,0.0,0.7755294770002366,50.0,checkpoints/p1_three_seed/attention_full_s2_step1000000.zip,results/p1_three_seed/eval/attention_full_s2_step1000000_mixed.csv,
