method,step,scenario,mean_reaction,std_reaction,mean_success,std_success,mean_collision,std_collision,mean_near_miss,std_near_miss,mean_min_distance,std_min_distance,mean_time,std_time
attention_full,250000,eval_random_switch,,,0.9933333333333333,0.011547005383792525,0.006666666666666667,0.011547005383792516,0.10666666666666667,0.03055050463303894,1.5914457450310389,0.22608412449307053,7.217333333333333,0.046875722216659574
attention_full,250000,eval_random_switch_hard,,,0.9866666666666667,0.023094010767585053,0.013333333333333334,0.023094010767585032,0.5133333333333333,0.06110100926607784,1.0017615979909895,0.052223018400518365,7.145333333333333,0.27926570382582533
attention_full,250000,eval_sudden_turn,0.2173333333333334,0.010066445913694341,1.0,0.0,0.0,0.0,0.11333333333333333,0.011547005383792509,1.34665412346522,0.04986884443161522,7.298666666666668,0.09816992071573344
attention_full,250000,mixed_uncertainty,0.2840000000000001,0.07343023900274327,0.9,0.03464101615137758,0.10000000000000002,0.03464101615137755,0.6999999999999998,0.08717797887081348,0.8895140663782755,0.0745438558644817,7.2106666666666674,0.14914869537925354
attention_full,500000,eval_random_switch,,,1.0,0.0,0.0,0.0,0.20000000000000004,0.09999999999999999,1.499481231371562,0.22272232970328715,7.033333333333334,0.10002666311205904
attention_full,500000,eval_random_switch_hard,,,0.9866666666666667,0.011547005383792525,0.013333333333333334,0.011547005383792516,0.7200000000000001,0.06928203230275509,0.9072924270232519,0.03495235709502884,6.8773333333333335,0.11428619047519831
attention_full,500000,eval_sudden_turn,2.6,0.6985585158023626,1.0,0.0,0.0,0.0,0.22666666666666668,0.07023769168568492,1.2165722600618996,0.05778170522507332,7.044,0.0660908465674335
attention_full,500000,mixed_uncertainty,0.26800000000000007,0.043266615305567864,0.8666666666666666,0.10066445913694332,0.13333333333333333,0.10066445913694332,0.6866666666666665,0.08082903768654762,0.9045587915182113,0.07735775601539054,7.124000000000001,0.06286493458200695
attention_full,750000,eval_random_switch,,,0.9933333333333333,0.011547005383792525,0.006666666666666667,0.011547005383792516,0.2933333333333333,0.14742229591663988,1.3628237322966257,0.2661411286831376,6.810666666666667,0.12055427546683341
attention_full,750000,eval_random_switch_hard,,,0.9666666666666667,0.023094010767585053,0.03333333333333333,0.02309401076758503,0.86,0.07211102550927974,0.8422062838077545,0.056126421664825,6.578666666666667,0.20005332622411762
attention_full,750000,eval_sudden_turn,7.102666666666668,5.169313042690812,1.0,0.0,0.0,0.0,0.43333333333333335,0.16041612554021284,1.0762009453773498,0.09356949200599009,6.854666666666667,0.10600628912160473
attention_full,750000,mixed_uncertainty,1.114666666666667,0.6037262072606534,0.8533333333333334,0.09237604307034007,0.1466666666666667,0.09237604307034013,0.6666666666666666,0.19731531449264988,0.8959508671363196,0.08390776280397325,6.9493333333333345,0.1711295805328041
attention_full,1000000,eval_random_switch,,,0.9866666666666667,0.011547005383792525,0.013333333333333334,0.011547005383792516,0.44,0.06928203230275509,1.2791327530145644,0.17856878938967957,6.728000000000001,0.06235382907247964
attention_full,1000000,eval_random_switch_hard,,,0.9466666666666667,0.05033222956847166,0.05333333333333334,0.050332229568471665,0.9466666666666667,0.030550504633038912,0.7942911756038665,0.026784479168326734,6.398666666666667,0.34092423400710825
attention_full,1000000,eval_sudden_turn,7.158666666666668,2.816640078769976,1.0,0.0,0.0,0.0,0.64,0.1039230484541326,0.9916351107756297,0.07197311845745434,6.778666666666667,0.05143280405862813
attention_full,1000000,mixed_uncertainty,0.8213333333333336,0.3781498821014407,0.8799999999999999,0.07999999999999996,0.12,0.08,0.7400000000000001,0.19697715603592209,0.875219895641009,0.12418552648819163,6.84,0.0634980314655504
attention_full_distance_penalty,250000,eval_random_switch,,,1.0,0.0,0.0,0.0,0.03333333333333333,0.011547005383792516,1.7559583497047424,0.1769433566685866,7.355999999999999,0.03174901573277512
attention_full_distance_penalty,250000,eval_random_switch_hard,,,1.0,0.0,0.0,0.0,0.32666666666666666,0.07023769168568493,1.0906242430210114,0.013246873869198185,7.3839999999999995,0.12942951749890733
attention_full_distance_penalty,250000,eval_sudden_turn,0.2693333333333334,0.02052640575778753,1.0,0.0,0.0,0.0,0.06,0.05291502622129181,1.4889798287550609,0.04879634012610983,7.426666666666667,0.11574685020912336
attention_full_distance_penalty,250000,mixed_uncertainty,0.26266666666666677,0.07114304838375522,0.9,0.034641016151377574,0.10000000000000002,0.03464101615137755,0.6866666666666666,0.14742229591663988,0.9206784311930338,0.08748565157217801,7.336000000000001,0.10998181667894036
attention_full_distance_penalty,500000,eval_random_switch,,,1.0,0.0,0.0,0.0,0.09333333333333334,0.09451631252505217,1.6655049896240233,0.20437968926266503,7.1626666666666665,0.02013289182738733
attention_full_distance_penalty,500000,eval_random_switch_hard,,,0.9733333333333333,0.046188021535170036,0.02666666666666667,0.046188021535170064,0.58,0.03999999999999998,0.9738754121462504,0.04529365595156602,6.960000000000001,0.3925913906340789
attention_full_distance_penalty,500000,eval_sudden_turn,0.5440000000000002,0.595825477803694,1.0,0.0,0.0,0.0,0.10000000000000002,0.03464101615137755,1.3841878732045492,0.046480628661260556,7.212000000000001,0.10400000000000006
attention_full_distance_penalty,500000,mixed_uncertainty,0.5893333333333336,0.34908642673890017,0.9333333333333332,0.041633319989322626,0.06666666666666667,0.041633319989322654,0.64,0.09165151389911677,0.9385710457960764,0.06677398136812941,7.390666666666667,0.22632130552233357
attention_full_distance_penalty,750000,eval_random_switch,,,1.0,0.0,0.0,0.0,0.15333333333333332,0.07571877794400364,1.4976058709621427,0.21257037524857683,6.94,0.060398675482166465
attention_full_distance_penalty,750000,eval_random_switch_hard,,,0.9666666666666667,0.05773502691896256,0.03333333333333333,0.05773502691896259,0.7333333333333334,0.09451631252505215,0.9075855420033138,0.058708265775822006,6.686666666666667,0.4631428865191968
attention_full_distance_penalty,750000,eval_sudden_turn,5.9562176870748305,4.681852953792815,0.9933333333333333,0.011547005383792525,0.006666666666666667,0.011547005383792516,0.18000000000000002,0.1216552506059644,1.221411898136139,0.0921340908343171,6.934666666666668,0.1998532795160819
attention_full_distance_penalty,750000,mixed_uncertainty,1.5360000000000003,1.2779170552113308,0.9333333333333332,0.041633319989322626,0.06666666666666667,0.041633319989322654,0.66,0.14,0.9214562513430913,0.08417485940765325,7.124,0.18914544668059105
attention_full_distance_penalty,1000000,eval_random_switch,,,0.9933333333333333,0.011547005383792525,0.006666666666666667,0.011547005383792516,0.20666666666666667,0.09451631252505217,1.42317370057106,0.26569396130033734,6.847999999999999,0.04156921938165232
attention_full_distance_penalty,1000000,eval_random_switch_hard,,,0.9866666666666667,0.023094010767585053,0.013333333333333334,0.023094010767585032,0.7600000000000001,0.13114877048604,0.9021426031986871,0.04678192932172219,6.761333333333334,0.1937558601264318
attention_full_distance_penalty,1000000,eval_sudden_turn,7.374666666666667,0.18032563138204585,1.0,0.0,0.0,0.0,0.26,0.15874507866387544,1.1651271903514864,0.10270890974206205,6.898666666666667,0.11746205060926469
attention_full_distance_penalty,1000000,mixed_uncertainty,1.7013333333333336,0.8153559549873497,0.9266666666666666,0.011547005383792462,0.07333333333333335,0.011547005383792518,0.7333333333333333,0.16772994167212163,0.9039620796839397,0.07878989365516252,7.066666666666666,0.23125166666066013
attention_full_risk_penalty,250000,eval_random_switch,,,0.5733333333333334,0.28448784391135823,0.006666666666666667,0.011547005383792516,0.006666666666666667,0.011547005383792516,2.856055223345757,0.12450272199780549,26.477333333333334,7.511133425344895
attention_full_risk_penalty,250000,eval_random_switch_hard,,,0.12000000000000001,0.1442220510185596,0.013333333333333334,0.023094010767585032,0.06,0.02,1.7222262575229008,0.06618380716587388,36.498666666666665,4.978072451595429
attention_full_risk_penalty,250000,eval_sudden_turn,0.20000000000000007,0.0,0.62,0.2227105745132009,0.0,0.0,0.0,0.0,2.6388670627276105,0.03623190048533119,25.174666666666667,7.516427165437934
attention_full_risk_penalty,250000,mixed_uncertainty,0.20000000000000007,0.0,0.7266666666666667,0.1747378989610821,0.013333333333333334,0.023094010767585032,0.08666666666666667,0.13316656236958785,2.0033895162741344,0.49577144872813567,25.949333333333332,9.2673399275808
attention_full_risk_penalty,500000,eval_random_switch,,,0.9933333333333333,0.011547005383792525,0.006666666666666667,0.011547005383792516,0.013333333333333334,0.011547005383792516,2.317046551704407,0.2269113921210604,8.708,0.1466424222385872
