episode_seed,success,collision,episode_min_distance,episode_reward,steps,time_to_goal,reaction_time,risk_rise_time,min_distance_after_turn,turning_obstacle_id,episode_id
1000,1,0,1.6412599086761475,22.021050292033465,37,7.4,0.20000000000000018,37.0,1.9798293113708496,2,0
1001,1,0,0.7276226878166199,22.214854136984798,39,7.800000000000001,0.20000000000000018,37.0,2.3022706508636475,2,1
1002,1,0,1.5166444778442383,21.86049404152785,36,7.2,0.20000000000000018,37.0,2.489537000656128,0,2
1003,1,0,0.6615042090415955,21.342774724901027,35,7.0,0.20000000000000018,0.0,0.6615042090415955,2,3
1004,1,0,0.8371098041534424,21.515729782945996,33,6.6000000000000005,0.20000000000000018,37.0,1.8316752910614014,2,4
1005,1,0,1.454157829284668,22.5035424645248,40,8.0,0.20000000000000018,37.0,1.8375568389892578,1,5
1006,1,0,1.2459489107131958,21.783322828619276,37,7.4,0.20000000000000018,37.0,1.2459489107131958,1,6
1007,1,0,0.7567887306213379,23.87830549310427,42,8.4,0.20000000000000018,0.0,0.7567887306213379,2,7
1008,1,0,0.7291064858436584,22.048992972332634,36,7.2,0.20000000000000018,37.0,1.2633144855499268,2,8
1009,1,0,0.7690036296844482,21.284124350157036,34,6.800000000000001,0.20000000000000018,0.20000000000000018,0.7690036296844482,2,9
1010,1,0,1.0865027904510498,22.461936361122316,38,7.6000000000000005,0.6000000000000001,37.0,1.3063057661056519,0,10
1011,1,0,0.88166344165802,21.867320558955544,35,7.0,0.20000000000000018,37.0,1.489756464958191,2,11
1012,1,0,1.5860885381698608,21.937122565490426,35,7.0,0.20000000000000018,37.0,2.0578532218933105,1,12
1013,1,0,1.3598287105560303,21.488255729624072,38,7.6000000000000005,0.20000000000000018,37.0,3.213029384613037,1,13
1014,1,0,1.531016230583191,24.15045152449059,42,8.4,0.20000000000000018,37.0,1.9773004055023193,2,14
1015,1,0,0.6537094116210938,22.219409645891282,37,7.4,0.20000000000000018,37.0,0.6537094116210938,2,15
1016,1,0,1.1050984859466553,21.463087504376887,34,6.800000000000001,0.20000000000000018,37.0,2.228851318359375,1,16
1017,1,0,1.454460620880127,23.191145435618232,44,8.8,0.20000000000000018,37.0,2.7739250659942627,0,17
1018,1,0,2.467972993850708,22.332417789725582,42,8.4,0.20000000000000018,37.0,3.367365598678589,0,18
1019,1,0,1.0107228755950928,21.605553476165518,34,6.800000000000001,0.20000000000000018,37.0,2.0606255531311035,0,19
1020,1,0,1.1684482097625732,21.081631483536913,36,7.2,0.20000000000000018,37.0,2.610725164413452,2,20
1021,1,0,0.8822861909866333,23.876119396527066,40,8.0,0.20000000000000018,37.0,1.1146478652954102,2,21
1022,1,0,1.1003167629241943,22.672226164178866,38,7.6000000000000005,0.20000000000000018,37.0,1.1003167629241943,0,22
1023,1,0,1.0548045635223389,23.76958638747903,43,8.6,0.20000000000000018,37.0,3.0573391914367676,0,23
1024,0,1,0.5150007605552673,-4.218342937012204,18,3.6,0.20000000000000018,0.0,0.5150007605552673,1,24
1025,1,0,0.7719150185585022,22.15377039622879,37,7.4,0.20000000000000018,37.0,1.896793246269226,2,25
1026,1,0,0.7290611863136292,22.088271062315556,35,7.0,0.20000000000000018,37.0,0.9358106255531311,2,26
1027,1,0,0.5519930124282837,24.533446805593748,43,8.6,0.20000000000000018,37.0,1.2017402648925781,2,27
1028,1,0,1.055743932723999,21.994077787634378,36,7.2,0.20000000000000018,37.0,1.6623867750167847,2,28
1029,0,1,0.29374563694000244,-8.874019333545728,6,1.2000000000000002,nan,nan,0.29374563694000244,-1,29
1030,1,0,0.8950116634368896,21.652975247530264,36,7.2,0.20000000000000018,37.0,2.8534209728240967,2,30
1031,1,0,1.1666481494903564,22.465136370047112,38,7.6000000000000005,0.20000000000000018,37.0,1.5338177680969238,1,31
1032,1,0,0.8580151200294495,22.65493121169071,39,7.800000000000001,0.20000000000000018,37.0,0.9965684413909912,1,32
1033,1,0,1.1958270072937012,23.01030568990158,41,8.200000000000001,0.20000000000000018,37.0,2.359768867492676,1,33
1034,1,0,1.6823503971099854,22.886422994619856,39,7.800000000000001,0.20000000000000018,37.0,1.829788327217102,2,34
1035,1,0,1.5115598440170288,24.42705054166552,42,8.4,0.20000000000000018,37.0,2.849057912826538,2,35
1036,1,0,1.3090152740478516,22.669201110209105,38,7.6000000000000005,0.20000000000000018,37.0,1.3901089429855347,2,36
1037,1,0,0.830430805683136,22.000696496197996,35,7.0,0.20000000000000018,37.0,1.2956328392028809,1,37
1038,1,0,1.457175374031067,21.271243585073975,32,6.4,0.20000000000000018,37.0,1.457175374031067,2,38
1039,1,0,1.4476268291473389,21.813758440273013,36,7.2,0.20000000000000018,37.0,1.6039801836013794,2,39
1040,1,0,1.4037891626358032,22.73162382161681,40,8.0,0.20000000000000018,37.0,1.7653435468673706,2,40
1041,1,0,1.5496152639389038,22.123761159221175,38,7.6000000000000005,0.20000000000000018,37.0,3.161807060241699,0,41
1042,1,0,1.2304754257202148,21.666157297926475,35,7.0,0.20000000000000018,37.0,1.4472705125808716,2,42
1043,1,0,0.7095801830291748,21.173020006767473,33,6.6000000000000005,0.20000000000000018,37.0,1.2730193138122559,1,43
1044,1,0,1.539957046508789,21.73788758971903,37,7.4,0.20000000000000018,37.0,3.1175663471221924,2,44
1045,1,0,0.9171345233917236,21.729686442260864,38,7.6000000000000005,0.20000000000000018,37.0,2.332051992416382,2,45
1046,1,0,2.2267417907714844,22.353470187934867,39,7.800000000000001,0.20000000000000018,37.0,2.9409427642822266,1,46
1047,1,0,1.294602394104004,22.042746055528987,37,7.4,0.20000000000000018,37.0,1.294602394104004,0,47
1048,0,1,0.4881207346916199,-9.488853320451453,3,0.6000000000000001,nan,nan,0.4881207346916199,-1,48
1049,1,0,1.828786849975586,22.19506498155853,38,7.6000000000000005,0.20000000000000018,37.0,1.828786849975586,2,49
1050,1,0,0.8989267945289612,23.837374163370107,41,8.200000000000001,0.20000000000000018,37.0,0.8989267945289612,2,50
1051,1,0,1.4606884717941284,21.0961392190992,32,6.4,0.20000000000000018,37.0,2.3216617107391357,2,51
1052,1,0,0.707746684551239,23.4020380524997,41,8.200000000000001,0.20000000000000018,0.20000000000000018,0.9688764214515686,1,52
1053,1,0,1.5839228630065918,22.065238580544822,36,7.2,0.20000000000000018,37.0,2.8489067554473877,0,53
1054,1,0,0.7475374937057495,23.22174945618316,40,8.0,0.20000000000000018,0.0,0.7475374937057495,0,54
1055,1,0,1.1937530040740967,21.421931219053512,36,7.2,0.20000000000000018,37.0,1.5969916582107544,2,55
1056,1,0,0.9815223217010498,21.467867770825983,35,7.0,0.20000000000000018,37.0,1.2130571603775024,1,56
1057,1,0,0.9117778539657593,22.610958607675855,36,7.2,0.20000000000000018,37.0,1.2316644191741943,0,57
1058,0,1,0.46294718980789185,-8.932348784571513,5,1.0,nan,nan,0.46294718980789185,-1,58
1059,1,0,0.9746533036231995,22.55218043885892,36,7.2,0.20000000000000018,37.0,0.9983894228935242,1,59
1060,1,0,1.91033935546875,22.21686580744572,40,8.0,0.20000000000000018,37.0,2.7578258514404297,2,60
1061,1,0,1.455053687095642,21.732618957122323,38,7.6000000000000005,0.20000000000000018,37.0,2.650362253189087,2,61
1062,1,0,0.7467426657676697,22.00839517269778,40,8.0,0.20000000000000018,37.0,2.276339292526245,2,62
1063,1,0,1.05704665184021,22.18756131393369,41,8.200000000000001,0.20000000000000018,37.0,3.420506238937378,0,63
1064,1,0,0.8565617203712463,21.352302118148653,34,6.800000000000001,0.20000000000000018,37.0,0.9667466878890991,2,64
1065,1,0,2.1169049739837646,23.013671010858957,42,8.4,0.20000000000000018,37.0,2.1169049739837646,2,65
1066,1,0,0.8676983714103699,21.61091335186011,35,7.0,0.20000000000000018,37.0,1.1567766666412354,2,66
