run_name,random_success_rate,random_collision_rate,random_mean_min_distance,random_mean_time,sudden_success_rate,sudden_collision_rate,sudden_mean_min_distance,sudden_mean_time,sudden_mean_reaction_time,sudden_nan_rate_reaction_time,sudden_mean_risk_rise_time,sudden_mean_min_distance_after_turn,mean_risk_at_turn,mean_risk_max_after_turn,mean_risk_rise_time_0p3,mean_risk_rise_time_0p5,nan_rate_risk_rise_0p5,mean_sigma_trace_at_turn,mean_sigma_trace_max_after_turn,mean_sigma_rise_time_2x,mean_R_sum_at_turn,mean_R_sum_max_after_turn,mean_R_bar_at_turn,mean_R_bar_max_after_turn,mean_w_risk_at_turn,mean_w_risk_max_after_turn,turning_obstacle_top1_rate_after_turn
baseline_short,1.0,0.0,1.5604377472400666,7.058000000000001,1.0,0.0,1.1727332329750062,7.080000000000001,0.2420000000000001,0.0,36.63,1.6455616688728332,0.028063288308109852,0.031152112834455566,0.0,nan,1.0,1.1124483108520509,1.7042089621225993,1.4545454545454548,0.042130940959264306,0.42712836679226407,0.04123484965219345,0.38825632392565745,0.7880362799185922,0.9525797327359518,0.9666666666666667
Rgate8_lambda015_RbarFloor03,0.99,0.01,1.465986780524254,6.914000000000001,1.0,0.0,1.0522060078382491,7.050000000000001,0.3060000000000001,0.0,32.938,1.6175262767076493,0.0712844829607821,0.09928406403765891,0.050000000000000024,0.0666666666666667,0.9,1.0531355579694113,1.5419160922368367,2.4800000000000004,0.07295746605593235,0.5519833716253439,0.06570925153561957,0.482666078272442,0.851449424730769,0.8881516188383103,0.9
Rgate8_lambda015_noRbar,0.99,0.01,1.6254909175634384,7.384000000000001,0.95,0.05,1.1638600772619248,7.27,0.21458333333333343,0.03333333333333333,33.92291666666667,1.7677476346492766,0.11040492369584004,0.1448044454957707,0.04000000000000002,0.050000000000000024,0.8666666666666667,0.9914923490121447,1.5449733179191063,2.4250000000000003,0.13138175440906774,0.6065164489050706,0.11533024640430381,0.5073483961527109,0.6742178910269676,0.8568308487020689,0.9
Rgate8_lambda015,1.0,0.0,1.591679078936577,7.081999999999999,1.0,0.0,1.2613493186235427,7.122000000000002,0.3120000000000001,0.0,35.52,1.6783906155824662,0.036051747434184996,0.04518887673182614,0.0,0.0,0.9666666666666667,1.0614423563083013,1.866200864315033,2.1,0.0376200899388496,0.3347599327088877,0.03557642605365909,0.3083736450548326,0.8310222211225967,0.9682201673587163,1.0
Rgate8,1.0,0.0,1.6326876014471055,7.158000000000002,1.0,0.0,1.2986549067497253,7.204000000000001,0.28600000000000014,0.0,36.26,1.8047066688537599,0.0409226777791634,0.050906195712117054,0.0,0.0,0.9666666666666667,1.0110262801249823,1.7253927210966746,1.5285714285714287,0.042060062456534125,0.3533629979807301,0.040061367124283084,0.3254998001988455,0.7167708438086265,0.9471786757310231,0.9666666666666667
lambda015,0.99,0.01,1.5986163693666458,6.968000000000001,1.0,0.0,1.2032221817970277,7.060000000000001,0.39800000000000024,0.0,35.522,1.7532252460718154,0.06916534139434186,0.08181735206627166,0.08000000000000004,0.10000000000000005,0.9333333333333333,1.064963866273562,1.648487933476766,2.14,0.0692355892426965,0.34912285963073375,0.06498340452556814,0.3224918951244963,0.8302855908870697,0.9321627090374629,0.9666666666666667
