repair_stage,scenario,checkpoint_or_policy,motion_mode,threat_class,history_valid_ratio_bin,active_only,samples,delta_norm_1s_mean,delta_norm_1s_median,delta_norm_1s_p95,delta_norm_1s_max,logvar_xy_1s_mean,logvar_xy_1s_median,logvar_xy_1s_min,logvar_xy_1s_max,delta_norm_2s_mean,delta_norm_2s_median,delta_norm_2s_p95,delta_norm_2s_max,logvar_xy_2s_mean,logvar_xy_2s_median,logvar_xy_2s_min,logvar_xy_2s_max,delta_norm_4s_mean,delta_norm_4s_median,delta_norm_4s_p95,delta_norm_4s_max,logvar_xy_4s_mean,logvar_xy_4s_median,logvar_xy_4s_min,logvar_xy_4s_max,projected_std_radial_mean,projected_std_radial_std,projected_std_relvel_mean,projected_std_relvel_std,z_norm_mean,z_norm_median,z_norm_p95,z_norm_max,nan_count,inf_count
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,high,0.25_0.5,1,45,17278.8671875,18926.62890625,20232.458203125,20985.38671875,-5.0,-5.0,-5.0,-5.0,44346.036545138886,58658.47265625,63757.35234375,66625.625,-5.0,-5.0,-5.0,-5.0,98126.06263020834,128760.5234375,141346.30625,145055.203125,-5.0,-5.0,-5.0,-5.0,0.0820849961704678,3.449232488208291e-09,0.08208499766058391,2.8195292363442315e-09,1046121.7583333333,733938.25,1728432.075,1729912.125,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,high,0.5_0.75,1,41,18173.694288300307,20513.796875,22085.3046875,22594.837890625,-5.0,-5.0,-5.0,-5.0,48009.99666539634,64708.234375,70203.484375,71930.5390625,-5.0,-5.0,-5.0,-5.0,102695.21308117377,139006.859375,149216.015625,151321.84375,-5.0,-5.0,-5.0,-5.0,0.08208499630776847,3.3899702142974282e-09,0.08208499685293291,3.0839157446995633e-09,1082837.1051829269,763613.4375,1723349.75,1731479.5,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,high,0.75_1.0,1,25,17867.7643359375,19448.94921875,23143.886328125,23265.830078125,-5.0,-5.0,-5.0,-5.0,47162.5383984375,64278.51953125,74141.0046875,74688.7265625,-5.0,-5.0,-5.0,-5.0,98077.752890625,134423.984375,153943.475,154602.109375,-5.0,-5.0,-5.0,-5.0,0.08208499610424042,4.06449487715538e-09,0.0820849969983101,2.9802322387695314e-09,1130675.275,836266.0625,1689300.0,1690295.5,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,high,0_0.25,1,38,12502.587354359659,14951.19921875,18409.8166015625,19127.2890625,-4.542743915005734,-5.0,-5.0,-2.647162437438965,28841.175470384722,29878.57861328125,56446.306249999994,60125.703125,-4.247840988008599,-5.0,-5.0,-1.272660255432129,62481.70116847911,64630.443359375,124452.980078125,134321.0625,-4.010038411538852,-5.0,-5.0,-0.06318742036819458,0.1166347804430284,0.0677361370228969,0.11010307799044408,0.055794584672137056,795528.7349404787,659615.09375,1719769.23125,1726047.75,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,high,1.0,1,10,19508.81142578125,21251.1455078125,23330.5533203125,23336.21875,-5.0,-5.0,-5.0,-5.0,61879.40380859375,72434.578125,77355.66875,79064.515625,-5.0,-5.0,-5.0,-5.0,127133.31953125,149334.65625,156726.32109375,157908.84375,-5.0,-5.0,-5.0,-5.0,0.08208499848842621,0.0,0.08208499774336815,2.2351741790771484e-09,999751.66875,911795.4375,1446310.9125,1454164.875,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,low,0.25_0.5,1,10,12858.285546875,12873.83837890625,12912.8134765625,12917.09375,-5.0,-5.0,-5.0,-5.0,11310.94814453125,11285.12451171875,11950.184765625,12008.2470703125,-5.0,-5.0,-5.0,-5.0,27861.9564453125,27630.5498046875,28686.3103515625,28691.93359375,-5.0,-5.0,-5.0,-5.0,0.08208499550819397,3.650024149988857e-09,0.08208499774336815,2.2351741790771484e-09,1692491.7625,1686471.875,1725054.6375,1726049.25,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,low,0.5_0.75,1,10,12912.83779296875,12912.0185546875,12932.380615234375,12934.9404296875,-5.0,-5.0,-5.0,-5.0,12016.63359375,12033.72802734375,12613.23251953125,12676.3916015625,-5.0,-5.0,-5.0,-5.0,28015.575,28037.7421875,28627.8873046875,28646.384765625,-5.0,-5.0,-5.0,-5.0,0.08208499476313591,4.998001405968792e-09,0.08208499625325202,3.4142849556772704e-09,1707644.4875,1707505.0,1729540.29375,1729912.5,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,low,0.75_1.0,1,9,11505.808051215277,11391.69140625,12179.93359375,12259.060546875,-5.0,-5.0,-5.0,-5.0,14042.777452256945,13987.3876953125,14727.86640625,15080.197265625,-5.0,-5.0,-5.0,-5.0,29204.442708333332,29289.548828125,31324.106640625,31431.662109375,-5.0,-5.0,-5.0,-5.0,0.08208499517705706,3.702223263680587e-09,0.08208499766058391,2.341491583938557e-09,1546176.3194444445,1532923.375,1651070.35,1660802.5,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,low,0_0.25,1,16,6601.731226854492,6163.565073858947,14039.574951171875,17110.6015625,-3.938548043370247,-4.026715993881226,-5.0,-2.5935444831848145,8086.457715685014,5208.321849450469,22814.1953125,45566.9453125,-3.1928432881832123,-3.32186758518219,-5.0,-1.0442405939102173,18597.841971902177,12307.61413732171,53550.88671875,91980.078125,-2.5774117074906826,-2.807016998529434,-5.0,0.2909446358680725,0.15606855880469084,0.07548647988780235,0.14092382695525885,0.060310576349159546,707985.7114033699,306931.1962323189,1633551.875,1648041.125,0,0
before_fix,eval_flow_high_speed,frozen_gpsi_wrapper,accel_decel,low,1.0,1,2,11313.970703125,11313.970703125,11502.6296875,11523.591796875,-5.0,-5.0,-5.0,-5.0,14354.27880859375,14354.27880859375,14697.140576171874,14735.236328125,-5.0,-5.0,-5.0,-5.0,29549.6650390625,29549.6650390625,29997.29638671875,30047.033203125,-5.0,-5.0,-5.0,-5.0,0.08208499103784561,0.0,0.08208499476313591,3.725290298461914e-09,1503577.4375,1503577.4375,1522667.95625,1524789.125,0,0
