split,history_valid_length,samples,rate
train,1,6902,0.030145398480937467
train,2,3285,0.014347672270338972
train,3,3269,0.014277790152736104
train,4,3251,0.014199172770432877
train,5,3234,0.014124923020479829
train,6,3222,0.014072511432277677
train,7,3216,0.0140463056381766
train,8,3210,0.014020099844075526
train,9,3203,0.01398952641762427
train,10,3199,0.013972055888223553
train,11,3186,0.013915276667671223
train,12,3181,0.013893438505920326
train,13,3175,0.01386723271181925
train,14,3167,0.013832291653017815
train,15,3157,0.013788615329516023
train,16,3141,0.013718733211913154
train,17,3134,0.013688159785461899
train,18,3122,0.013635748197259748
train,19,3112,0.013592071873757954
train,20,164591,0.7188729761483598
val,1,1477,0.029778826186011815
val,2,720,0.014516421702050445
val,3,717,0.014455936611625234
val,4,716,0.014435774914816832
val,5,712,0.014355128127583217
val,6,709,0.014294643037158007
val,7,708,0.014274481340349603
val,8,707,0.014254319643541201
val,9,707,0.014254319643541201
val,10,706,0.014234157946732797
val,11,706,0.014234157946732797
val,12,704,0.01419383455311599
val,13,702,0.014153511159499184
val,14,702,0.014153511159499184
val,15,701,0.01413334946269078
val,16,698,0.01407286437226557
val,17,696,0.014032540978648762
val,18,691,0.013931732494606747
val,19,688,0.013871247404181535
val,20,35432,0.7143692413153491
test,1,1435,0.029836161011310713
test,2,694,0.014429474384564205
test,3,689,0.014325515635395875
test,4,687,0.014283932135728542
test,5,683,0.01420076513639388
test,6,679,0.014117598137059215
test,7,677,0.014076014637391884
test,8,677,0.014076014637391884
test,9,674,0.014013639387890886
test,10,673,0.01399284763805722
test,11,672,0.013972055888223553
test,12,672,0.013972055888223553
test,13,670,0.013930472388556221
test,14,668,0.013888888888888888
test,15,667,0.013868097139055223
test,16,663,0.013784930139720559
test,17,661,0.013743346640053227
test,18,658,0.01368097139055223
test,19,656,0.013639387890884896
test,20,34541,0.7181678310046573
