split,samples,episodes,episode_seeds,history_full_valid_rate,replacement_boundary_nearby_rate,valid_labels_1s,valid_rate_1s,valid_labels_2s,valid_rate_2s,valid_labels_4s,valid_rate_4s
train,228957,70,70,0.7188729761483598,0.49792319081748976,209016,0.9129050433050747,192966,0.8428045440846971,161489,0.7053245805981035
val,49599,15,15,0.7143692413153491,0.509042521018569,45257,0.9124579124579124,41720,0.8411459908465897,34748,0.7005786406984011
test,48096,15,15,0.7181678310046573,0.5051979374584165,43908,0.9129241516966068,40528,0.8426480372588157,33889,0.7046116101131071
