method_key,method,scenario,success_rate_z2,collision_rate_z2,near_miss_rate_z2,progress_z2,raw_unsafe_action_rate_z2,action_delta_z2,success_rate_attention,collision_rate_attention,near_miss_rate_attention,progress_attention,raw_unsafe_action_rate_attention,action_delta_attention,delta_success_rate,delta_collision_rate,delta_near_miss_rate,delta_progress,delta_raw_unsafe_action_rate,delta_action_delta
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_high_density,0.28,0.72,0.26,0.8898227100893307,0.3305361301717232,0.0897632901916685,0.64,0.36,0.6,0.9425466687975176,0.3168041337445936,0.1390629515040212,-0.36,0.36,-0.33999999999999997,-0.05272395870818691,0.013731996427129578,-0.04929966131235271
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_high_speed,0.44,0.56,0.32,0.9433743722425249,0.2356459431490027,0.0863130365506519,0.54,0.46,0.54,0.957770547596384,0.2632905173584327,0.1582401679867895,-0.10000000000000003,0.10000000000000003,-0.22000000000000003,-0.014396175353859175,-0.02764457420942998,-0.0719271314361376
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_high_threat,0.46,0.54,0.44,0.927257321985775,0.2725502403619875,0.0834276997631536,0.62,0.38,0.58,0.9686721024780388,0.2948588110572009,0.1420979551131395,-0.15999999999999998,0.16000000000000003,-0.13999999999999996,-0.04141478049226377,-0.022308570695213414,-0.05867025534998589
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_id,0.52,0.48,0.44,0.9327617010868984,0.2825096697328648,0.0892199418360318,0.58,0.42,0.5,0.9633676170801112,0.2738830944268627,0.1194411618543317,-0.05999999999999994,0.06,-0.06,-0.03060591599321283,0.008626575306002082,-0.03022122001829991
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_mixed_ood,0.48,0.52,0.4,0.917974603277208,0.283642323464302,0.0929088295120097,0.54,0.46,0.52,0.940270728452252,0.3099776383628048,0.1380279808719813,-0.06000000000000005,0.06,-0.12,-0.02229612517504398,-0.02633531489850277,-0.04511915135997159
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_sudden_threat,0.52,0.48,0.42,0.9408819904082224,0.2578461198510335,0.0872025202316015,0.74,0.26,0.72,0.9706955151270756,0.2897752169439903,0.1359593390777997,-0.21999999999999997,0.21999999999999997,-0.3,-0.029813524718853235,-0.03192909709295677,-0.0487568188461982
