scenario,success_rate_z2_final,collision_rate_z2_final,near_miss_rate_z2_final,progress_z2_final,raw_unsafe_action_rate_z2_final,action_delta_z2_final,success_rate_z2_parent,collision_rate_z2_parent,near_miss_rate_z2_parent,progress_z2_parent,raw_unsafe_action_rate_z2_parent,action_delta_z2_parent,delta_success_rate,delta_collision_rate,delta_near_miss_rate,delta_progress,delta_raw_unsafe_action_rate,delta_action_delta
eval_flow_high_density,0.28,0.72,0.26,0.8898227100893307,0.3305361301717232,0.0897632901916685,0.38,0.62,0.36,0.9247001165543012,0.2702286343797194,0.0834621111731072,-0.09999999999999998,0.09999999999999998,-0.09999999999999998,-0.034877406464970506,0.060307495792003785,0.006301179018561295
eval_flow_high_speed,0.44,0.56,0.32,0.9433743722425249,0.2356459431490027,0.0863130365506519,0.4,0.6,0.3,0.9201703053619296,0.2216311111463872,0.0863175835143812,0.03999999999999998,-0.039999999999999925,0.020000000000000018,0.023204066880595287,0.014014832002615496,-4.5469637292988585e-06
eval_flow_high_threat,0.46,0.54,0.44,0.927257321985775,0.2725502403619875,0.0834276997631536,0.42,0.58,0.4,0.9445310014255212,0.2278393471872034,0.0806736541017516,0.040000000000000036,-0.039999999999999925,0.03999999999999998,-0.017273679439746115,0.044710893174784105,0.0027540456614019992
eval_flow_id,0.52,0.48,0.44,0.9327617010868984,0.2825096697328648,0.0892199418360318,0.54,0.46,0.5,0.9493526770242704,0.2338418802791511,0.085192924465253,-0.020000000000000018,0.019999999999999962,-0.06,-0.01659097593737202,0.048667789453713695,0.00402701737077879
eval_flow_mixed_ood,0.48,0.52,0.4,0.917974603277208,0.283642323464302,0.0929088295120097,0.5,0.5,0.48,0.9272696483975996,0.2389841006860037,0.0842955161126751,-0.020000000000000018,0.020000000000000018,-0.07999999999999996,-0.009295045120391587,0.04465822277829831,0.00861331339933459
eval_flow_sudden_threat,0.52,0.48,0.42,0.9408819904082224,0.2578461198510335,0.0872025202316015,0.58,0.42,0.52,0.9593090190829302,0.2246120708294923,0.0870758216530287,-0.05999999999999994,0.06,-0.10000000000000003,-0.0184270286747078,0.0332340490215412,0.00012669857857279532
