method_key,method,scenario,success_rate_z2,collision_rate_z2,near_miss_rate_z2,progress_z2,raw_unsafe_action_rate_z2,action_delta_z2,success_rate_noz,collision_rate_noz,near_miss_rate_noz,progress_noz,raw_unsafe_action_rate_noz,action_delta_noz,delta_success_rate,delta_collision_rate,delta_near_miss_rate,delta_progress,delta_raw_unsafe_action_rate,delta_action_delta
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_high_density,0.28,0.72,0.26,0.8898227100893307,0.3305361301717232,0.0897632901916685,0.5,0.5,0.46,0.9469330240085332,0.2798283392729632,0.0962716870497466,-0.21999999999999997,0.21999999999999997,-0.2,-0.057110313919202516,0.050707790898759986,-0.006508396858078108
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_high_speed,0.44,0.56,0.32,0.9433743722425249,0.2356459431490027,0.0863130365506519,0.4,0.6,0.26,0.8976147797015552,0.2343883290014586,0.0965807626635023,0.03999999999999998,-0.039999999999999925,0.06,0.04575959254096962,0.001257614147544106,-0.0102677261128504
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_high_threat,0.46,0.54,0.44,0.927257321985775,0.2725502403619875,0.0834276997631536,0.5,0.5,0.46,0.9617533778220992,0.2409590946245907,0.0943898171513283,-0.03999999999999998,0.040000000000000036,-0.020000000000000018,-0.0344960558363242,0.0315911457373968,-0.010962117388174694
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_id,0.52,0.48,0.44,0.9327617010868984,0.2825096697328648,0.0892199418360318,0.76,0.24,0.7,0.965833564681276,0.2200974537786745,0.0968558293280797,-0.24,0.24,-0.25999999999999995,-0.03307186359437764,0.062412215954190275,-0.00763588749204791
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_mixed_ood,0.48,0.52,0.4,0.917974603277208,0.283642323464302,0.0929088295120097,0.56,0.44,0.54,0.9419029751130245,0.253329348667843,0.1014421713596245,-0.08000000000000007,0.08000000000000002,-0.14,-0.02392837183581642,0.030312974796459002,-0.008533341847614798
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,eval_flow_sudden_threat,0.52,0.48,0.42,0.9408819904082224,0.2578461198510335,0.0872025202316015,0.66,0.34,0.62,0.9686352700982852,0.2099273080335239,0.0947052744641056,-0.14,0.13999999999999996,-0.2,-0.027753279690062804,0.04791881181750959,-0.0075027542325041
