scenario,seed,step,risk_mean_time,wide_d2_mean_time,delta_mean_time,risk_near_miss,wide_d2_near_miss,delta_near_miss,risk_min_distance,wide_d2_min_distance,delta_min_distance,risk_collision,wide_d2_collision,delta_collision,risk_success,wide_d2_success,delta_success,risk_reaction,wide_d2_reaction,delta_reaction,risk_source_csv,wide_d2_source_csv,classification
eval_accel_decel,0,750000,7.812,8.036,-0.2239999999999993,0.0,0.0,0.0,2.036267173290253,2.1042668437957763,-0.06799967050552347,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step750000_accel.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_accel.csv,risk_pareto_positive
eval_accel_decel,0,1000000,7.504,7.8,-0.29600000000000026,0.0,0.0,0.0,1.9814151287078856,2.1204810762405395,-0.1390659475326539,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step1000000_accel.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_accel.csv,risk_pareto_positive
eval_accel_decel,1,750000,7.763999999999999,8.324,-0.5600000000000005,0.0,0.0,0.0,1.9965418362617493,2.297988460063934,-0.3014466238021849,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step750000_accel.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step750000_accel.csv,risk_pareto_positive
eval_accel_decel,1,1000000,7.556,8.028,-0.4720000000000004,0.0,0.0,0.0,1.989901819229126,2.21400114774704,-0.22409932851791403,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step1000000_accel.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step1000000_accel.csv,risk_pareto_positive
eval_accel_decel,2,750000,7.804000000000001,8.092,-0.28799999999999937,0.0,0.0,0.0,1.9317664766311649,2.081632831096649,-0.14986635446548435,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step750000_accel.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step750000_accel.csv,risk_pareto_positive
eval_accel_decel,2,1000000,7.500000000000001,8.092,-0.5919999999999996,0.0,0.02,-0.02,1.896613492965698,2.178599835634232,-0.2819863426685343,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s2_step1000000_accel.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s2_step1000000_accel.csv,risk_pareto_positive
eval_ar1,0,750000,7.792000000000001,8.092,-0.2999999999999998,0.0,0.0,0.0,1.925681245326996,2.042363429069519,-0.11668218374252293,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step750000_ar1.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step750000_ar1.csv,risk_pareto_positive
eval_ar1,0,1000000,7.56,7.816,-0.2560000000000002,0.0,0.0,0.0,1.8868432283401488,2.02400945186615,-0.13716622352600094,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage2_eval/attention_full_risk_penalty_s0_step1000000_ar1.csv,results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step1000000_ar1.csv,risk_pareto_positive
eval_ar1,1,750000,7.791999999999999,8.44,-0.6480000000000006,0.0,0.0,0.0,1.8282900261878967,2.094716417789459,-0.26642639160156234,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step750000_ar1.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step750000_ar1.csv,risk_pareto_positive
eval_ar1,1,1000000,7.667999999999999,8.328000000000001,-0.6600000000000019,0.0,0.0,0.0,1.787103385925293,2.043173034191132,-0.2560696482658391,0.0,0.0,0.0,1.0,1.0,0.0,,,,results/p2_rich_motion/stage4_eval/attention_full_risk_penalty_s1_step1000000_ar1.csv,results/p2_rich_motion/stage4_eval/attention_full_distance_penalty_wide_d2_s1_step1000000_ar1.csv,risk_pareto_positive
