scenario,rows,seed_count,step_count,delta_mean_time_mean,delta_near_miss_mean,delta_min_distance_mean,delta_collision_mean,delta_success_mean,delta_reaction_mean,risk_pareto_positive_count,risk_efficiency_but_safety_gap_count,wide_d2_dominates_count,no_meaningful_difference_count
eval_accel_decel,6,3,2,-0.40533333333333327,-0.0033333333333333335,-0.1940773779153825,0.0,0.0,,6,0,0,0
eval_ar1,6,3,2,-0.45200000000000057,-0.0033333333333333335,-0.2192668321728707,0.006666666666666667,-0.006666666666666672,,4,2,0,0
eval_mixed_v2,6,3,2,-0.14800000000000071,0.013333333333333329,-0.1535887699325881,0.0,0.0,0.08666666666666671,2,1,1,2
eval_random_switch,6,3,2,-0.27600000000000086,0.0,-0.14393678049246483,0.0,0.0,,5,0,0,1
eval_random_switch_hard,6,3,2,-1.3486666666666671,0.05000000000000001,-0.3123818770051002,-0.0033333333333333335,0.016666666666666663,,3,3,0,0
eval_sinusoidal,6,3,2,-0.40600000000000014,0.006666666666666667,-0.22945980707804337,0.0033333333333333335,-0.003333333333333336,,5,1,0,0
eval_sudden_turn,6,3,2,-0.42533333333333373,0.0033333333333333335,-0.23477348446846022,0.0,0.0,0.4266666666666669,6,0,0,0
eval_threat_validated_sudden,6,3,2,-0.22399999999999975,-5.782411586589357e-19,-0.1429865572849909,0.0,0.0,0.036666666666666715,3,1,1,1
