method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,feature_adapter,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,high,,logvar_scaled_9_policy,0,14556,131004,0,0,13.312266189536409,13.751564979553223,14.746145248413086,15.0,4.97716283272439,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,high,,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,high,,full_aug_obs,0,14556,436680,0,0,13.450332275718475,13.892006397247314,14.857320785522461,15.1355619430542,4.97716283272439,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,obs_i_12,0,21402,256824,0,0,1.4278249573082626,1.4160981178283691,1.8825088739395142,2.4134650230407715,0.8544571991362713,1.0696802139282227,1.4577909708023071
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,delta_hat_9_after_scale,0,21402,192618,0,0,1.26133943644403,1.2577792406082153,1.915761381387712,3.2392165660858154,1.0004604585389048,1.5427583456039429,2.978468418121338
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,logvar_raw_9_clamped,0,21402,192618,0,0,13.287371615251306,13.699358940124512,14.69431405067444,15.0,4.979884995488226,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,logvar_scaled_9_policy,0,21402,192618,0,0,13.287371615251306,13.699358940124512,14.69431405067444,15.0,4.979884995488226,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,full_aug_obs,0,21402,642060,0,0,13.43299698096638,13.854997634887695,14.795702934265137,15.131163597106934,4.979884995488226,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,obs_i_12,0,704,8448,0,0,1.2649631595069712,1.246319055557251,1.7131555795669555,2.227250814437866,0.7135544811290774,1.0003676295280464,1.3144646883010864
