method_key,method,base_policy,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,shield_enabled,shield_config_name,scenario,eval_seed,episode_id,episode_seed,success,collision,timeout,near_miss,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,threat_class,threat_motion_mode,planned_cpa,planned_ttc,episode_filter_triggered,shield_trigger_rate,shield_intervention_steps,filter_delta_norm_mean,filter_delta_norm_p95,max_filter_delta_norm,raw_action_unsafe_rate,filtered_action_unsafe_rate,raw_min_predicted_cpa,filtered_min_predicted_cpa,raw_ttc_min,filtered_ttc_min,a_raw_norm,a_exec_norm,action_delta_raw,action_delta_exec,progress_loss_due_to_filter,nan_or_crash
attention_no_shield,attention_full_no_shield,attention_full,attention_full_no_shield,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,0,none,eval_flow_high_speed,1000,36,1036,0,1,0,0,0.9749451805563534,5.023781132684754,0.0639794692397117,112,22.388277044227195,0.2589285714285714,0.2589285714285714,1.4859270038349288,0.121064025522755,0.0,medium,ar1_velocity,1.5775697328536102,0.8,0,0.0,0,0.0,0.0,0.0,0.2589285714285714,0.2589285714285714,3.1871145776863807,3.1871145776863807,0.0,0.0,1.4859270038349288,1.4859270038349288,0.121064025522755,0.121064025522755,0.0,0
attention_no_shield,attention_full_no_shield,attention_full,attention_full_no_shield,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,0,none,eval_flow_high_speed,1001,85,1036,0,1,0,0,0.9749451805563534,5.023781132684754,0.0639794692397117,112,22.388277044227195,0.2589285714285714,0.2589285714285714,1.4859270038349288,0.121064025522755,0.0,medium,ar1_velocity,1.5775697328536102,0.8,0,0.0,0,0.0,0.0,0.0,0.2589285714285714,0.2589285714285714,3.1871145776863807,3.1871145776863807,0.0,0.0,1.4859270038349288,1.4859270038349288,0.121064025522755,0.121064025522755,0.0,0
attention_no_shield,attention_full_no_shield,attention_full,attention_full_no_shield,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,0,none,eval_flow_high_speed,1002,134,1036,0,1,0,0,0.9749451805563534,5.023781132684754,0.0639794692397117,112,22.388277044227195,0.2589285714285714,0.2589285714285714,1.4859270038349288,0.121064025522755,0.0,medium,ar1_velocity,1.5775697328536102,0.8,0,0.0,0,0.0,0.0,0.0,0.2589285714285714,0.2589285714285714,3.1871145776863807,3.1871145776863807,0.0,0.0,1.4859270038349288,1.4859270038349288,0.121064025522755,0.121064025522755,0.0,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_high_speed,1000,1,1001,0,1,0,0,0.972678363097909,2.7011328551056084,0.0787887275218963,458,17.971778257638384,0.4497816593886463,0.4497816593886463,1.0251075119170558,0.4024307236439167,0.0,high,linear,0.4966499146250206,0.8,1,0.4541484716157205,208,0.2688432435899582,1.0024126112461087,1.7320507764816284,0.4497816593886463,0.0043668122270742,1.5164444451261003,2.005995279088552,0.0,0.0,1.133410314577896,1.0251075119170558,0.3719318656692041,0.4024307236439167,0.0,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_high_speed,1001,50,1001,0,1,0,0,0.972678363097909,2.7011328551056084,0.0787887275218963,458,17.971778257638384,0.4497816593886463,0.4497816593886463,1.0251075119170558,0.4024307236439167,0.0,high,linear,0.4966499146250206,0.8,1,0.4541484716157205,208,0.2688432435899582,1.0024126112461087,1.7320507764816284,0.4497816593886463,0.0043668122270742,1.5164444451261003,2.005995279088552,0.0,0.0,1.133410314577896,1.0251075119170558,0.3719318656692041,0.4024307236439167,0.0,0
noz_ordinary_vo,no_z_full_plus_ordinary_vo,no_z_full,no_z_full_plus_ordinary_vo,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_high_density,1000,0,1000,0,1,0,0,0.9844288772610604,4.7119334268589945,0.099407859146595,149,22.330130783535974,0.4026845637583892,0.4026845637583892,1.4855095628123955,0.1693800911934518,0.0,high,sinusoidal_lateral,0.909217239653361,0.8,1,0.4026845637583892,60,0.2607214144812334,0.9998997688293456,2.020493030548096,0.4026845637583892,0.0201342281879194,2.6057071843928337,3.447053742351248,0.0,0.0,1.5784130408459862,1.4855095628123955,0.1020004916936159,0.1693800911934518,0.0,0
noz_no_shield,no_z_full_no_shield,no_z_full,no_z_full_no_shield,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,0,none,eval_flow_id,1000,1,1001,0,1,0,0,0.8115453087139909,5.89880365066314,0.10774827003479,89,16.84132223371389,0.3033707865168539,0.3033707865168539,1.6030477513088268,0.0562836351719769,0.0,high,sinusoidal_lateral,0.4658173147209729,8.458489348346669,0,0.0,0,0.0,0.0,0.0,0.3033707865168539,0.3033707865168539,3.780905244055759,3.780905244055759,0.0,0.0,1.6030477513088268,1.6030477513088268,0.0562836351719769,0.0562836351719769,0.0,0
noz_no_shield,no_z_full_no_shield,no_z_full,no_z_full_no_shield,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,0,none,eval_flow_id,1001,50,1001,0,1,0,0,0.8115453087139909,5.89880365066314,0.10774827003479,89,16.84132223371389,0.3033707865168539,0.3033707865168539,1.6030477513088268,0.0562836351719769,0.0,high,sinusoidal_lateral,0.4658173147209729,8.458489348346669,0,0.0,0,0.0,0.0,0.0,0.3033707865168539,0.3033707865168539,3.780905244055759,3.780905244055759,0.0,0.0,1.6030477513088268,1.6030477513088268,0.0562836351719769,0.0562836351719769,0.0,0
noz_no_shield,no_z_full_no_shield,no_z_full,no_z_full_no_shield,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,0,none,eval_flow_mixed_ood,1000,24,1024,0,1,0,0,0.9572644030088112,5.871207988312264,0.1095598042011261,119,21.83607666493798,0.1512605042016806,0.1512605042016806,1.5429966018981291,0.0816507280125456,0.0,high,crossing_or_sudden_threat,0.7201719533017876,4.519031319015941,0,0.0,0,0.0,0.0,0.0,0.1512605042016806,0.1512605042016806,4.517094557024851,4.517094557024851,0.0,0.0,1.5429966018981291,1.5429966018981291,0.0816507280125456,0.0816507280125456,0.0,0
noz_no_shield,no_z_full_no_shield,no_z_full,no_z_full_no_shield,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,0,none,eval_flow_mixed_ood,1001,73,1024,0,1,0,0,0.9572644030088112,5.871207988312264,0.1095598042011261,119,21.83607666493798,0.1512605042016806,0.1512605042016806,1.5429966018981291,0.0816507280125456,0.0,high,crossing_or_sudden_threat,0.7201719533017876,4.519031319015941,0,0.0,0,0.0,0.0,0.0,0.1512605042016806,0.1512605042016806,4.517094557024851,4.517094557024851,0.0,0.0,1.5429966018981291,1.5429966018981291,0.0816507280125456,0.0816507280125456,0.0,0
