method_key,method,base_policy,shield_enabled,shield_config_name,eval_seed,scenario,steps,shield_trigger_rate,filter_delta_norm_mean,filter_delta_norm_p95,raw_action_unsafe_rate,filtered_action_unsafe_rate,raw_min_predicted_cpa,filtered_min_predicted_cpa,raw_ttc_min,filtered_ttc_min,a_raw_norm,a_exec_norm
attention_no_shield,attention_full_no_shield,attention_full,0,none,1000,eval_flow_high_density,5575,0.0,0.0,0.0,0.3133632286995516,0.3133632286995516,2.726700066273558,2.726700066273558,0.0,0.0,1.4511737235284707,1.4511737235284707
attention_no_shield,attention_full_no_shield,attention_full,0,none,1000,eval_flow_high_speed,5568,0.0,0.0,0.0,0.26939655172413796,0.26939655172413796,2.7783221037136547,2.7783221037136547,0.0,0.0,1.4448071574155328,1.4448071574155328
attention_no_shield,attention_full_no_shield,attention_full,0,none,1000,eval_flow_high_threat,5617,0.0,0.0,0.0,0.3001602278796511,0.3001602278796511,3.0650293237671726,3.0650293237671726,0.0,0.0,1.434114930484406,1.434114930484406
attention_no_shield,attention_full_no_shield,attention_full,0,none,1000,eval_flow_id,5344,0.0,0.0,0.0,0.2776946107784431,0.2776946107784431,3.3066276275981044,3.3066276275981044,0.0,0.0,1.4779755796694816,1.4779755796694816
attention_no_shield,attention_full_no_shield,attention_full,0,none,1000,eval_flow_mixed_ood,5337,0.0,0.0,0.0,0.30429080007494846,0.30429080007494846,2.870242061364529,2.870242061364529,0.0,0.0,1.4609315826838352,1.4609315826838352
attention_no_shield,attention_full_no_shield,attention_full,0,none,1000,eval_flow_sudden_threat,5686,0.0,0.0,0.0,0.2949349278930707,0.2949349278930707,2.965080468000685,2.965080468000685,0.0,0.0,1.443985064029484,1.443985064029484
attention_no_shield,attention_full_no_shield,attention_full,0,none,1001,eval_flow_high_density,5567,0.0,0.0,0.0,0.3125561343632118,0.3125561343632118,2.719094843204477,2.719094843204477,0.0,0.0,1.4553374299896304,1.4553374299896304
attention_no_shield,attention_full_no_shield,attention_full,0,none,1001,eval_flow_high_speed,5566,0.0,0.0,0.0,0.2707509881422925,0.2707509881422925,2.7794700424999177,2.7794700424999177,0.0,0.0,1.4456631172471153,1.4456631172471153
attention_no_shield,attention_full_no_shield,attention_full,0,none,1001,eval_flow_high_threat,5629,0.0,0.0,0.0,0.2996979925386392,0.2996979925386392,3.073004916857384,3.073004916857384,0.0,0.0,1.4357240509621032,1.4357240509621032
attention_no_shield,attention_full_no_shield,attention_full,0,none,1001,eval_flow_id,5345,0.0,0.0,0.0,0.27202993451824137,0.27202993451824137,3.3160774350098583,3.3160774350098583,0.0,0.0,1.4780495627327597,1.4780495627327597
attention_no_shield,attention_full_no_shield,attention_full,0,none,1001,eval_flow_mixed_ood,5338,0.0,0.0,0.0,0.30666916448107906,0.30666916448107906,2.861299981066071,2.861299981066071,0.0,0.0,1.4627347492343168,1.4627347492343168
attention_no_shield,attention_full_no_shield,attention_full,0,none,1001,eval_flow_sudden_threat,5684,0.0,0.0,0.0,0.2922237860661506,0.2922237860661506,2.98173125739049,2.98173125739049,0.0,0.0,1.4481715544282256,1.4481715544282256
attention_no_shield,attention_full_no_shield,attention_full,0,none,1002,eval_flow_high_density,5573,0.0,0.0,0.0,0.3140139960523955,0.3140139960523955,2.7056586422925246,2.7056586422925246,0.0,0.0,1.4537981799744348,1.4537981799744348
attention_no_shield,attention_full_no_shield,attention_full,0,none,1002,eval_flow_high_speed,5551,0.0,0.0,0.0,0.2695009908124662,0.2695009908124662,2.7830374847451815,2.7830374847451815,0.0,0.0,1.446894064830179,1.446894064830179
attention_no_shield,attention_full_no_shield,attention_full,0,none,1002,eval_flow_high_threat,5565,0.0,0.0,0.0,0.29595687331536386,0.29595687331536386,3.1089882367653816,3.1089882367653816,0.0,0.0,1.4434949669073214,1.4434949669073214
attention_no_shield,attention_full_no_shield,attention_full,0,none,1002,eval_flow_id,5351,0.0,0.0,0.0,0.2706036254905625,0.2706036254905625,3.314647324516252,3.314647324516252,0.0,0.0,1.4771602929266419,1.4771602929266419
attention_no_shield,attention_full_no_shield,attention_full,0,none,1002,eval_flow_mixed_ood,5298,0.0,0.0,0.0,0.3004907512268781,0.3004907512268781,2.8804363079550064,2.8804363079550064,0.0,0.0,1.4687532258454516,1.4687532258454516
attention_no_shield,attention_full_no_shield,attention_full,0,none,1002,eval_flow_sudden_threat,5698,0.0,0.0,0.0,0.28957528957528955,0.28957528957528955,2.9994493339090167,2.9994493339090167,0.0,0.0,1.4483727936150108,1.4483727936150108
