method_key,method,base_policy,shield_enabled,shield_config_name,checkpoint_path,checkpoint_label,eval_seed,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,high,286,0.6083916083916084,0.3916083916083916,0.5734265734265734,0.959865486519135,4.861095008271964,0.8104875057518899,110.72027972027972,33.9513238083717,0.2888780714936989,0.2888780714936989,1.4617966235924256,0.12443185978599441,0.0,3.007667160197689,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,medium,14,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3435958676783129,1.4629956734890024,0.12092406328561131,0.0,2.8449749229960153,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1001,high,286,0.6013986013986014,0.3986013986013986,0.5664335664335665,0.9597966742028604,4.869850406931137,0.8104944097829032,110.72727272727273,33.808803445867476,0.2878684737115537,0.2878684737115537,1.464095531870576,0.12296423532839416,0.0,3.010855673767302,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1001,medium,14,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3435958676783129,1.4629956734890024,0.12092406328561131,0.0,2.8449749229960153,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1002,high,286,0.5944055944055944,0.40559440559440557,0.5594405594405595,0.9595167959836056,4.879473309382836,0.8083556511706406,110.4020979020979,33.663410464530905,0.2858085588194538,0.2858085588194538,1.4657394697184922,0.12211029596375962,0.0,3.018021300661663,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1002,medium,14,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3435958676783129,1.4629956734890024,0.12092406328561131,0.0,2.8449749229960153,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,high,269,0.8475836431226765,0.1524163568773234,0.724907063197026,0.9879282934874105,4.490030066429854,1.1748709979996805,145.0557620817844,39.06962502549927,0.33366144154732735,0.33366144154732735,1.3376685028166855,0.20765591309389714,0.0,2.6497279594458134,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,medium,31,0.7096774193548387,0.2903225806451613,0.6774193548387096,0.9883817804410943,4.4386989813522595,0.9790887582686639,151.61290322580646,36.1167737990694,0.3559243391633147,0.3559243391633147,1.3428286888727137,0.2273999576405523,0.0,2.5276401133918607,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1001,high,269,0.8401486988847584,0.15985130111524162,0.724907063197026,0.9880458099196627,4.482642490123203,1.1605106771657014,145.56505576208178,38.91506566994439,0.33441504943120914,0.33441504943120914,1.3387999051208905,0.20742359422421325,0.0,2.6415133118000376,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1001,medium,31,0.7096774193548387,0.2903225806451613,0.6774193548387096,0.9883817804410943,4.4386989813522595,0.9790887582686639,151.61290322580646,36.1167737990694,0.3559243391633147,0.3559243391633147,1.3428286888727137,0.2273999576405523,0.0,2.5276401133918607,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1002,high,268,0.8432835820895522,0.15671641791044777,0.7201492537313433,0.9878826513159049,4.500182487020027,1.1696983232204594,144.0410447761194,38.9964139097289,0.33092658461407415,0.33092658461407415,1.3420443501718125,0.20615071845809121,0.0,2.6551401230516443,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1002,medium,32,0.71875,0.28125,0.6875,0.9883296020585643,4.408592621727207,0.9893250074237585,152.4375,36.300718358859726,0.3604267035644611,0.3604267035644611,1.336068000037878,0.22850368400311807,0.0,2.5001696921766356,0
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1000,high,287,0.5470383275261324,0.4529616724738676,0.49477351916376305,0.9460715479959054,5.420383416383591,0.7779514980648453,113.14285714285714,32.322330325029,0.24032547666433554,0.24032547666433554,1.5598865351780369,0.08236741665032793,0.0,3.5625912765320384,0
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,final,1000,medium,13,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.97008579203183,5.491964046002186,1.0601481371201003,118.46153846153847,40.686106336647065,0.22716014356064657,0.22716014356064657,1.5547731376174776,0.09116815743023023,0.0,3.6485454843499627,0
