method_key,method,base_policy,shield_enabled,shield_config_name,checkpoint_path,checkpoint_label,eval_seed,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1002,eval_flow_high_speed,50,0.5,0.5,0.5,0.9573408963448827,4.480710448533823,0.6980835689604282,111.02,31.640237525733017,0.26343062687643737,0.26343062687643737,1.4531619395868378,0.14211883643310047,0.0,2.830859038603308,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1002,eval_flow_high_threat,50,0.62,0.38,0.58,0.9685991706326622,4.967700554816944,0.8602395910024643,111.3,34.50023737566623,0.2923272351250991,0.2923272351250991,1.4516200904901284,0.1251938179073396,0.0,3.165234470110599,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1002,eval_flow_id,50,0.62,0.38,0.54,0.9639964768685728,5.36002986081743,0.8721728464961052,107.02,34.410962609067994,0.26645525174385976,0.26645525174385976,1.4809199609103383,0.10463912859109908,0.0,3.3633172669868867,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1002,eval_flow_mixed_ood,50,0.52,0.48,0.5,0.9397627426083649,4.848101711396457,0.7770594477653503,105.96,31.546674860635818,0.307160280031227,0.307160280031227,1.4776329833357753,0.11640230807610492,0.0,2.878266943369253,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1002,eval_flow_sudden_threat,50,0.72,0.28,0.7,0.9708366429968227,4.987633666588889,0.8571383184194565,113.96,36.524504008214734,0.28394523646695097,0.28394523646695097,1.459475820680718,0.12064425318062642,0.0,3.074320661365724,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,eval_flow_high_density,50,0.84,0.16,0.78,0.9866095355693801,4.196405439097919,1.1574784034490586,158.68,38.80764937763731,0.4191359978678762,0.4191359978678762,1.3059317202671266,0.21820069813653972,0.0,2.289882567706937,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,eval_flow_high_speed,50,0.82,0.18,0.72,0.9837143356872281,4.140758436554932,1.1394552332162857,150.44,38.36682489256822,0.32358157280981975,0.32358157280981975,1.3455059477817466,0.22599479093139316,0.0,2.5300965808449045,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,eval_flow_high_threat,50,0.8,0.2,0.66,0.9913896715849145,4.407919957955466,1.1125556552410125,152.24,38.07877652672781,0.31282680845567806,0.31282680845567806,1.3181010317466106,0.21136197163037093,0.0,2.7047367497106665,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,eval_flow_id,50,0.94,0.06,0.74,0.9904566424704331,5.024836377099874,1.2942238390445708,134.34,41.07764429368231,0.3169805661089887,0.3169805661089887,1.3586958912619134,0.18556926849626718,0.0,2.942363903223957,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,eval_flow_mixed_ood,50,0.78,0.22,0.68,0.9866664501540285,4.5005360066098135,1.0873036408424377,136.48,37.70816743509037,0.33383441897623856,0.33383441897623856,1.3597562613506096,0.21738285577898112,0.0,2.638961407406078,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,eval_flow_sudden_threat,50,0.82,0.18,0.74,0.9890142873697618,4.637898908513006,1.1368242275714875,142.22,38.54791986690307,0.3094122815872748,0.3094122815872748,1.3412194798468429,0.199667201208757,0.0,2.716632083228886,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1001,eval_flow_high_density,50,0.82,0.18,0.76,0.9869580121441999,4.186462432545837,1.134096572995186,158.6,38.40557386335568,0.4144419339409356,0.4144419339409356,1.3105984671320334,0.21572261557763184,0.0,2.288766048384434,0
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1001,eval_flow_high_speed,50,0.82,0.18,0.72,0.9840282062765049,4.151554435766595,1.1337394660711289,150.14,38.37008367348556,0.3245648449436427,0.3245648449436427,1.348049125862821,0.22444391541390238,0.0,2.523365583204873,0
