method_key,method,base_policy,shield_enabled,shield_config_name,checkpoint_path,checkpoint_label,eval_seed,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,accel_decel,58,0.5,0.5,0.4482758620689655,0.9524958547564026,4.945561503768677,0.7411091908298689,107.24137931034483,31.453454519318413,0.27975145221067305,0.27975145221067305,1.4633318981685763,0.11627552412349798,0.0,3.0755192208779656,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,ar1_velocity,85,0.6705882352941176,0.32941176470588235,0.6470588235294118,0.9631134523418806,4.837963868267925,0.8386951421113575,112.4235294117647,35.29721294939041,0.29512683322659505,0.29512683322659505,1.454572769351963,0.13272061961573803,0.0,3.0287856156409427,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,crossing_or_sudden_threat,49,0.6938775510204082,0.30612244897959184,0.673469387755102,0.9679373989421733,4.787469984615381,0.8624986665589469,111.44897959183673,35.95847276676602,0.2948400913695428,0.2948400913695428,1.4584785757954997,0.12506809047011902,0.0,2.9174335328228556,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,linear,36,0.5277777777777778,0.4722222222222222,0.4444444444444444,0.9379612676840777,4.941808052842185,0.7910714170171155,108.19444444444444,31.654514454979108,0.31006394660861797,0.31006394660861797,1.480019458930168,0.1174071209404901,0.0,2.971976797231434,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1000,sinusoidal_lateral,72,0.6111111111111112,0.3888888888888889,0.5972222222222222,0.9564058023172838,4.839201183691966,0.8177738229019774,111.04166666666667,33.884299121104206,0.2848422081555111,0.2848422081555111,1.4624678826683322,0.1236142073805399,0.0,2.9756966220754104,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1001,accel_decel,58,0.4827586206896552,0.5172413793103449,0.43103448275862066,0.9520749088618008,4.966073775591062,0.733424631172213,107.05172413793103,31.096831108641553,0.27690430789032966,0.27690430789032966,1.4666940158080704,0.11455496489312032,0.0,3.088987935429467,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1001,ar1_velocity,84,0.6785714285714286,0.32142857142857145,0.6547619047619048,0.9631918703529655,4.838812866828061,0.852261088699812,112.54761904761905,35.45761395508107,0.2916650335797085,0.2916650335797085,1.4560408733410166,0.13240135946066223,0.0,3.042824866753266,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1001,crossing_or_sudden_threat,49,0.6938775510204082,0.30612244897959184,0.673469387755102,0.9679373989421733,4.787469984615381,0.8624986665589469,111.44897959183673,35.95847276676602,0.2948400913695428,0.2948400913695428,1.4584785757954997,0.12506809047011902,0.0,2.9174335328228556,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1001,linear,36,0.5,0.5,0.4166666666666667,0.9375066114908233,4.9643972638185225,0.7799183738728365,108.11111111111111,31.086768956908227,0.31501392264504263,0.31501392264504263,1.4828795467345137,0.11444319072930115,0.0,2.9439818740834625,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1001,sinusoidal_lateral,73,0.6027397260273972,0.3972602739726027,0.589041095890411,0.9566965242280102,4.8450719708317145,0.8140830060798828,111.13698630136986,33.72404434608882,0.2848321542237941,0.2848321542237941,1.4655953612314425,0.12118513331687679,0.0,2.97586564358746,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1002,accel_decel,59,0.4745762711864407,0.5254237288135594,0.423728813559322,0.9525122617606795,4.979837796407081,0.727617215807155,107.0677966101695,30.95310649913763,0.2766767025177013,0.2766767025177013,1.4655503568867796,0.11521925182296223,0.0,3.105731265984229,0
attention_no_shield,attention_full_no_shield,attention_full,0,none,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,attention_full_1500k,1002,ar1_velocity,84,0.6547619047619048,0.34523809523809523,0.6309523809523809,0.9622800998579647,4.847305783231938,0.8429748516175009,111.36904761904762,34.96306152426149,0.2876186125486062,0.2876186125486062,1.4610399650574037,0.1297319304693722,0.0,3.053689557409261,0
