scenario,baseline_name,config_name,baseline_category,episodes,success_rate,collision_rate,timeout_rate,near_miss_rate,progress_mean,final_goal_distance_mean,episode_return_mean,episode_length_steps_mean,mean_time,episode_min_distance_mean,mean_min_distance,min_distance_after_threat_mean,replacement_count_mean,active_obstacle_count_mean,mean_action_norm,mean_action_delta,max_action_delta,filter_used,filter_trigger_rate,mean_filter_delta_norm,max_filter_delta_norm,nan_or_crash
eval_flow_mixed_ood,cpa_reactive_sweep,cpa_reactive_cpa30,cpa_reactive_sweep,50,0.16,0.08,0.76,0.32,0.9494199653652972,5.018411130309105,9.928990117549134,455.08,91.016,1.631120314002037,4.106991234816083,1.6212709206342697,124.54,6.26,0.9999999843661895,1.1642134494669436,1.9999762415885924,0,0.0,0.0,0.0,0
eval_flow_mixed_ood,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,50,0.06,0.06,0.88,0.3,0.9158452500398142,4.630001579523086,13.110776585846907,473.64,94.728,1.6744840145111084,4.135863268722335,1.7320744693279266,122.58,6.26,0.9999999831951188,0.9259059113594996,1.999953122138977,0,0.0,0.0,0.0,0
eval_flow_mixed_ood,cpa_reactive_sweep,cpa_reactive_w28,cpa_reactive_sweep,50,0.04,0.12,0.84,0.36,0.9317756850310246,4.816594457626342,9.32651492121008,477.46,95.492,1.5220704436302186,3.908192873461764,1.571454735994339,122.58,6.26,0.9999999842276825,1.0678496305370146,1.9999689888954162,0,0.0,0.0,0.0,0
eval_flow_mixed_ood,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,50,0.74,0.26,0.0,0.74,0.896165858504343,3.7371762770414354,33.90799120231586,100.6,20.12,0.8156539529561997,2.6242123537286552,0.8273327666521072,32.78,6.26,0.9999999853388448,0.26954716680894575,1.9072544753551484,0,0.0,0.0,0.0,0
eval_flow_mixed_ood,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,50,0.74,0.26,0.0,0.74,0.9294894229894447,2.603822201490402,34.816396874131286,108.92,21.784000000000002,0.8300073856115341,2.603774777296013,0.8353461796045303,35.56,6.26,0.9999999841125736,0.29807006451233486,1.9208922052383424,0,0.0,0.0,0.0,0
eval_flow_mixed_ood,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",50,0.14,0.14,0.72,0.26,0.9426529797455914,4.286001473665237,11.858351177103806,448.08,89.616,1.4631868916749955,3.771411156996959,1.4976204472780228,123.04,6.26,0.999999984225349,1.0646406523479457,1.9999045085906983,0,0.0,0.0,0.0,0
eval_flow_mixed_ood,random,random,reference,50,0.0,0.0,1.0,0.04,0.06871346831349484,32.05409843444824,-14.066238528591466,500.0,100.0,3.057343204021454,6.79335316669941,3.096738724708557,87.04,6.26,0.7745208446788042,1.0558728806791688,2.4380181074142455,0,0.0,0.0,0.0,0
eval_flow_mixed_ood,straight_line,straight_line,reference,50,0.0,1.0,0.0,0.0,0.32235674934851555,23.04343605041504,0.8005143800973878,28.22,5.644,0.5044149881601334,3.4827026422408967,0.5224867069721222,8.84,6.26,0.9999999784022904,3.4242913882196607e-08,1.0017356899538754e-07,0,0.0,0.0,0.0,0
eval_flow_mixed_ood,vo_like_filter,vo_like_filter_h45_cpa1p2_h16,safety_filter,50,0.78,0.22,0.0,0.68,0.9866664501540285,0.7540389561653137,37.70816743509037,136.48,27.296,1.0873036408424377,4.5005360066098135,1.094615638256073,43.4,6.26,1.3597562613506096,0.21738285577898103,1.4322469770908355,1,0.3482900286393651,0.24120578977850382,1.425782985687256,0
eval_flow_mixed_ood,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,50,0.76,0.24,0.0,0.46,0.9879525097353316,0.7202726739645005,36.84670474799195,180.26,36.052,1.1089541399478913,4.308191615477923,1.1490898382663728,56.86,6.26,1.2924402820287366,0.24537819028052182,1.6272470116615296,1,0.43805356003509494,0.31016082841044323,1.664800295829773,0
