threat_class,baseline_name,config_name,baseline_category,episodes,success_rate,collision_rate,timeout_rate,near_miss_rate,progress_mean,final_goal_distance_mean,episode_return_mean,episode_length_steps_mean,mean_time,episode_min_distance_mean,mean_min_distance,min_distance_after_threat_mean,replacement_count_mean,active_obstacle_count_mean,mean_action_norm,mean_action_delta,max_action_delta,filter_used,filter_trigger_rate,mean_filter_delta_norm,max_filter_delta_norm,nan_or_crash
high,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,267,0.7153558052434457,0.26591760299625467,0.018726591760299626,0.3595505617977528,0.9872728213029963,0.7793065331848373,36.19046357151034,175.6441947565543,35.12883895131086,1.1192890177672723,4.351150399255343,1.1548427026090997,62.00749063670412,6.726591760299626,1.29298987172522,0.22823652444518006,1.5867759998371538,1,0.44332349577592933,0.323752427903242,1.6226395402061806,0
medium,attention_full_1500k,attention_full_1500k,reference,14,0.6428571428571429,0.35714285714285715,0.0,0.6428571428571429,0.9031878451497378,3.620447644165584,32.54871973533109,104.35714285714286,20.87142857142857,0.8639081732503006,4.9078520021334935,0.9147488746259894,35.07142857142857,6.214285714285714,1.4629956734890024,0.12092406328561126,0.7670074935470309,0,0.0,0.0,0.0,0
medium,cpa_reactive_sweep,cpa_reactive_cpa30,cpa_reactive_sweep,25,0.0,0.16,0.84,0.32,0.9782385284173155,7.040535154342652,6.178099171132882,459.04,91.80799999999999,1.5064710438251496,4.482573796368849,1.5132771456241607,141.88,5.76,0.9999999855345467,1.1256363707751975,1.9999420690536498,0,0.0,0.0,0.0,0
medium,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,20,0.05,0.1,0.85,0.45,0.9642685806488431,6.041179731488228,11.682744134488388,471.05,94.21000000000001,1.388079908490181,4.238337477877667,1.428596517443657,131.0,5.95,0.9999999831080851,0.9058841338490471,1.9999660551548004,0,0.0,0.0,0.0,0
medium,cpa_reactive_sweep,cpa_reactive_w28,cpa_reactive_sweep,23,0.08695652173913043,0.17391304347826086,0.7391304347826086,0.30434782608695654,0.9633625714081582,4.920174000055893,8.69769974454749,480.4347826086956,96.08695652173913,1.6011887270471323,4.0705679662632015,1.6090653279553289,141.52173913043478,6.043478260869565,0.9999999848117919,1.0847724372450003,1.9999660460845283,0,0.0,0.0,0.0,0
medium,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,23,0.8260869565217391,0.17391304347826086,0.0,0.8260869565217391,0.9192291974251334,3.026582093342491,35.869838002654305,114.17391304347827,22.834782608695654,0.8394880566907965,2.593228789314451,0.8426037029079769,48.130434782608695,6.956521739130435,0.9999999849477633,0.33093378414416014,1.8246837595234746,0,0.0,0.0,0.0,0
medium,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,17,0.8235294117647058,0.17647058823529413,0.0,0.8235294117647058,0.8513430957700556,5.293908851988175,33.69377717105847,100.58823529411765,20.11764705882353,0.9119041895165163,2.970617815095534,0.9119041895165163,38.470588235294116,6.705882352941177,0.9999999858032297,0.3268854004496883,1.7525402991210712,0,0.0,0.0,0.0,0
medium,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",16,0.125,0.25,0.625,0.3125,0.9780304155276953,4.939724015071988,11.923541147534362,425.9375,85.1875,1.246367335319519,4.040378441882719,1.320517212152481,146.125,5.75,0.999999984580716,1.000853484359202,1.999913513660431,0,0.0,0.0,0.0,0
medium,random,random,reference,5,0.0,0.0,1.0,0.0,0.1186049941469463,30.4326416015625,-13.13006595425727,500.0,100.0,3.9180564880371094,7.118022104835511,3.9180564880371094,142.6,6.2,0.7835479811251164,1.0842506634702305,2.3417098999023436,0,0.0,0.0,0.0,0
medium,straight_line,straight_line,reference,5,0.0,1.0,0.0,0.0,0.23273800864167823,26.088381576538087,-2.2093864893913278,20.6,4.12,0.3937754452228546,4.496453166602462,0.3937754452228546,6.8,5.8,0.9999999762895616,3.268803812307756e-08,9.538452445667645e-08,0,0.0,0.0,0.0,0
medium,vo_like_filter,vo_like_filter_h45_cpa1p2_h16,safety_filter,31,0.7096774193548387,0.2903225806451613,0.0,0.6774193548387096,0.9883817768226522,0.7920036133258573,36.1167737370409,151.61290322580646,30.322580645161292,0.9790886755912535,4.438698972118948,1.0010944931737837,58.193548387096776,6.419354838709677,1.3428286865382275,0.22739995824609338,1.6062946319580078,1,0.37744545805512764,0.2693067027384341,1.5916769235364852,0
medium,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,33,0.6363636363636364,0.36363636363636365,0.0,0.30303030303030304,0.9930500680880002,0.825893392165502,34.55133962366745,161.4848484848485,32.296969696969704,1.0576200331702377,4.407467688404623,1.0910512768861018,60.57575757575758,6.454545454545454,1.3101334217678047,0.2196628778014256,1.5752556107260964,1,0.42092828549110334,0.30603422109235656,1.681219256285465,0
